,BoroCode,OfnsDesc,CrimeCount
0,1,ADMINISTRATIVE CODES,1
1,1,OFF. AGNST PUB ORD SENSBLTY &,699
2,1,OTHER STATE LAWS (NON PENAL LA,34
3,1,THEFT-FRAUD,32
4,1,INTOXICATED/IMPAIRED DRIVING,23
5,1,ARSON,20
6,1,OFFENSES AGAINST PUBLIC SAFETY,19
7,1,FOR OTHER AUTHORITIES,650
8,1,ALCOHOLIC BEVERAGE CONTROL LAW,17
9,1,FRAUDULENT ACCOSTING,16
10,1,DISORDERLY CONDUCT,16
11,1,VEHICLE AND TRAFFIC LAWS,996
12,1,DANGEROUS WEAPONS,1049
13,1,"LOITERING/GAMBLING (CARDS, DIC",12
14,1,ADMINISTRATIVE CODE,11
15,1,MURDER & NON-NEGL. MANSLAUGHTE,233
16,1,CRIMINAL TRESPASS,632
17,1,PROSTITUTION & RELATED OFFENSES,52
18,1,GAMBLING,52
19,1,OTHER TRAFFIC INFRACTION,226
20,1,OFFENSES INVOLVING FRAUD,277
21,1,BURGLAR'S TOOLS,204
22,1,NYS LAWS-UNCLASSIFIED FELONY,173
23,1,FORGERY,334
24,1,INTOXICATED & IMPAIRED DRIVING,338
25,1,OFFENSES AGAINST THE PERSON,162
26,1,GRAND LARCENY OF MOTOR VEHICLE,137
27,1,FRAUDS,104
28,1,UNAUTHORIZED USE OF A VEHICLE,85
29,1,RAPE,79
30,1,THEFT OF SERVICES,57
31,1,POSSESSION OF STOLEN PROPERTY,493
32,1,SEX CRIMES,502
33,1,OTHER STATE LAWS,54
34,1,MISCELLANEOUS PENAL LAW,1158
35,1,MOVING INFRACTIONS,9
36,1,OTHER OFFENSES RELATED TO THEF,233
37,1,BURGLARY,2621
38,1,HOMICIDE-NEGLIGENT-VEHICLE,2
39,1,ANTICIPATORY OFFENSES,3
40,1,GRAND LARCENY,2603
41,1,FELONY ASSAULT,2383
42,1,ENDAN WELFARE INCOMP,2
43,1,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",2
44,1,OFFENSES RELATED TO CHILDREN,2
45,1,ROBBERY,1896
46,1,DANGEROUS DRUGS,2981
47,1,JOSTLING,6
48,1,CRIMINAL MISCHIEF & RELATED OF,1797
49,1,KIDNAPPING AND RELATED OFFENSES,1
50,1,HARRASSMENT 2,7
51,1,OFFENSES AGAINST PUBLIC ADMINI,1432
52,1,KIDNAPPING,1
53,1,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,7
54,1,NEW YORK CITY HEALTH CODE,1
55,1,KIDNAPPING & RELATED OFFENSES,6
56,1,CHILD ABANDONMENT/NON SUPPORT,7
57,1,ESCAPE 3,2
58,1,ASSAULT 3 & RELATED OFFENSES,4424
59,1,PETIT LARCENY,4066
60,2,NYS LAWS-UNCLASSIFIED FELONY,123
61,2,GAMBLING,101
62,2,OFFENSES AGAINST THE PERSON,198
63,2,ALCOHOLIC BEVERAGE CONTROL LAW,89
64,2,CRIMINAL TRESPASS,184
65,2,UNAUTHORIZED USE OF A VEHICLE,88
66,2,BURGLAR'S TOOLS,86
67,2,RAPE,174
68,2,OTHER OFFENSES RELATED TO THEF,144
69,2,ESCAPE 3,1
70,2,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,8
71,2,INTOXICATED/IMPAIRED DRIVING,63
72,2,KIDNAPPING & RELATED OFFENSES,8
73,2,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",13
74,2,HARRASSMENT 2,7
75,2,CHILD ABANDONMENT/NON SUPPORT,7
76,2,ENDAN WELFARE INCOMP,6
77,2,ARSON,18
78,2,OTHER STATE LAWS,19
79,2,ADMINISTRATIVE CODE,19
