,SchoolDist,AgeGroup,PerpSex,CrimeCount
0,1,65+,F,9
1,1,45-64,M,690
2,1,18-24,M,672
3,1,25-44,M,1806
4,1,25-44,F,412
5,1,<18,F,40
6,1,65+,M,46
7,1,18-24,F,210
8,1,<18,M,84
9,1,45-64,F,167
10,2,25-44,M,13265
11,2,45-64,F,1125
12,2,<18,M,834
13,2,<18,F,365
14,2,65+,M,354
15,2,25-44,F,2857
16,2,18-24,F,1345
17,2,65+,F,100
18,2,45-64,M,6731
19,2,18-24,M,4459
20,3,45-64,F,243
21,3,25-44,M,2015
22,3,18-24,M,668
23,3,65+,F,10
24,3,<18,F,34
25,3,25-44,F,553
26,3,45-64,M,1144
27,3,<18,M,194
28,3,65+,M,81
29,3,18-24,F,190
30,4,45-64,M,1025
31,4,65+,F,12
32,4,18-24,M,967
33,4,65+,M,61
34,4,<18,M,242
35,4,<18,F,78
36,4,18-24,F,296
37,4,25-44,M,2540
38,4,45-64,F,208
39,4,25-44,F,638
40,5,18-24,F,326
41,5,<18,M,286
42,5,65+,F,10
43,5,25-44,F,863
44,5,18-24,M,1232
45,5,<18,F,80
46,5,65+,M,92
47,5,45-64,F,305
48,5,25-44,M,3601
49,5,45-64,M,1709
50,6,<18,F,48
51,6,25-44,M,3404
52,6,18-24,M,1454
53,6,65+,F,5
54,6,45-64,F,165
55,6,65+,M,72
56,6,<18,M,212
57,6,45-64,M,1038
58,6,25-44,F,625
59,6,18-24,F,275
60,7,25-44,M,3562
61,7,25-44,F,770
62,7,45-64,F,212
63,7,65+,M,49
64,7,<18,F,97
65,7,45-64,M,1344
66,7,65+,F,7
67,7,18-24,M,1351
68,7,<18,M,325
69,7,18-24,F,374
70,8,25-44,M,3310
71,8,18-24,F,407
72,8,18-24,M,1545
73,8,65+,F,13
74,8,<18,M,347
75,8,65+,M,52
76,8,45-64,F,232
77,8,45-64,M,1129
78,8,25-44,F,880
79,8,<18,F,108
80,9,<18,M,394
81,9,45-64,M,1925
82,9,<18,F,119
83,9,45-64,F,455
84,9,18-24,M,2051
85,9,18-24,F,456
86,9,65+,M,95
87,9,25-44,F,1129
88,9,25-44,M,4875
89,9,65+,F,7
90,10,25-44,M,5480
91,10,45-64,F,398
92,10,65+,M,101
93,10,18-24,M,2586
94,10,18-24,F,538
95,10,25-44,F,1305
96,10,65+,F,11
97,10,<18,M,552
98,10,<18,F,151
99,10,45-64,M,1967
100,11,<18,M,363
101,11,18-24,F,431
102,11,25-44,F,985
103,11,65+,F,11
104,11,18-24,M,1684
105,11,25-44,M,4195
106,11,45-64,F,306
107,11,<18,F,142
108,11,45-64,M,1480
109,11,65+,M,93
110,12,65+,F,1
111,12,65+,M,40
112,12,<18,F,67
113,12,25-44,M,1981
114,12,18-24,M,999
115,12,<18,M,197
116,12,45-64,F,185
117,12,45-64,M,827
118,12,18-24,F,237
119,12,25-44,F,533
120,13,65+,M,95
121,13,65+,F,23
122,13,45-64,F,314
123,13,<18,F,74
124,13,25-44,M,3002
125,13,18-24,F,339
126,13,<18,M,309
127,13,45-64,M,1492
128,13,18-24,M,1209
129,13,25-44,F,814
130,14,18-24,F,204
131,14,25-44,M,2385
132,14,45-64,M,908
133,14,<18,F,40
134,14,45-64,F,133
135,14,18-24,M,873
136,14,25-44,F,405
137,14,<18,M,170
138,14,65+,F,5
139,14,65+,M,40
140,15,25-44,M,3085
141,15,<18,F,85
142,15,18-24,M,1110
143,15,25-44,F,648
144,15,<18,M,209
145,15,45-64,F,223
146,15,18-24,F,224
147,15,45-64,M,1246
148,15,65+,F,16
149,15,65+,M,67
150,16,65+,M,45
151,16,<18,F,49
152,16,65+,F,4
153,16,18-24,M,650
154,16,<18,M,182
155,16,18-24,F,149
156,16,45-64,M,675
157,16,45-64,F,123
158,16,25-44,M,1566
159,16,25-44,F,374
160,17,18-24,M,1374
161,17,45-64,M,1501
162,17,65+,F,17
163,17,18-24,F,268
164,17,65+,M,84
165,17,25-44,M,3579
166,17,45-64,F,255
167,17,<18,M,346
168,17,<18,F,72
169,17,25-44,F,654
170,18,65+,M,52
171,18,18-24,F,151
172,18,45-64,M,659
173,18,25-44,M,1895
174,18,65+,F,4
175,18,45-64,F,118
176,18,25-44,F,389
177,18,<18,F,36
178,18,18-24,M,786
179,18,<18,M,157
180,19,25-44,M,2867
181,19,65+,F,6
182,19,65+,M,50
183,19,18-24,F,399
184,19,25-44,F,750
185,19,<18,M,232
186,19,<18,F,75
187,19,18-24,M,1267
188,19,45-64,M,1026
189,19,45-64,F,228
190,20,45-64,F,181
191,20,65+,F,11
192,20,65+,M,52
193,20,<18,F,34
194,20,<18,M,194
195,20,18-24,M,1025
196,20,18-24,F,120
197,20,25-44,M,2473
198,20,25-44,F,387
199,20,45-64,M,769
200,21,45-64,F,163
201,21,<18,F,71
202,21,<18,M,295
203,21,45-64,M,892
204,21,65+,M,60
205,21,65+,F,10
206,21,25-44,M,2608
207,21,18-24,M,1131
208,21,18-24,F,168
209,21,25-44,F,437
210,22,65+,F,15
211,22,<18,M,318
212,22,25-44,F,595
213,22,45-64,F,223
214,22,18-24,M,1189
215,22,45-64,M,864
216,22,18-24,F,288
217,22,65+,M,73
218,22,25-44,M,2652
219,22,<18,F,89
220,23,25-44,M,2057
221,23,<18,F,60
222,23,18-24,M,983
223,23,18-24,F,203
224,23,65+,M,39
225,23,45-64,M,866
226,23,65+,F,6
227,23,45-64,F,143
228,23,25-44,F,482
229,23,<18,M,222
230,24,25-44,F,707
231,24,45-64,M,964
232,24,65+,F,19
233,24,65+,M,62
234,24,18-24,M,1414
235,24,18-24,F,329
236,24,<18,F,103
237,24,45-64,F,249
238,24,<18,M,362
239,24,25-44,M,3507
240,25,25-44,M,2216
241,25,18-24,M,987
242,25,65+,M,66
243,25,45-64,F,220
244,25,45-64,M,870
245,25,<18,F,76
246,25,18-24,F,204
247,25,25-44,F,572
248,25,<18,M,264
249,25,65+,F,37
250,26,<18,M,81
251,26,25-44,M,578
252,26,65+,M,22
253,26,18-24,F,58
254,26,<18,F,14
255,26,25-44,F,146
256,26,45-64,F,49
257,26,65+,F,10
258,26,18-24,M,269
259,26,45-64,M,219
260,27,65+,M,121
261,27,45-64,M,1592
262,27,<18,F,101
263,27,25-44,M,4404
264,27,18-24,M,2015
265,27,65+,F,15
266,27,25-44,F,898
267,27,18-24,F,379
268,27,<18,M,513
269,27,45-64,F,332
270,28,18-24,F,341
271,28,25-44,F,806
272,28,25-44,M,4152
273,28,65+,M,166
274,28,<18,F,95
275,28,65+,F,19
276,28,<18,M,288
277,28,45-64,M,1721
278,28,18-24,M,1699
279,28,45-64,F,246
280,29,18-24,M,1210
281,29,65+,F,15
282,29,18-24,F,293
283,29,45-64,M,944
284,29,25-44,M,2589
285,29,25-44,F,617
286,29,45-64,F,167
287,29,<18,M,240
288,29,<18,F,58
289,29,65+,M,82
290,30,25-44,M,4417
291,30,<18,M,272
292,30,65+,M,82
293,30,45-64,M,1297
294,30,<18,F,60
295,30,25-44,F,737
296,30,65+,F,25
297,30,18-24,F,321
298,30,18-24,M,1662
299,30,45-64,F,252
300,31,45-64,F,473
301,31,<18,F,139
302,31,<18,M,482
303,31,25-44,F,1171
304,31,45-64,M,1679
305,31,18-24,M,1628
306,31,65+,F,29
307,31,25-44,M,4279
308,31,65+,M,100
309,31,18-24,F,444
310,32,45-64,M,531
311,32,45-64,F,97
312,32,18-24,F,123
313,32,<18,M,92
314,32,25-44,F,288
315,32,25-44,M,1347
316,32,18-24,M,511
317,32,<18,F,22
318,32,65+,M,24
