,SchoolDist,AgeGroup,PerpSex,CrimeCount
0,1,45-64,F,56
1,1,18-24,M,279
2,1,25-44,F,249
3,1,65+,M,28
4,1,25-44,M,1052
5,1,<18,M,81
6,1,45-64,M,340
7,1,<18,F,12
8,1,65+,F,7
9,1,18-24,F,67
10,2,25-44,F,1476
11,2,45-64,F,422
12,2,18-24,M,2218
13,2,25-44,M,7312
14,2,<18,M,512
15,2,45-64,M,3137
16,2,65+,F,27
17,2,18-24,F,557
18,2,65+,M,172
19,2,<18,F,132
20,3,45-64,M,726
21,3,25-44,F,280
22,3,25-44,M,1358
23,3,<18,F,8
24,3,65+,F,10
25,3,18-24,F,83
26,3,65+,M,40
27,3,<18,M,65
28,3,18-24,M,354
29,3,45-64,F,111
30,4,65+,M,38
31,4,18-24,M,489
32,4,<18,F,23
33,4,25-44,F,332
34,4,25-44,M,1352
35,4,65+,F,7
36,4,<18,M,100
37,4,45-64,F,98
38,4,45-64,M,614
39,4,18-24,F,127
40,5,18-24,M,678
41,5,25-44,M,2238
42,5,65+,M,49
43,5,25-44,F,475
44,5,<18,M,172
45,5,<18,F,25
46,5,18-24,F,195
47,5,45-64,F,139
48,5,45-64,M,967
49,5,65+,F,11
50,6,18-24,M,716
51,6,18-24,F,154
52,6,45-64,M,569
53,6,<18,M,130
54,6,65+,F,10
55,6,65+,M,48
56,6,25-44,M,1863
57,6,<18,F,17
58,6,45-64,F,99
59,6,25-44,F,347
60,7,18-24,F,202
61,7,45-64,F,148
62,7,<18,M,231
63,7,<18,F,43
64,7,25-44,F,488
65,7,65+,M,43
66,7,45-64,M,807
67,7,25-44,M,2432
68,7,65+,F,3
69,7,18-24,M,972
70,8,45-64,F,176
71,8,<18,F,42
72,8,<18,M,211
73,8,65+,M,64
74,8,25-44,M,2343
75,8,25-44,F,468
76,8,18-24,F,207
77,8,18-24,M,967
78,8,45-64,M,703
79,8,65+,F,4
80,9,65+,F,7
81,9,65+,M,69
82,9,18-24,F,229
83,9,45-64,M,922
84,9,<18,F,51
85,9,<18,M,206
86,9,18-24,M,1122
87,9,25-44,F,612
88,9,25-44,M,2993
89,9,45-64,F,211
90,10,18-24,M,1376
91,10,45-64,M,1136
92,10,45-64,F,180
93,10,<18,F,71
94,10,65+,F,16
95,10,18-24,F,276
96,10,25-44,F,730
97,10,65+,M,66
98,10,25-44,M,3502
99,10,<18,M,259
100,11,18-24,M,871
101,11,<18,M,192
102,11,65+,M,48
103,11,45-64,M,748
104,11,25-44,F,563
105,11,<18,F,39
106,11,25-44,M,2575
107,11,45-64,F,141
108,11,18-24,F,207
109,11,65+,F,7
110,12,25-44,M,1136
111,12,65+,M,29
