,SchoolDist,AgeGroup,PerpSex,CrimeCount
0,1,45-64,F,157
1,1,25-44,M,2758
2,1,25-44,F,405
3,1,18-24,F,326
4,1,<18,M,309
5,1,45-64,M,1226
6,1,18-24,M,1415
7,1,65+,M,69
8,1,<18,F,92
9,1,65+,F,7
10,2,18-24,F,2693
11,2,<18,M,1507
12,2,45-64,F,1740
13,2,65+,M,536
14,2,<18,F,717
15,2,65+,F,109
16,2,25-44,F,4064
17,2,25-44,M,19541
18,2,18-24,M,9558
19,2,45-64,M,10553
20,3,65+,M,158
21,3,<18,M,382
22,3,25-44,F,726
23,3,25-44,M,3196
24,3,65+,F,36
25,3,<18,F,105
26,3,18-24,F,382
27,3,45-64,M,2574
28,3,18-24,M,1677
29,3,45-64,F,476
30,4,18-24,M,1988
31,4,25-44,M,3536
32,4,<18,M,534
33,4,45-64,M,1863
34,4,65+,M,91
35,4,45-64,F,269
36,4,<18,F,113
37,4,65+,F,17
38,4,18-24,F,414
39,4,25-44,F,594
40,5,<18,M,693
41,5,65+,M,181
42,5,<18,F,236
43,5,18-24,F,723
44,5,45-64,F,666
45,5,18-24,M,3179
46,5,25-44,F,1148
47,5,25-44,M,6542
48,5,45-64,M,3855
49,5,65+,F,32
50,6,65+,F,20
51,6,65+,M,137
52,6,<18,F,121
53,6,18-24,F,592
54,6,45-64,M,2288
55,6,18-24,M,3999
56,6,25-44,F,886
57,6,25-44,M,6352
58,6,<18,M,806
59,6,45-64,F,350
60,7,65+,F,5
61,7,45-64,M,1964
62,7,<18,M,834
63,7,<18,F,226
64,7,65+,M,74
65,7,45-64,F,378
66,7,25-44,F,827
67,7,18-24,M,2945
68,7,25-44,M,4994
69,7,18-24,F,579
70,8,45-64,F,416
71,8,<18,F,255
72,8,65+,F,5
73,8,25-44,F,1208
74,8,45-64,M,1832
75,8,25-44,M,4584
76,8,18-24,F,664
77,8,<18,M,870
78,8,18-24,M,2994
79,8,65+,M,80
80,9,25-44,F,1476
81,9,<18,F,352
82,9,45-64,M,2795
83,9,65+,M,87
84,9,<18,M,1314
85,9,65+,F,18
86,9,25-44,M,6257
87,9,18-24,F,922
88,9,18-24,M,4022
89,9,45-64,F,584
90,10,18-24,M,4621
91,10,18-24,F,911
92,10,65+,F,22
