,Precinct,AgeGroup,PerpSex,CrimeCount
0,1,<18,M,193
1,1,18-24,F,339
2,1,45-64,F,196
3,1,65+,F,18
4,1,25-44,M,2027
5,1,45-64,M,950
6,1,18-24,M,1053
7,1,65+,M,68
8,1,25-44,F,508
9,1,<18,F,127
10,5,45-64,F,307
11,5,25-44,M,2165
12,5,45-64,M,1255
13,5,65+,M,87
14,5,<18,F,192
15,5,18-24,F,258
16,5,65+,F,20
17,5,<18,M,242
18,5,25-44,F,504
19,5,18-24,M,930
20,6,45-64,M,761
21,6,25-44,M,1677
22,6,18-24,M,1021
23,6,65+,M,30
24,6,45-64,F,84
25,6,18-24,F,230
26,6,25-44,F,243
27,6,<18,F,33
28,6,<18,M,95
29,7,<18,F,60
30,7,18-24,M,872
31,7,25-44,M,1623
32,7,65+,M,53
33,7,45-64,F,100
34,7,45-64,M,723
35,7,<18,M,235
36,7,65+,F,7
37,7,25-44,F,275
38,7,18-24,F,176
39,9,45-64,M,740
40,9,18-24,F,226
41,9,65+,M,47
42,9,25-44,F,237
43,9,65+,F,4
44,9,45-64,F,95
45,9,<18,M,177
46,9,18-24,M,1048
47,9,25-44,M,1716
48,9,<18,F,77
49,10,18-24,F,130
50,10,18-24,M,568
51,10,65+,M,24
52,10,45-64,M,621
53,10,25-44,M,1229
54,10,25-44,F,172
55,10,<18,M,68
56,10,<18,F,13
57,10,45-64,F,70
58,13,45-64,M,1216
59,13,<18,M,225
60,13,18-24,M,1256
61,13,18-24,F,339
62,13,25-44,F,355
63,13,25-44,M,1966
64,13,<18,F,76
65,13,45-64,F,133
66,13,65+,M,58
67,13,65+,F,4
68,14,25-44,F,1166
69,14,25-44,M,4673
70,14,65+,M,106
71,14,45-64,M,2811
72,14,<18,F,282
73,14,18-24,F,903
74,14,<18,M,292
75,14,18-24,M,2524
76,14,65+,F,25
77,14,45-64,F,546
78,17,<18,M,52
79,17,45-64,M,452
80,17,45-64,F,61
81,17,25-44,F,164
82,17,65+,F,1
83,17,18-24,M,403
84,17,<18,F,12
85,17,25-44,M,822
86,17,18-24,F,81
87,17,65+,M,19
88,18,45-64,M,1020
89,18,65+,F,15
90,18,18-24,M,1105
91,18,18-24,F,313
92,18,65+,M,44
93,18,25-44,F,441
94,18,45-64,F,182
95,18,<18,M,154
96,18,25-44,M,1936
97,18,<18,F,68
98,19,45-64,M,637
99,19,18-24,F,230
100,19,<18,F,88
101,19,25-44,F,289
102,19,45-64,F,136
103,19,65+,F,8
104,19,18-24,M,614
105,19,65+,M,28
106,19,25-44,M,1240
107,19,<18,M,140
108,20,25-44,M,678
109,20,25-44,F,172
110,20,<18,F,56
111,20,45-64,F,84
112,20,65+,M,18
113,20,18-24,F,129
114,20,18-24,M,383
115,20,45-64,M,389
116,20,<18,M,114
117,20,65+,F,7
118,22,<18,F,3
119,22,65+,M,9
120,22,18-24,F,17
121,22,25-44,M,227
122,22,45-64,M,119
123,22,<18,M,31
124,22,18-24,M,163
125,22,45-64,F,4
126,22,25-44,F,13
127,23,18-24,M,1328
128,23,65+,F,2
129,23,18-24,F,267
130,23,<18,F,116
131,23,45-64,F,167
132,23,25-44,F,319
133,23,<18,M,440
134,23,25-44,M,1890
135,23,45-64,M,1119
136,23,65+,M,48
137,24,18-24,M,694
138,24,18-24,F,145
139,24,65+,F,12
140,24,<18,F,46
141,24,65+,M,50
142,24,45-64,M,726
143,24,<18,M,182
144,24,25-44,M,1011
145,24,25-44,F,204
146,24,45-64,F,124
147,25,65+,F,3
148,25,<18,M,360
149,25,18-24,F,318
150,25,25-44,M,3666
151,25,<18,F,107
152,25,45-64,M,2279
153,25,18-24,M,1630
154,25,65+,M,101
155,25,45-64,F,330
156,25,25-44,F,556
157,26,18-24,F,197
158,26,65+,F,2
159,26,18-24,M,911
160,26,25-44,F,191
161,26,25-44,M,1206
162,26,45-64,F,95
163,26,45-64,M,591
164,26,<18,F,78
165,26,<18,M,285
166,26,65+,M,18
167,28,18-24,M,1068
168,28,<18,F,124
169,28,<18,M,225
170,28,45-64,F,297
171,28,65+,F,8
172,28,18-24,F,259
173,28,25-44,M,1915
174,28,25-44,F,455
175,28,65+,M,78
176,28,45-64,M,1548
177,30,25-44,M,1661
178,30,45-64,F,115
179,30,45-64,M,682
180,30,<18,F,51
181,30,25-44,F,286
182,30,65+,F,3
183,30,<18,M,304
184,30,65+,M,22
185,30,18-24,M,1161
186,30,18-24,F,221
187,32,45-64,M,1234
188,32,25-44,M,1928
189,32,18-24,M,1303
190,32,<18,M,410
191,32,45-64,F,255
192,32,65+,M,77
193,32,<18,F,115
194,32,25-44,F,462
195,32,65+,F,21
196,32,18-24,F,281
197,33,25-44,M,1977
198,33,65+,F,3
199,33,25-44,F,291
200,33,<18,F,54
201,33,18-24,F,204
202,33,65+,M,33
203,33,18-24,M,1334
204,33,<18,M,300
205,33,45-64,M,762
206,33,45-64,F,128
207,34,<18,F,43
208,34,18-24,M,1764
209,34,45-64,F,103
210,34,<18,M,434
211,34,65+,M,41
212,34,25-44,M,2337
213,34,65+,F,4
214,34,45-64,M,713
215,34,18-24,F,235
216,34,25-44,F,312
217,40,65+,M,64
218,40,<18,F,193
219,40,18-24,M,2527
220,40,18-24,F,511
221,40,<18,M,811
222,40,25-44,F,741
223,40,25-44,M,4253
224,40,45-64,F,350
225,40,65+,F,7
226,40,45-64,M,1807
227,41,<18,M,625
228,41,65+,M,37
229,41,25-44,F,663
230,41,18-24,F,471
231,41,<18,F,154
232,41,65+,F,4
233,41,45-64,M,942
234,41,18-24,M,1822
235,41,45-64,F,249
236,41,25-44,M,2417
237,42,18-24,M,1642
238,42,<18,F,184
239,42,65+,M,24
240,42,25-44,M,1935
241,42,18-24,F,357
242,42,45-64,F,188
243,42,25-44,F,487
244,42,<18,M,623
245,42,65+,F,5
246,42,45-64,M,898
247,43,65+,M,55
248,43,18-24,M,2610
249,43,45-64,F,290
250,43,<18,F,275
251,43,65+,F,3
252,43,<18,M,810
253,43,25-44,F,779
254,43,25-44,M,3674
255,43,45-64,M,1378
256,43,18-24,F,501
257,44,65+,M,85
258,44,18-24,F,648
259,44,25-44,F,963
260,44,45-64,F,441
261,44,45-64,M,2119
262,44,65+,F,14
263,44,25-44,M,4468
264,44,18-24,M,3088
265,44,<18,F,333
266,44,<18,M,1114
267,45,25-44,M,1088
268,45,65+,F,8
269,45,18-24,M,702
270,45,45-64,F,142
271,45,65+,M,21
272,45,45-64,M,395
273,45,<18,F,73
274,45,25-44,F,276
275,45,18-24,F,164
276,45,<18,M,298
277,46,<18,F,98
278,46,45-64,M,1362
279,46,65+,F,3
280,46,25-44,F,632
281,46,18-24,F,300
282,46,45-64,F,317
283,46,65+,M,49
284,46,<18,M,554
285,46,25-44,M,3265
286,46,18-24,M,2217
287,47,65+,M,23
288,47,45-64,M,722
289,47,18-24,F,369
290,47,65+,F,6
291,47,<18,M,621
292,47,<18,F,140
293,47,45-64,F,169
294,47,25-44,M,2166
295,47,25-44,F,470
296,47,18-24,M,1870
297,48,18-24,F,264
298,48,<18,M,468
299,48,45-64,M,1094
300,48,65+,M,52
301,48,25-44,M,2350
302,48,25-44,F,535
303,48,<18,F,117
304,48,18-24,M,1559
305,48,65+,F,6
306,48,45-64,F,249
307,49,18-24,F,169
308,49,18-24,M,951
309,49,25-44,F,305
310,49,25-44,M,1299
311,49,<18,F,98
312,49,65+,F,3
313,49,45-64,F,125
314,49,<18,M,344
315,49,65+,M,34
316,49,45-64,M,543
317,50,45-64,F,66
318,50,45-64,M,259
319,50,18-24,M,528
320,50,<18,M,167
321,50,25-44,F,173
322,50,18-24,F,98
323,50,25-44,M,796
324,50,65+,F,2
325,50,<18,F,38
326,50,65+,M,13
327,52,45-64,F,280
328,52,<18,F,184
329,52,18-24,F,536
330,52,65+,M,30
331,52,25-44,M,3510
332,52,18-24,M,2334
333,52,65+,F,2
334,52,45-64,M,1399
335,52,<18,M,650
336,52,25-44,F,777
337,60,18-24,M,1123
338,60,65+,M,25
339,60,25-44,F,247
340,60,<18,F,68
341,60,25-44,M,1447
342,60,<18,M,406
343,60,45-64,M,501
344,60,45-64,F,77
345,60,18-24,F,170
346,60,65+,F,5
347,61,25-44,M,1110
348,61,45-64,F,88
349,61,18-24,M,1021
350,61,<18,M,312
351,61,25-44,F,209
352,61,18-24,F,134
353,61,<18,F,73
354,61,45-64,M,340
355,61,65+,F,7
