,SchoolDist,AgeGroup,PerpSex,CrimeCount
0,1,65+,M,57
1,1,18-24,M,983
2,1,45-64,F,114
3,1,65+,F,8
4,1,<18,M,160
5,1,45-64,M,631
6,1,<18,F,39
7,1,25-44,M,2034
8,1,25-44,F,457
9,1,18-24,F,281
10,2,25-44,M,15555
11,2,25-44,F,3237
12,2,45-64,F,1190
13,2,<18,F,492
14,2,<18,M,996
15,2,65+,F,114
16,2,18-24,M,6610
17,2,45-64,M,7231
18,2,18-24,F,1771
19,2,65+,M,442
20,3,25-44,F,576
21,3,25-44,M,2633
22,3,65+,F,16
23,3,<18,F,62
24,3,18-24,F,267
25,3,<18,M,263
26,3,45-64,F,252
27,3,65+,M,67
28,3,45-64,M,1496
29,3,18-24,M,1081
30,4,65+,F,15
31,4,18-24,M,1478
32,4,45-64,M,1160
33,4,25-44,M,2922
34,4,25-44,F,649
35,4,<18,F,94
36,4,65+,M,50
37,4,18-24,F,376
38,4,<18,M,323
39,4,45-64,F,220
40,5,18-24,F,456
41,5,45-64,F,329
42,5,<18,M,313
43,5,65+,M,89
44,5,65+,F,13
45,5,25-44,F,858
46,5,18-24,M,1789
47,5,<18,F,100
48,5,45-64,M,1888
49,5,25-44,M,4413
50,6,25-44,M,4290
51,6,25-44,F,676
52,6,<18,M,340
53,6,18-24,F,384
54,6,45-64,M,1358
55,6,<18,F,66
56,6,18-24,M,2153
57,6,45-64,F,191
58,6,65+,M,75
59,6,65+,F,8
60,7,<18,M,484
61,7,45-64,M,1423
62,7,45-64,F,201
63,7,18-24,F,476
64,7,65+,F,7
65,7,65+,M,47
66,7,25-44,M,4252
67,7,25-44,F,778
68,7,<18,F,144
69,7,18-24,M,1944
70,8,65+,F,8
71,8,25-44,M,3841
72,8,<18,F,130
73,8,18-24,M,2240
74,8,18-24,F,569
75,8,45-64,M,1322
76,8,<18,M,430
77,8,65+,M,54
78,8,45-64,F,276
79,8,25-44,F,985
80,9,18-24,F,551
81,9,<18,M,519
82,9,65+,M,69
83,9,<18,F,165
84,9,45-64,F,308
85,9,18-24,M,2628
86,9,45-64,M,1789
87,9,25-44,M,4990
88,9,65+,F,12
89,9,25-44,F,1060
90,10,25-44,F,1301
91,10,<18,F,218
92,10,45-64,M,2061
93,10,<18,M,789
94,10,18-24,F,614
95,10,18-24,M,3182
96,10,65+,M,81
97,10,65+,F,8
98,10,25-44,M,5766
99,10,45-64,F,384
100,11,65+,M,87
101,11,45-64,F,306
102,11,<18,F,151
103,11,<18,M,573
104,11,18-24,M,2235
105,11,18-24,F,520
106,11,25-44,M,4169
107,11,25-44,F,928
108,11,65+,F,11
109,11,45-64,M,1474
110,12,25-44,F,537
111,12,65+,M,46
112,12,18-24,M,1240
113,12,18-24,F,258
114,12,25-44,M,2538
115,12,65+,F,8
116,12,<18,M,315
117,12,45-64,M,1040
118,12,<18,F,84
119,12,45-64,F,210
120,13,25-44,M,3547
121,13,45-64,F,330
122,13,45-64,M,1778
123,13,18-24,M,1599
124,13,<18,M,389
125,13,65+,M,86
126,13,18-24,F,407
127,13,65+,F,20
128,13,<18,F,120
129,13,25-44,F,849
130,14,65+,F,7
131,14,<18,F,57
132,14,45-64,F,142
133,14,25-44,F,473
134,14,65+,M,43
135,14,18-24,F,218
136,14,25-44,M,2797
137,14,<18,M,221
138,14,18-24,M,1157
139,14,45-64,M,1112
140,15,18-24,M,1368
141,15,<18,M,280
142,15,25-44,F,684
143,15,25-44,M,3404
144,15,65+,F,10
145,15,65+,M,76
146,15,18-24,F,309
147,15,45-64,M,1434
148,15,<18,F,87
149,15,45-64,F,291
150,16,<18,M,220
151,16,65+,M,40
152,16,<18,F,59
153,16,25-44,F,415
154,16,65+,F,8
155,16,45-64,F,139
156,16,18-24,M,812
157,16,25-44,M,1849
158,16,18-24,F,182
159,16,45-64,M,742
160,17,18-24,F,357
161,17,45-64,F,294
162,17,25-44,F,701
163,17,45-64,M,1738
164,17,65+,M,92
165,17,25-44,M,4182
166,17,<18,F,125
167,17,65+,F,17
168,17,<18,M,493
169,17,18-24,M,1789
170,18,<18,M,225
171,18,18-24,F,167
172,18,65+,F,6
173,18,45-64,F,160
174,18,<18,F,46
175,18,45-64,M,682
176,18,65+,M,28
177,18,18-24,M,1049
178,18,25-44,F,396
179,18,25-44,M,2052
180,19,18-24,F,393
181,19,25-44,F,820
182,19,25-44,M,3227
183,19,<18,M,481
