,SchoolDist,AgeGroup,PerpSex,CrimeCount
0,1,<18,M,245
1,1,45-64,F,113
2,1,25-44,F,463
3,1,65+,F,8
4,1,25-44,M,2285
5,1,18-24,M,1342
6,1,65+,M,38
7,1,<18,F,98
8,1,45-64,M,943
9,1,18-24,F,266
10,2,25-44,F,3490
11,2,65+,M,427
12,2,65+,F,104
13,2,25-44,M,18362
14,2,<18,M,1354
15,2,45-64,F,1409
16,2,18-24,M,8912
17,2,45-64,M,9080
18,2,18-24,F,2344
19,2,<18,F,710
20,3,25-44,F,640
21,3,18-24,M,1376
22,3,25-44,M,2782
23,3,<18,M,373
24,3,45-64,F,335
25,3,18-24,F,346
26,3,65+,M,104
27,3,65+,F,19
28,3,<18,F,94
29,3,45-64,M,1883
30,4,18-24,F,358
31,4,25-44,M,3309
32,4,<18,M,409
33,4,18-24,M,1615
34,4,45-64,M,1556
35,4,25-44,F,537
36,4,65+,M,74
37,4,<18,F,77
38,4,45-64,F,231
39,4,65+,F,7
40,5,25-44,F,1016
41,5,18-24,M,2339
42,5,45-64,M,2908
43,5,65+,F,18
44,5,<18,M,601
45,5,18-24,F,553
46,5,45-64,F,532
47,5,65+,M,138
48,5,<18,F,174
49,5,25-44,M,5261
50,6,65+,F,7
51,6,25-44,F,729
52,6,<18,M,628
53,6,<18,F,106
54,6,65+,M,109
55,6,45-64,M,1849
56,6,45-64,F,304
57,6,18-24,F,448
58,6,18-24,M,2984
59,6,25-44,M,5131
60,7,65+,M,39
61,7,25-44,F,1013
62,7,18-24,M,2872
63,7,<18,M,851
64,7,65+,F,10
65,7,18-24,F,582
66,7,45-64,M,2322
67,7,45-64,F,385
68,7,<18,F,205
69,7,25-44,M,5362
70,8,25-44,F,938
71,8,65+,M,58
72,8,<18,M,784
73,8,65+,F,7
74,8,45-64,F,306
75,8,25-44,M,4098
76,8,18-24,F,580
77,8,<18,F,180
78,8,18-24,M,2693
79,8,45-64,M,1473
80,9,<18,M,1068
81,9,18-24,F,701
82,9,65+,M,96
83,9,45-64,F,448
84,9,18-24,M,3778
85,9,45-64,M,2380
86,9,<18,F,226
87,9,25-44,F,1172
88,9,65+,F,12
89,9,25-44,M,5937
90,10,18-24,F,719
91,10,25-44,F,1239
92,10,<18,M,945
93,10,45-64,M,2414
94,10,45-64,F,405
95,10,65+,M,95
96,10,25-44,M,6345
97,10,18-24,M,3823
98,10,65+,F,10
99,10,<18,F,212
100,11,65+,F,4
101,11,18-24,M,2579
102,11,25-44,M,3907
103,11,45-64,M,1455
104,11,<18,M,763
105,11,18-24,F,628
106,11,<18,F,302
107,11,45-64,F,339
108,11,25-44,F,943
109,11,65+,M,57
110,12,25-44,F,606
111,12,18-24,F,400
112,12,45-64,M,1151
113,12,18-24,M,1797
114,12,<18,M,538
115,12,45-64,F,270
116,12,<18,F,134
117,12,65+,F,9
118,12,25-44,M,2790
119,12,65+,M,55
120,13,25-44,F,911
121,13,18-24,M,1884
122,13,45-64,F,430
123,13,18-24,F,489
124,13,65+,M,81
125,13,25-44,M,3743
126,13,45-64,M,2039
127,13,65+,F,19
128,13,<18,F,174
129,13,<18,M,561
130,14,45-64,F,136
131,14,65+,M,41
132,14,45-64,M,1123
133,14,25-44,F,348
134,14,<18,M,441
135,14,18-24,F,228
