,SchoolDist,OfnsDesc,CrimeCount
0,1,HARRASSMENT 2,3
1,1,OTHER TRAFFIC INFRACTION,322
2,1,F.C.A. P.I.N.O.S.,7
3,1,BURGLAR'S TOOLS,7
4,1,INTOXICATED/IMPAIRED DRIVING,8
5,1,ARSON,4
6,1,HARASSMENT,20
7,1,FRAUDS,23
8,1,MOVING INFRACTIONS,8
9,1,JOSTLING,1
10,1,KIDNAPPING & RELATED OFFENSES,1
11,1,OTHER STATE LAWS,559
12,1,OTHER STATE LAWS (NON PENAL LAW),206
13,1,CHILD ABANDONMENT/NON SUPPORT 1,1
14,1,FRAUDULENT ACCOSTING,1
15,1,DANGEROUS DRUGS,1654
16,1,OFFENSES AGAINST THE PERSON,30
17,1,PROSTITUTION & RELATED OFFENSES,6
18,1,ALCOHOLIC BEVERAGE CONTROL LAW,2
19,1,ANTICIPATORY OFFENSES,2
20,1,PETIT LARCENY,81
21,1,RAPE,4
22,1,SEX CRIMES,24
23,1,POSSESSION OF STOLEN PROPERTY 5,244
24,1,INTOXICATED & IMPAIRED DRIVING,91
25,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,99
26,1,MISCELLANEOUS PENAL LAW,180
27,1,THEFT-FRAUD,22
28,1,CRIMINAL MISCHIEF & RELATED OFFENSES,259
29,1,BURGLARY,102
30,1,FORGERY,103
31,1,DANGEROUS WEAPONS,328
32,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),6
33,1,VEHICLE AND TRAFFIC LAWS,66
34,1,OFFENSES INVOLVING FRAUD,15
35,1,LOITERING FOR DRUG PURPOSES,2
36,1,POSSESSION OF STOLEN PROPERTY,17
37,1,ASSAULT 3 & RELATED OFFENSES,552
38,1,OFFENSES RELATED TO CHILDREN,4
39,1,DISORDERLY CONDUCT,42
40,1,ROBBERY,153
41,1,CRIMINAL TRESPASS,520
42,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,203
43,1,GRAND LARCENY OF MOTOR VEHICLE,9
44,1,OTHER OFFENSES RELATED TO THEFT,173
45,1,MURDER & NON-NEGL. MANSLAUGHTER,9
46,1,FORCIBLE TOUCHING,10
47,1,FELONY ASSAULT,199
48,1,GRAND LARCENY,168
49,1,GAMBLING,9
50,2,DANGEROUS WEAPONS,899
51,2,INTOXICATED & IMPAIRED DRIVING,906
52,2,DISORDERLY CONDUCT,910
53,2,CHILD ABANDONMENT/NON SUPPORT 1,1
54,2,OFFENSES AGAINST PUBLIC SAFETY,21
55,2,OTHER OFFENSES RELATED TO THEFT,4022
56,2,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,2
57,2,CRIMINAL MISCHIEF & RELATED OFFENSES,1003
58,2,ROBBERY,1008
59,2,ALCOHOLIC BEVERAGE CONTROL LAW,2
60,2,OTHER STATE LAWS (NON PENAL LAW),3131
61,2,HOMICIDE-NEGLIGENT-VEHICLE,2
62,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),42
63,2,GRAND LARCENY OF MOTOR VEHICLE,30
64,2,FELONY ASSAULT,875
65,2,FRAUDULENT ACCOSTING,179
66,2,POSSESSION OF STOLEN PROPERTY 5,7676
67,2,VEHICLE AND TRAFFIC LAWS,758
68,2,HARRASSMENT 2,27
69,2,"LOITERING/GAMBLING (CARDS, DICE, ETC)",4
70,2,LOITERING FOR DRUG PURPOSES,4
71,2,THEFT-FRAUD,259
72,2,KIDNAPPING & RELATED OFFENSES,16
73,2,BURGLARY,794
74,2,OTHER STATE LAWS,5333
75,2,GAMBLING,72
76,2,DANGEROUS DRUGS,4860
77,2,INTOXICATED/IMPAIRED DRIVING,70
78,2,JOSTLING,13
79,2,ANTICIPATORY OFFENSES,13
80,2,F.C.A. P.I.N.O.S.,378
81,2,ARSON,19
82,2,ESCAPE 3,6
83,2,OTHER TRAFFIC INFRACTION,2263
84,2,BURGLAR'S TOOLS,55
85,2,POSSESSION OF STOLEN PROPERTY,276
86,2,OFFENSES RELATED TO CHILDREN,6
87,2,FORGERY,1389
88,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,1225
89,2,FRAUDS,196
90,2,OFFENSES INVOLVING FRAUD,1209
91,2,CRIMINAL TRESPASS,1207
92,2,HARASSMENT,137
93,2,MOVING INFRACTIONS,54
94,2,FORCIBLE TOUCHING,287
95,2,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",1
96,2,PROSTITUTION & RELATED OFFENSES,613
97,2,LOITERING,66
98,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,538
99,2,OFFENSES AGAINST THE PERSON,112
100,2,RAPE,24
