,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,45-64,F,2213
1,1,25-44,M,26635
2,1,18-24,F,2642
3,1,45-64,M,12337
4,1,<18,F,645
5,1,65+,M,706
6,1,18-24,M,9453
7,1,65+,F,146
8,1,<18,M,1854
9,1,25-44,F,5948
10,2,<18,M,2178
11,2,65+,F,50
12,2,65+,M,430
13,2,25-44,F,5601
14,2,45-64,M,8668
15,2,45-64,F,1788
16,2,18-24,M,10209
17,2,<18,F,684
18,2,25-44,M,23386
19,2,18-24,F,2443
20,3,65+,M,681
21,3,25-44,M,29542
22,3,<18,F,707
23,3,18-24,F,2640
24,3,<18,M,2729
25,3,25-44,F,6228
26,3,45-64,M,11437
27,3,18-24,M,12120
28,3,65+,F,117
29,3,45-64,F,2203
30,4,65+,M,601
31,4,65+,F,140
32,4,<18,F,507
33,4,<18,M,2015
34,4,45-64,F,1513
35,4,18-24,F,1921
36,4,25-44,F,4479
37,4,45-64,M,7603
38,4,18-24,M,9250
39,4,25-44,M,21850
40,5,18-24,M,1628
41,5,45-64,M,1679
42,5,25-44,M,4279
43,5,<18,M,482
44,5,45-64,F,473
45,5,18-24,F,444
46,5,<18,F,139
47,5,65+,M,100
48,5,25-44,F,1171
49,5,65+,F,29
