,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,65+,M,810
1,1,25-44,M,34371
2,1,45-64,F,2564
3,1,65+,F,152
4,1,18-24,M,16490
5,1,45-64,M,15887
6,1,18-24,F,4176
7,1,<18,F,1046
8,1,<18,M,2986
9,1,25-44,F,6872
10,2,18-24,F,3219
11,2,45-64,F,1833
12,2,<18,M,4319
13,2,25-44,F,5539
14,2,65+,F,43
15,2,45-64,M,9994
16,2,65+,M,411
17,2,18-24,M,15800
18,2,25-44,M,27110
19,2,<18,F,921
20,3,<18,F,1129
21,3,65+,M,740
22,3,65+,F,127
23,3,25-44,M,35543
24,3,45-64,F,2776
25,3,18-24,F,3784
26,3,<18,M,4290
27,3,18-24,M,18018
28,3,45-64,M,14008
29,3,25-44,F,7191
30,4,18-24,F,2733
31,4,65+,F,103
32,4,25-44,M,24177
33,4,65+,M,535
34,4,<18,M,2885
35,4,<18,F,779
36,4,18-24,M,13688
37,4,25-44,F,5014
38,4,45-64,F,1868
39,4,45-64,M,8534
40,5,<18,M,708
41,5,18-24,F,605
42,5,25-44,M,4844
43,5,25-44,F,1275
44,5,45-64,F,403
45,5,<18,F,205
46,5,45-64,M,1718
47,5,65+,M,105
48,5,18-24,M,2459
49,5,65+,F,22
