,Precinct,OfnsDesc,CrimeCount
125,6,OTHER STATE LAWS (NON PENAL LA,3
126,6,FRAUDS,21
127,6,ASSAULT 3 & RELATED OFFENSES,173
128,6,POSSESSION OF STOLEN PROPERTY,26
129,6,DANGEROUS WEAPONS,49
130,6,OTHER OFFENSES RELATED TO THEFT,347
131,6,PETIT LARCENY,80
132,6,OFFENSES AGAINST PUBLIC ADMINISTRATION,75
133,6,SEX CRIMES,13
134,6,INTOXICATED & IMPAIRED DRIVING,213
135,6,JOSTLING,2
136,6,MURDER & NON-NEGL. MANSLAUGHTER,11
137,6,GRAND LARCENY OF MOTOR VEHICLE,2
138,6,RAPE,3
139,6,DISORDERLY CONDUCT,21
140,6,OTHER TRAFFIC INFRACTION,143
141,6,MOVING INFRACTIONS,7
142,6,GRAND LARCENY,150
143,6,FELONY ASSAULT,79
144,7,VEHICLE AND TRAFFIC LAWS,44
145,7,SEX CRIMES,8
146,7,OFFENSES INVOLVING FRAUD,13
147,7,FRAUDULENT ACCOSTING,1
148,7,INTOXICATED & IMPAIRED DRIVING,122
149,7,ASSAULT 3 & RELATED OFFENSES,263
150,7,BURGLARY,41
151,7,OTHER STATE LAWS (NON PENAL LA,15
152,7,FRAUDS,10
153,7,DISORDERLY CONDUCT,16
154,7,GAMBLING,4
155,7,THEFT-FRAUD,3
156,7,POSSESSION OF STOLEN PROPERTY 5,148
157,7,OTHER TRAFFIC INFRACTION,228
158,7,RAPE,2
159,7,DANGEROUS DRUGS,1013
160,7,GRAND LARCENY OF MOTOR VEHICLE,4
161,7,MOVING INFRACTIONS,8
162,7,ARSON,3
163,7,PETIT LARCENY,72
164,7,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,53
165,7,OFFENSES AGAINST THE PERSON,12
166,7,POSSESSION OF STOLEN PROPERTY,13
167,7,BURGLAR'S TOOLS,5
168,7,OTHER OFFENSES RELATED TO THEFT,211
169,7,MURDER & NON-NEGL. MANSLAUGHTER,7
170,7,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),4
171,7,FELONY ASSAULT,90
172,7,ROBBERY,74
173,7,ALCOHOLIC BEVERAGE CONTROL LAW,14
174,7,GRAND LARCENY,43
175,7,FORGERY,40
176,7,MISCELLANEOUS PENAL LAW,92
177,7,PROSTITUTION & RELATED OFFENSES,5
178,7,OTHER STATE LAWS,207
179,7,ANTICIPATORY OFFENSES,1
180,7,CRIMINAL MISCHIEF & RELATED OFFENSES,125
181,7,HARASSMENT,25
182,7,INTOXICATED/IMPAIRED DRIVING,7
183,7,HARRASSMENT 2,2
184,7,OTHER STATE LAWS (NON PENAL LAW),56
185,7,OFFENSES AGAINST PUBLIC ADMINISTRATION,111
186,7,CRIMINAL TRESPASS,224
187,7,FORCIBLE TOUCHING,3
188,7,DANGEROUS WEAPONS,167
189,9,GRAND LARCENY OF MOTOR VEHICLE,11
190,9,OTHER OFFENSES RELATED TO THEFT,303
191,9,FORGERY,57
192,9,PROSTITUTION & RELATED OFFENSES,5
193,9,OFFENSES AGAINST THE PERSON,24
194,9,DANGEROUS WEAPONS,147
195,9,BURGLAR'S TOOLS,6
196,9,BURGLARY,64
