,SchoolDist,AgeGroup,PerpSex,CrimeCount
0,1,25-44,F,408
1,1,45-64,F,151
2,1,18-24,M,1387
3,1,45-64,M,922
4,1,<18,F,103
5,1,65+,F,4
6,1,25-44,M,2550
7,1,<18,M,348
8,1,18-24,F,273
9,1,65+,M,42
10,2,25-44,M,18356
11,2,<18,F,1098
12,2,25-44,F,3982
13,2,<18,M,2025
14,2,45-64,F,1596
15,2,65+,M,329
16,2,1948,F,1
17,2,1918,M,1
18,2,928,M,1
19,2,45-64,M,8518
20,2,18-24,M,8660
21,2,65+,F,56
22,2,18-24,F,2999
23,3,18-24,F,376
24,3,45-64,F,411
25,3,65+,M,110
26,3,<18,F,156
27,3,25-44,F,784
28,3,65+,F,17
29,3,940,M,1
30,3,45-64,M,2505
31,3,18-24,M,1815
32,3,25-44,M,3933
33,3,<18,M,764
34,4,45-64,M,1637
35,4,<18,M,885
36,4,25-44,M,3742
37,4,18-24,F,366
38,4,45-64,F,297
39,4,<18,F,171
40,4,65+,M,71
41,4,65+,F,8
42,4,918,M,1
43,4,25-44,F,613
44,4,18-24,M,2081
45,5,45-64,F,608
46,5,18-24,F,582
47,5,<18,M,1014
48,5,<18,F,249
49,5,25-44,F,1306
50,5,65+,M,148
51,5,65+,F,16
52,5,1998,M,1
53,5,937,M,1
54,5,18-24,M,3200
55,5,45-64,M,3553
56,5,25-44,M,6677
57,6,18-24,M,4991
58,6,18-24,F,598
59,6,<18,M,1360
60,6,45-64,F,350
61,6,<18,F,195
62,6,65+,M,101
63,6,65+,F,14
64,6,25-44,M,6742
65,6,25-44,F,922
66,6,1042,M,1
67,6,2000,F,1
68,6,45-64,M,2035
69,7,<18,F,230
70,7,<18,M,1051
71,7,45-64,F,399
72,7,1942,M,1
73,7,25-44,M,4907
74,7,25-44,F,915
75,7,45-64,M,2028
76,7,65+,M,55
77,7,18-24,F,459
78,7,18-24,M,2601
79,7,937,M,1
80,7,65+,F,12
81,8,25-44,M,5136
82,8,<18,F,367
83,8,25-44,F,1358
84,8,927,F,1
85,8,18-24,M,3353
86,8,<18,M,1261
87,8,45-64,M,1888
88,8,18-24,F,748
89,8,65+,F,11
90,8,65+,M,71
91,8,45-64,F,390
92,9,25-44,M,7422
93,9,45-64,F,762
94,9,45-64,M,3174
95,9,<18,M,1906
96,9,18-24,F,720
97,9,<18,F,375
98,9,937,M,1
99,9,65+,F,11
100,9,18-24,M,4829
101,9,65+,M,120
102,9,25-44,F,1654
103,9,1018,M,1
104,10,<18,F,446
105,10,65+,F,9
106,10,45-64,F,644
107,10,25-44,M,8822
108,10,65+,M,114
109,10,18-24,F,915
110,10,18-24,M,5435
111,10,<18,M,2222
112,10,25-44,F,1786
113,10,45-64,M,3033
114,11,45-64,F,351
115,11,65+,F,4
116,11,18-24,M,3265
117,11,18-24,F,533
118,11,935,M,1
119,11,25-44,M,4204
120,11,1916,M,2
121,11,65+,M,39
122,11,<18,F,296
123,11,2007,M,2
124,11,<18,M,1503
125,11,45-64,M,1417
126,11,25-44,F,891
127,12,65+,M,78
128,12,937,M,1
129,12,<18,M,1035
130,12,65+,F,9
131,12,25-44,F,1063
132,12,<18,F,207
133,12,45-64,M,1920
134,12,18-24,F,404
135,12,18-24,M,2454
136,12,45-64,F,425
137,12,25-44,M,4226
138,13,45-64,F,434
139,13,<18,F,196
140,13,25-44,M,3958
141,13,65+,F,13
142,13,65+,M,79
143,13,18-24,F,431
144,13,1048,M,1
145,13,18-24,M,1988
146,13,<18,M,825
147,13,45-64,M,2080
148,13,25-44,F,917
149,14,65+,M,38
150,14,<18,M,804
151,14,45-64,M,1331
152,14,25-44,F,531
153,14,18-24,F,271
154,14,18-24,M,1745
155,14,<18,F,142
156,14,25-44,M,3233
157,14,45-64,F,190
158,14,65+,F,3
159,15,18-24,M,1791
160,15,<18,M,784
161,15,65+,M,45
162,15,45-64,F,295
163,15,25-44,F,768
164,15,65+,F,7
165,15,25-44,M,3371
166,15,<18,F,157
167,15,45-64,M,1305
168,15,18-24,F,306
169,16,45-64,M,1247
170,16,25-44,F,650
171,16,45-64,F,316
172,16,18-24,F,230
173,16,25-44,M,2637
174,16,18-24,M,1503
175,16,<18,F,94
176,16,65+,F,4
177,16,<18,M,591
178,16,65+,M,55
179,17,45-64,M,2147
180,17,25-44,M,5148
181,17,65+,M,94
182,17,<18,F,297
183,17,25-44,F,1119
184,17,18-24,F,524
185,17,<18,M,1277
186,17,45-64,F,425
187,17,65+,F,9
188,17,18-24,M,3209
189,18,<18,M,462
190,18,25-44,F,354
191,18,65+,F,1
192,18,18-24,F,210
193,18,<18,F,111
194,18,18-24,M,1314
195,18,25-44,M,1858
196,18,45-64,M,590
197,18,65+,M,34
198,18,45-64,F,117
199,19,<18,F,248
200,19,65+,M,51
201,19,25-44,M,5126
202,19,18-24,M,3338
203,19,18-24,F,677
204,19,45-64,F,362
205,19,45-64,M,1770
206,19,25-44,F,1284
207,19,<18,M,1256
208,19,65+,F,4
209,20,18-24,M,1551
210,20,<18,F,175
211,20,45-64,F,162
212,20,45-64,M,617
213,20,18-24,F,288
214,20,65+,F,9
215,20,25-44,F,548
216,20,25-44,M,2252
217,20,65+,M,51
218,20,<18,M,792
219,21,45-64,M,879
220,21,45-64,F,211
221,21,<18,M,861
222,21,65+,M,47
223,21,25-44,M,2711
224,21,<18,F,168
225,21,65+,F,13
226,21,18-24,M,1946
227,21,18-24,F,274
228,21,25-44,F,542
229,22,65+,M,33
230,22,<18,M,952
231,22,<18,F,210
232,22,18-24,F,422
233,22,25-44,F,607
234,22,18-24,M,2382
235,22,45-64,M,904
236,22,25-44,M,2989
237,22,65+,F,5
238,22,45-64,F,196
239,23,65+,M,55
240,23,18-24,M,2172
241,23,65+,F,5
242,23,1024,M,1
243,23,45-64,M,1569
244,23,45-64,F,337
245,23,<18,F,158
246,23,18-24,F,371
247,23,25-44,M,3737
248,23,25-44,F,798
249,23,<18,M,823
250,24,18-24,F,521
251,24,65+,F,9
252,24,18-24,M,3403
253,24,45-64,M,1283
254,24,<18,F,330
255,24,65+,M,48
256,24,<18,M,1132
257,24,45-64,F,291
258,24,25-44,M,5608
259,24,25-44,F,859
260,24,1947,M,1
261,25,65+,M,43
262,25,25-44,M,2460
263,25,18-24,M,1455
264,25,25-44,F,536
265,25,<18,F,141
266,25,<18,M,523
267,25,45-64,F,246
268,25,18-24,F,286
269,25,65+,F,12
270,25,45-64,M,901
271,26,45-64,F,66
272,26,<18,F,62
273,26,65+,M,12
274,26,25-44,F,116
275,26,18-24,M,740
276,26,45-64,M,258
277,26,65+,F,3
278,26,<18,M,374
279,26,25-44,M,795
280,26,18-24,F,125
281,27,25-44,F,892
282,27,25-44,M,5222
283,27,65+,F,5
284,27,45-64,F,290
285,27,18-24,F,638
286,27,65+,M,42
287,27,18-24,M,3916
288,27,<18,M,1376
289,27,938,F,1
290,27,<18,F,288
291,27,1937,M,1
292,27,45-64,M,1562
293,27,1928,F,1
294,28,18-24,F,572
295,28,45-64,M,1993
296,28,18-24,M,3123
297,28,25-44,F,824
298,28,<18,M,1004
299,28,65+,F,12
300,28,65+,M,90
301,28,45-64,F,350
302,28,<18,F,235
303,28,25-44,M,5168
304,29,65+,M,41
305,29,65+,F,4
306,29,<18,M,579
307,29,<18,F,148
308,29,18-24,M,2055
309,29,1922,M,1
310,29,18-24,F,396
311,29,45-64,M,918
312,29,45-64,F,148
313,29,25-44,M,3041
314,29,25-44,F,567
315,30,25-44,M,5948
316,30,<18,M,1044
317,30,<18,F,223
318,30,45-64,F,252
319,30,65+,M,68
320,30,25-44,F,776
321,30,18-24,F,487
322,30,65+,F,8
323,30,18-24,M,3680
324,30,45-64,M,1612
325,31,929,M,1
326,31,<18,F,397
327,31,65+,F,18
328,31,<18,M,1560
329,31,45-64,M,1563
330,31,18-24,M,3808
331,31,45-64,F,456
332,31,18-24,F,790
333,31,65+,M,69
334,31,1953,M,1
335,31,25-44,F,1287
336,31,25-44,M,5053
337,32,65+,M,19
338,32,<18,F,134
339,32,65+,F,2
340,32,25-44,M,2846
341,32,18-24,F,296
342,32,18-24,M,1695
343,32,45-64,M,882
344,32,<18,M,637
345,32,25-44,F,584
346,32,45-64,F,191
