,Precinct,AgeGroup,PerpSex,CrimeCount
0,1,65+,F,7
1,1,25-44,F,266
2,1,25-44,M,1341
3,1,<18,F,13
4,1,18-24,M,565
5,1,<18,M,87
6,1,45-64,F,89
7,1,45-64,M,520
8,1,65+,M,37
9,1,18-24,F,149
10,5,25-44,F,591
11,5,<18,F,48
12,5,<18,M,89
13,5,45-64,M,869
14,5,65+,M,59
15,5,65+,F,21
16,5,25-44,M,2203
17,5,18-24,M,881
18,5,18-24,F,196
19,5,45-64,F,207
20,6,25-44,M,1326
21,6,<18,F,24
22,6,45-64,M,652
23,6,45-64,F,73
24,6,18-24,M,610
25,6,25-44,F,240
26,6,65+,M,28
27,6,<18,M,93
28,6,65+,F,5
29,6,18-24,F,143
30,7,18-24,F,151
31,7,65+,M,19
32,7,25-44,M,1177
33,7,<18,M,105
34,7,45-64,M,300
35,7,<18,F,21
36,7,25-44,F,250
37,7,45-64,F,74
38,7,65+,F,9
39,7,18-24,M,607
40,9,<18,M,78
41,9,45-64,M,471
42,9,18-24,F,161
43,9,25-44,F,254
44,9,18-24,M,580
45,9,<18,F,25
46,9,45-64,F,63
47,9,65+,M,37
48,9,25-44,M,1219
49,10,65+,M,17
50,10,45-64,F,51
51,10,<18,F,16
52,10,<18,M,63
53,10,25-44,M,1061
54,10,25-44,F,217
55,10,65+,F,3
56,10,45-64,M,417
57,10,18-24,M,444
58,10,18-24,F,104
59,13,25-44,F,260
60,13,18-24,F,180
61,13,18-24,M,716
62,13,<18,F,65
63,13,65+,F,5
64,13,45-64,F,92
65,13,25-44,M,1633
66,13,65+,M,50
67,13,45-64,M,851
68,13,<18,M,108
69,14,25-44,F,772
70,14,65+,M,96
71,14,18-24,F,564
72,14,<18,F,208
73,14,<18,M,208
74,14,25-44,M,3822
75,14,45-64,F,281
76,14,18-24,M,1669
77,14,45-64,M,2015
78,14,65+,F,20
79,17,65+,F,23
80,17,<18,F,10
81,17,18-24,F,66
82,17,18-24,M,248
83,17,45-64,F,60
84,17,45-64,M,339
85,17,25-44,M,749
86,17,25-44,F,135
87,17,65+,M,40
88,17,<18,M,29
89,18,65+,F,19
90,18,45-64,F,204
91,18,<18,F,57
92,18,18-24,F,215
93,18,25-44,F,442
94,18,65+,M,68
95,18,<18,M,174
96,18,18-24,M,865
97,18,25-44,M,2018
98,18,45-64,M,875
99,19,65+,M,47
100,19,25-44,F,273
101,19,45-64,M,589
102,19,18-24,M,444
103,19,25-44,M,1082
104,19,65+,F,12
105,19,45-64,F,119
106,19,<18,F,44
107,19,<18,M,119
108,19,18-24,F,131
109,20,<18,M,83
110,20,18-24,M,306
111,20,25-44,M,751
112,20,25-44,F,158
113,20,45-64,F,67
114,20,65+,F,7
115,20,65+,M,17
116,20,<18,F,18
117,20,18-24,F,83
118,20,45-64,M,399
119,22,18-24,F,5
120,22,<18,F,1
121,22,25-44,F,5
122,22,<18,M,20
123,22,25-44,M,86
124,22,45-64,F,5
125,22,18-24,M,33
126,22,65+,M,2
127,22,45-64,M,43
128,23,<18,F,70
129,23,25-44,F,360
130,23,45-64,M,632
131,23,<18,M,190
132,23,18-24,F,222
133,23,45-64,F,126
134,23,18-24,M,885
135,23,65+,F,7
136,23,65+,M,28
137,23,25-44,M,1696
138,24,25-44,M,885
139,24,18-24,M,392
140,24,18-24,F,96
141,24,65+,F,3
