,BoroCode,OfnsDesc,CrimeCount
0,1,GRAND LARCENY,2877
1,1,ADMINISTRATIVE CODE,22
2,1,OFFENSES AGAINST PUBLIC SAFETY,30
3,1,PETIT LARCENY,2964
4,1,LOITERING FOR DRUG PURPOSES,29
5,1,FRAUDULENT ACCOSTING,162
6,1,PROSTITUTION & RELATED OFFENSES,467
7,1,DANGEROUS WEAPONS,2775
8,1,OFFENSES AGAINST THE PERSON,474
9,1,MISCELLANEOUS PENAL LAW,2671
10,1,ARSON,7
11,1,FELONY ASSAULT,2422
12,1,CRIMINAL MISCHIEF & RELATED OFFENSES,2323
13,1,"LOITERING/GAMBLING (CARDS, DICE, ETC)",7
14,1,DISRUPTION OF A RELIGIOUS SERVICE,2
15,1,THEFT-FRAUD,436
16,1,ROBBERY,2222
17,1,FRAUDS,543
18,1,VEHICLE AND TRAFFIC LAWS,1962
19,1,BURGLAR'S TOOLS,121
20,1,MURDER & NON-NEGL. MANSLAUGHTER,133
21,1,DISORDERLY CONDUCT,1665
22,1,JOSTLING,29
23,1,FORGERY,1582
24,1,INTOXICATED & IMPAIRED DRIVING,1580
25,1,HOMICIDE-NEGLIGENT-VEHICLE,2
26,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),141
27,1,CHILD ABANDONMENT/NON SUPPORT 1,4
28,1,OFFENSES INVOLVING FRAUD,1290
29,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1214
30,1,BURGLARY,1177
31,1,KIDNAPPING & RELATED OFFENSES,23
32,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,3335
33,1,RAPE,158
34,1,MOVING INFRACTIONS,203
35,1,ESCAPE 3,8
36,1,ASSAULT 3 & RELATED OFFENSES,6737
37,1,OTHER OFFENSES RELATED TO THEFT,10095
38,1,HARRASSMENT 2,65
39,1,SEX CRIMES,435
40,1,POSSESSION OF STOLEN PROPERTY,327
41,1,GAMBLING,352
42,1,FORCIBLE TOUCHING,352
43,1,CRIMINAL TRESPASS,5258
44,1,ANTICIPATORY OFFENSES,18
45,1,POSSESSION OF STOLEN PROPERTY 5,9266
46,1,GRAND LARCENY OF MOTOR VEHICLE,76
47,1,OTHER STATE LAWS (NON PENAL LAW),4591
48,1,CRIMINAL MISCHIEF & RELATED OF,9
49,1,F.C.A. P.I.N.O.S.,413
50,1,INTOXICATED/IMPAIRED DRIVING,90
51,1,OFFENSES RELATED TO CHILDREN,20
52,1,ALCOHOLIC BEVERAGE CONTROL LAW,88
53,1,OTHER TRAFFIC INFRACTION,4045
54,1,OTHER STATE LAWS,9342
55,1,LOITERING,38
56,1,DANGEROUS DRUGS,22986
57,1,OTHER STATE LAWS (NON PENAL LA,406
58,1,HARASSMENT,377
59,2,HOMICIDE-NEGLIGENT-VEHICLE,3
60,2,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,3
61,2,OTHER STATE LAWS (NON PENAL LAW),796
62,2,F.C.A. P.I.N.O.S.,287
63,2,OFFENSES INVOLVING FRAUD,331
64,2,FORGERY,768
65,2,INTOXICATED & IMPAIRED DRIVING,900
66,2,BURGLARY,874
67,2,RAPE,186
68,2,FRAUDS,344
69,2,GAMBLING,181
70,2,ARSON,27
71,2,LOITERING FOR DRUG PURPOSES,5
72,2,OFFENSES RELATED TO CHILDREN,58
73,2,ANTICIPATORY OFFENSES,5
74,2,OTHER STATE LAWS (NON PENAL LA,371
75,2,CRIMINAL MISCHIEF & RELATED OF,7
76,2,HARASSMENT,481
77,2,CHILD ABANDONMENT/NON SUPPORT 1,20
78,2,POSSESSION OF STOLEN PROPERTY,214
79,2,SEX CRIMES,456
80,2,MURDER & NON-NEGL. MANSLAUGHTER,340
81,2,OFFENSES AGAINST THE PERSON,565
82,2,VEHICLE AND TRAFFIC LAWS,1570
83,2,GRAND LARCENY,1082
84,2,PARKING OFFENSES,1
85,2,ESCAPE 3,1
86,2,ROBBERY,2876
87,2,FELONY ASSAULT,3136
88,2,PROSTITUTION & RELATED OFFENSES,1058
89,2,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
90,2,OTHER TRAFFIC INFRACTION,3362
91,2,THEFT-FRAUD,90
92,2,CRIMINAL TRESPASS,7331
93,2,BURGLAR'S TOOLS,38
94,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,4292
95,2,KIDNAPPING & RELATED OFFENSES,39
96,2,OFFENSES AGAINST PUBLIC SAFETY,42
97,2,INTOXICATED/IMPAIRED DRIVING,66
98,2,DANGEROUS WEAPONS,5173
99,2,PETIT LARCENY,2443
100,2,ALCOHOLIC BEVERAGE CONTROL LAW,44
101,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),100
102,2,OTHER STATE LAWS,2102
103,2,HARRASSMENT 2,27
104,2,FRAUDULENT ACCOSTING,3
105,2,DANGEROUS DRUGS,29142
106,2,GRAND LARCENY OF MOTOR VEHICLE,149
107,2,FORCIBLE TOUCHING,146
108,2,CRIMINAL MISCHIEF & RELATED OFFENSES,2171
109,2,MOVING INFRACTIONS,63
110,2,OTHER OFFENSES RELATED TO THEFT,6295
111,2,MISCELLANEOUS PENAL LAW,1912
112,2,ASSAULT 3 & RELATED OFFENSES,9520
