,SchoolDist,OfnsDesc,CrimeCount
0,1,HARRASSMENT 2,1
1,1,ROBBERY,119
2,1,OFFENSES AGAINST PUBLIC ADMINI,105
3,1,OTHER OFFENSES RELATED TO THEF,9
4,1,ENDAN WELFARE INCOMP,1
5,1,RAPE,3
6,1,DISORDERLY CONDUCT,1
7,1,MISCELLANEOUS PENAL LAW,86
8,1,CHILD ABANDONMENT/NON SUPPORT,1
9,1,FRAUDULENT ACCOSTING,3
10,1,NYS LAWS-UNCLASSIFIED FELONY,3
11,1,FOR OTHER AUTHORITIES,1
12,1,VEHICLE AND TRAFFIC LAWS,79
13,1,OTHER STATE LAWS,2
14,1,OFF. AGNST PUB ORD SENSBLTY &,62
15,1,DANGEROUS WEAPONS,53
16,1,FORGERY,24
17,1,OTHER TRAFFIC INFRACTION,25
18,1,POSSESSION OF STOLEN PROPERTY,26
19,1,UNAUTHORIZED USE OF A VEHICLE,2
20,1,CRIMINAL TRESPASS,28
21,1,ADMINISTRATIVE CODE,2
22,1,BURGLAR'S TOOLS,29
23,1,ASSAULT 3 & RELATED OFFENSES,383
24,1,MURDER & NON-NEGL. MANSLAUGHTE,17
25,1,CRIMINAL MISCHIEF & RELATED OF,123
26,1,SEX CRIMES,35
27,1,OTHER STATE LAWS (NON PENAL LA,1
28,1,DANGEROUS DRUGS,163
29,1,OFFENSES AGAINST THE PERSON,13
30,1,GRAND LARCENY,156
31,1,KIDNAPPING & RELATED OFFENSES,1
32,1,INTOXICATED/IMPAIRED DRIVING,1
33,1,BURGLARY,170
34,1,OFFENSES INVOLVING FRAUD,10
35,1,FRAUDS,7
36,1,FELONY ASSAULT,192
37,1,PROSTITUTION & RELATED OFFENSES,1
38,1,PETIT LARCENY,200
39,1,GAMBLING,4
40,1,INTOXICATED & IMPAIRED DRIVING,15
41,1,GRAND LARCENY OF MOTOR VEHICLE,14
42,2,RAPE,42
43,2,INTOXICATED/IMPAIRED DRIVING,8
44,2,PROSTITUTION & RELATED OFFENSES,47
45,2,VEHICLE AND TRAFFIC LAWS,365
46,2,KIDNAPPING AND RELATED OFFENSES,1
47,2,MOVING INFRACTIONS,5
48,2,MURDER & NON-NEGL. MANSLAUGHTE,48
49,2,OFFENSES RELATED TO CHILDREN,1
50,2,THEFT OF SERVICES,48
51,2,UNAUTHORIZED USE OF A VEHICLE,38
52,2,SEX CRIMES,259
53,2,OFFENSES AGAINST THE PERSON,67
54,2,OTHER OFFENSES RELATED TO THEF,165
55,2,INTOXICATED & IMPAIRED DRIVING,123
56,2,ESCAPE 3,1
57,2,OFF. AGNST PUB ORD SENSBLTY &,300
58,2,NYS LAWS-UNCLASSIFIED FELONY,114
59,2,OTHER TRAFFIC INFRACTION,125
60,2,OFFENSES INVOLVING FRAUD,97
61,2,GRAND LARCENY OF MOTOR VEHICLE,49
62,2,KIDNAPPING,1
63,2,KIDNAPPING & RELATED OFFENSES,1
64,2,BURGLAR'S TOOLS,137
65,2,FORGERY,156
66,2,ADMINISTRATIVE CODES,1
67,2,DANGEROUS WEAPONS,267
68,2,FRAUDS,52
69,2,POSSESSION OF STOLEN PROPERTY,314
70,2,PETIT LARCENY,2487
71,2,CRIMINAL TRESPASS,358
72,2,HARRASSMENT 2,3
73,2,DANGEROUS DRUGS,698
74,2,ASSAULT 3 & RELATED OFFENSES,1584
75,2,THEFT-FRAUD,21
76,2,DISORDERLY CONDUCT,13
77,2,JOSTLING,6
78,2,OTHER STATE LAWS,24
79,2,BURGLARY,1684
80,2,ROBBERY,959
81,2,OFFENSES AGAINST PUBLIC ADMINI,614
82,2,OFFENSES AGAINST PUBLIC SAFETY,3
83,2,OTHER STATE LAWS (NON PENAL LA,13
84,2,GRAND LARCENY,1850
85,2,ANTICIPATORY OFFENSES,2
86,2,ADMINISTRATIVE CODE,3
87,2,CHILD ABANDONMENT/NON SUPPORT,2
88,2,CRIMINAL MISCHIEF & RELATED OF,901
89,2,FELONY ASSAULT,916
90,2,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,3
91,2,FRAUDULENT ACCOSTING,11
92,2,MISCELLANEOUS PENAL LAW,403
93,2,FOR OTHER AUTHORITIES,560
94,2,GAMBLING,2
95,2,ARSON,10
96,3,ANTICIPATORY OFFENSES,1
97,3,VEHICLE AND TRAFFIC LAWS,104
98,3,GRAND LARCENY OF MOTOR VEHICLE,10
99,3,FRAUDULENT ACCOSTING,2
100,3,OFFENSES AGAINST PUBLIC ADMINI,112
101,3,OTHER OFFENSES RELATED TO THEF,22
102,3,OFFENSES INVOLVING FRAUD,10
103,3,FRAUDS,11
104,3,DANGEROUS WEAPONS,98
105,3,CRIMINAL MISCHIEF & RELATED OF,125
106,3,ARSON,1
107,3,DANGEROUS DRUGS,289
108,3,GAMBLING,14
109,3,PROSTITUTION & RELATED OFFENSES,1
110,3,MISCELLANEOUS PENAL LAW,135
111,3,OFFENSES AGAINST PUBLIC SAFETY,1
112,3,CHILD ABANDONMENT/NON SUPPORT,1
113,3,ROBBERY,147
114,3,MURDER & NON-NEGL. MANSLAUGHTE,17
115,3,BURGLAR'S TOOLS,14
116,3,DISORDERLY CONDUCT,1
117,3,ADMINISTRATIVE CODE,1
118,3,NYS LAWS-UNCLASSIFIED FELONY,6
119,3,OTHER TRAFFIC INFRACTION,27
120,3,OTHER STATE LAWS,25
121,3,BURGLARY,196
122,3,SEX CRIMES,22
123,3,OFFENSES AGAINST THE PERSON,9
124,3,FELONY ASSAULT,213
125,3,OFF. AGNST PUB ORD SENSBLTY &,40
126,3,POSSESSION OF STOLEN PROPERTY,40
127,3,FORGERY,27
128,3,ASSAULT 3 & RELATED OFFENSES,469
129,3,INTOXICATED & IMPAIRED DRIVING,33
130,3,RAPE,2
131,3,PETIT LARCENY,537
132,3,CRIMINAL TRESPASS,79
133,3,THEFT-FRAUD,1
