,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,45-64,F,3571
1,1,18-24,F,4795
2,1,<18,F,1338
3,1,25-44,F,7730
4,1,18-24,M,20872
5,1,65+,M,1148
6,1,65+,F,177
7,1,25-44,M,40738
8,1,45-64,M,21849
9,1,<18,M,3968
10,2,45-64,M,13234
11,2,18-24,F,4118
12,2,<18,F,1307
13,2,65+,M,518
14,2,25-44,M,31932
15,2,<18,M,5477
16,2,45-64,F,2647
17,2,18-24,M,19512
18,2,65+,F,69
19,2,25-44,F,6835
20,3,65+,F,124
21,3,<18,F,1364
22,3,45-64,F,3515
23,3,65+,M,823
24,3,25-44,M,41454
25,3,18-24,F,4698
26,3,18-24,M,22792
27,3,45-64,M,17549
28,3,<18,M,6241
29,3,25-44,F,8117
30,4,65+,F,120
31,4,25-44,M,30647
32,4,18-24,M,18045
33,4,65+,M,530
34,4,<18,M,4166
35,4,<18,F,892
36,4,25-44,F,5619
37,4,45-64,F,2110
38,4,18-24,F,3196
39,4,45-64,M,10562
40,5,<18,M,973
41,5,25-44,F,1346
42,5,18-24,F,720
43,5,45-64,M,1698
44,5,45-64,F,426
45,5,<18,F,212
46,5,25-44,M,4889
47,5,18-24,M,2885
48,5,65+,M,101
49,5,65+,F,26
