,Precinct,AgeGroup,PerpSex,CrimeCount
0,1,18-24,F,91
1,1,45-64,M,647
2,1,25-44,F,264
3,1,45-64,F,78
4,1,<18,M,57
5,1,25-44,M,1157
6,1,65+,M,26
7,1,<18,F,18
8,1,65+,F,9
9,1,18-24,M,340
10,5,<18,M,95
11,5,65+,F,12
12,5,18-24,F,124
13,5,65+,M,67
14,5,45-64,F,197
15,5,<18,F,14
16,5,25-44,F,329
17,5,25-44,M,1771
18,5,45-64,M,841
19,5,18-24,M,616
20,6,65+,F,6
21,6,65+,M,25
22,6,18-24,F,84
23,6,25-44,F,196
24,6,45-64,F,69
25,6,18-24,M,263
26,6,25-44,M,919
27,6,<18,F,28
28,6,<18,M,121
29,6,45-64,M,500
30,7,65+,M,27
31,7,45-64,F,58
32,7,18-24,F,97
33,7,25-44,F,205
34,7,<18,F,19
35,7,25-44,M,946
36,7,45-64,M,316
37,7,<18,M,70
38,7,18-24,M,345
39,7,65+,F,5
40,9,<18,M,77
41,9,65+,M,24
42,9,<18,F,19
43,9,25-44,M,842
44,9,18-24,M,268
45,9,18-24,F,93
46,9,45-64,F,44
47,9,25-44,F,197
48,9,65+,F,1
49,9,45-64,M,338
50,10,18-24,M,244
51,10,25-44,F,190
52,10,25-44,M,907
53,10,45-64,M,344
54,10,65+,F,4
55,10,<18,F,5
56,10,18-24,F,76
57,10,65+,M,20
58,10,<18,M,54
59,10,45-64,F,46
60,13,45-64,M,634
61,13,65+,M,49
62,13,<18,F,64
63,13,45-64,F,60
64,13,65+,F,5
65,13,<18,M,137
66,13,25-44,M,1131
67,13,18-24,F,134
68,13,18-24,M,357
69,13,25-44,F,233
70,14,65+,F,33
71,14,<18,M,135
72,14,25-44,M,2490
73,14,<18,F,55
74,14,65+,M,92
75,14,18-24,F,292
76,14,45-64,M,1507
77,14,25-44,F,519
78,14,45-64,F,256
79,14,18-24,M,672
80,17,45-64,M,254
81,17,<18,M,52
82,17,18-24,M,156
83,17,18-24,F,60
84,17,45-64,F,50
85,17,25-44,F,126
86,17,25-44,M,573
87,17,65+,M,24
88,17,<18,F,6
89,17,65+,F,10
90,18,25-44,M,1243
91,18,25-44,F,306
92,18,18-24,F,202
93,18,45-64,M,578
94,18,65+,M,57
95,18,65+,F,9
96,18,<18,F,56
97,18,18-24,M,462
98,18,45-64,F,91
99,18,<18,M,104
100,19,45-64,M,507
101,19,25-44,M,922
102,19,65+,F,15
103,19,18-24,F,107
104,19,65+,M,53
105,19,<18,F,33
106,19,<18,M,162
107,19,25-44,F,288
108,19,18-24,M,262
109,19,45-64,F,119
110,20,65+,M,28
111,20,45-64,M,393
112,20,25-44,F,135
113,20,<18,F,17
114,20,18-24,M,163
115,20,65+,F,8
116,20,25-44,M,560
117,20,<18,M,41
118,20,18-24,F,39
119,20,45-64,F,55
120,22,25-44,F,7
121,22,<18,M,9
122,22,45-64,F,2
123,22,45-64,M,23
124,22,18-24,F,2
125,22,25-44,M,37
126,22,18-24,M,8
127,23,<18,F,26
128,23,45-64,F,83
129,23,<18,M,165
130,23,65+,M,24
131,23,25-44,F,296
132,23,65+,F,11
133,23,18-24,M,406
134,23,25-44,M,1286
135,23,45-64,M,400
136,23,18-24,F,123
137,24,45-64,F,55
138,24,<18,M,78
139,24,45-64,M,310
140,24,<18,F,7
141,24,18-24,M,174
142,24,25-44,F,144
143,24,65+,M,27
144,24,18-24,F,60
145,24,25-44,M,547
146,24,65+,F,5
147,25,65+,M,44
148,25,65+,F,11
149,25,18-24,M,563
150,25,25-44,M,2201
151,25,18-24,F,156
152,25,<18,M,101
153,25,25-44,F,446
154,25,45-64,F,161
155,25,45-64,M,968
156,25,<18,F,42
157,26,65+,M,5
158,26,18-24,F,57
159,26,18-24,M,276
160,26,65+,F,2
161,26,45-64,M,253
162,26,25-44,F,162
163,26,45-64,F,47
164,26,<18,M,110
165,26,<18,F,34
166,26,25-44,M,659
167,28,18-24,M,233
168,28,25-44,F,237
169,28,25-44,M,781
170,28,45-64,F,145
171,28,<18,M,69
172,28,65+,F,5
173,28,18-24,F,72
174,28,65+,M,40
175,28,<18,F,30
176,28,45-64,M,497
177,30,<18,F,15
178,30,25-44,M,640
179,30,45-64,F,46
180,30,65+,M,14
181,30,<18,M,99
182,30,18-24,F,64
