,SchoolDist,AgeGroup,PerpSex,CrimeCount
0,1,45-64,F,126
1,1,25-44,F,415
2,1,65+,F,7
3,1,<18,M,276
4,1,18-24,F,274
5,1,25-44,M,2532
6,1,65+,M,61
7,1,<18,F,68
8,1,45-64,M,1060
9,1,18-24,M,1322
10,2,65+,M,556
11,2,25-44,F,3950
12,2,<18,F,685
13,2,25-44,M,19466
14,2,65+,F,101
15,2,45-64,M,10652
16,2,<18,M,1474
17,2,18-24,M,9673
18,2,45-64,F,1781
19,2,18-24,F,2558
20,3,<18,F,115
21,3,18-24,F,355
22,3,45-64,M,2359
23,3,25-44,M,3047
24,3,25-44,F,633
25,3,18-24,M,1533
26,3,65+,F,21
27,3,65+,M,145
28,3,<18,M,418
29,3,45-64,F,432
30,4,25-44,F,612
31,4,18-24,F,468
32,4,45-64,M,1769
33,4,25-44,M,3432
34,4,18-24,M,1806
35,4,<18,F,103
36,4,45-64,F,276
37,4,65+,F,13
38,4,<18,M,411
39,4,65+,M,78
40,5,25-44,F,1225
41,5,25-44,M,6376
42,5,65+,M,171
43,5,<18,M,658
44,5,45-64,F,636
45,5,<18,F,241
46,5,45-64,M,3705
47,5,18-24,F,601
48,5,18-24,M,2895
49,5,65+,F,26
50,6,65+,F,9
51,6,45-64,F,320
52,6,65+,M,137
53,6,<18,M,727
54,6,<18,F,126
55,6,25-44,F,895
56,6,18-24,F,539
57,6,25-44,M,5884
58,6,18-24,M,3643
59,6,45-64,M,2303
60,7,45-64,M,2338
61,7,18-24,F,684
62,7,<18,F,226
63,7,25-44,F,1033
64,7,65+,M,67
65,7,25-44,M,5777
66,7,<18,M,775
67,7,65+,F,10
68,7,18-24,M,3062
69,7,45-64,F,400
70,8,45-64,F,407
71,8,<18,M,825
72,8,25-44,F,1150
73,8,18-24,F,688
74,8,25-44,M,4565
75,8,65+,M,102
76,8,<18,F,182
77,8,18-24,M,2918
78,8,45-64,M,2048
79,8,65+,F,12
80,9,45-64,F,488
81,9,65+,M,98
82,9,18-24,F,824
83,9,25-44,F,1405
84,9,65+,F,13
85,9,25-44,M,6129
86,9,<18,F,248
87,9,18-24,M,3810
88,9,45-64,M,2592
89,9,<18,M,1231
90,10,<18,F,269
91,10,65+,F,15
92,10,18-24,F,878
93,10,18-24,M,4619
94,10,65+,M,102
95,10,45-64,F,624
96,10,45-64,M,3008
97,10,25-44,M,7466
98,10,<18,M,1283
99,10,25-44,F,1504
100,11,<18,F,238
101,11,18-24,F,615
102,11,25-44,M,4513
103,11,45-64,F,343
104,11,65+,F,12
105,11,18-24,M,3055
106,11,45-64,M,1622
107,11,<18,M,800
108,11,65+,M,68
109,11,25-44,F,956
110,12,65+,F,7
111,12,18-24,F,429
112,12,<18,M,563
113,12,25-44,F,787
114,12,65+,M,81
115,12,25-44,M,3504
116,12,45-64,F,385
117,12,45-64,M,1629
118,12,<18,F,144
119,12,18-24,M,2055
120,13,<18,M,728
121,13,65+,M,109
122,13,25-44,M,4135
123,13,<18,F,151
124,13,18-24,F,564
125,13,45-64,M,2297
126,13,45-64,F,446
127,13,18-24,M,2184
128,13,65+,F,16
129,13,25-44,F,992
130,14,65+,M,41
131,14,45-64,F,171
132,14,18-24,F,267
133,14,25-44,F,401
134,14,<18,F,102
135,14,<18,M,544
136,14,25-44,M,3140
137,14,65+,F,2
138,14,18-24,M,1755
139,14,45-64,M,1380
140,15,18-24,F,319
141,15,<18,M,366
142,15,45-64,M,1288
143,15,65+,F,14
144,15,25-44,M,3063
145,15,65+,M,54
146,15,18-24,M,1537
147,15,<18,F,101
148,15,45-64,F,258
149,15,25-44,F,574
150,16,<18,M,376
151,16,25-44,M,2542
152,16,25-44,F,545
153,16,45-64,M,1241
154,16,18-24,M,1356
155,16,18-24,F,335
156,16,65+,M,48
157,16,65+,F,4
158,16,<18,F,87
159,16,45-64,F,248
160,17,25-44,F,1035
161,17,<18,M,764
162,17,45-64,F,471
163,17,<18,F,197
164,17,18-24,M,2749
165,17,65+,M,122
166,17,25-44,M,5680
167,17,45-64,M,2515
168,17,65+,F,11
169,17,18-24,F,528
170,18,18-24,M,1514
171,18,45-64,M,1054
172,18,<18,F,81
173,18,18-24,F,283
174,18,65+,M,64
175,18,65+,F,4
176,18,45-64,F,201
177,18,<18,M,367
178,18,25-44,F,558
179,18,25-44,M,2780
180,19,<18,M,743
181,19,18-24,F,722
182,19,45-64,F,496
183,19,65+,F,15
184,19,25-44,F,1215
185,19,18-24,M,3076
186,19,65+,M,93
187,19,25-44,M,5338
188,19,<18,F,216
189,19,45-64,M,2198
190,20,18-24,M,1527
191,20,65+,M,55
192,20,45-64,M,854
193,20,45-64,F,264
194,20,25-44,M,2667
195,20,<18,F,56
196,20,<18,M,337
197,20,25-44,F,527
198,20,65+,F,14
199,20,18-24,F,221
200,21,<18,F,91
201,21,<18,M,485
202,21,65+,M,63
203,21,45-64,F,222
204,21,45-64,M,1007
205,21,25-44,F,535
206,21,25-44,M,2961
207,21,18-24,F,307
208,21,65+,F,14
209,21,18-24,M,1732
210,22,65+,M,63
211,22,25-44,M,3302
212,22,25-44,F,656
213,22,18-24,F,435
214,22,<18,F,115
215,22,<18,M,596
216,22,18-24,M,2136
217,22,45-64,F,279
218,22,65+,F,15
219,22,45-64,M,989
220,23,65+,F,3
221,23,<18,M,640
222,23,<18,F,123
223,23,25-44,M,3540
224,23,45-64,F,339
225,23,25-44,F,685
226,23,65+,M,68
227,23,18-24,F,465
228,23,18-24,M,1912
229,23,45-64,M,1761
230,24,18-24,F,584
231,24,25-44,M,5159
232,24,65+,M,78
233,24,65+,F,18
234,24,45-64,M,1336
235,24,<18,M,674
236,24,45-64,F,306
237,24,<18,F,223
238,24,25-44,F,899
239,24,18-24,M,3106
240,25,45-64,F,286
241,25,<18,M,538
242,25,18-24,F,270
243,25,65+,M,65
244,25,<18,F,115
245,25,25-44,F,599
246,25,65+,F,23
247,25,45-64,M,1155
248,25,18-24,M,1508
249,25,25-44,M,2471
250,26,65+,M,14
251,26,18-24,F,94
252,26,25-44,M,754
253,26,45-64,F,90
254,26,<18,F,26
255,26,45-64,M,223
256,26,18-24,M,574
257,26,25-44,F,217
258,26,<18,M,171
259,26,65+,F,6
260,27,18-24,M,3413
261,27,45-64,F,366
262,27,18-24,F,623
263,27,25-44,M,5829
264,27,65+,F,12
265,27,<18,M,859
266,27,45-64,M,2219
267,27,25-44,F,1081
268,27,65+,M,94
269,27,<18,F,208
270,28,18-24,M,3757
271,28,25-44,F,1231
272,28,25-44,M,6547
273,28,<18,F,132
274,28,65+,F,45
275,28,65+,M,141
276,28,<18,M,780
277,28,45-64,M,2684
278,28,45-64,F,523
279,28,18-24,F,664
280,29,<18,M,455
281,29,25-44,M,4045
282,29,18-24,F,435
283,29,<18,F,101
284,29,65+,F,9
285,29,18-24,M,2395
286,29,45-64,M,1385
287,29,25-44,F,727
288,29,45-64,F,261
289,29,65+,M,63
290,30,18-24,M,3326
291,30,25-44,F,881
292,30,65+,F,9
293,30,18-24,F,537
294,30,<18,F,88
295,30,65+,M,76
296,30,45-64,M,1595
297,30,<18,M,696
298,30,45-64,F,283
299,30,25-44,M,5914
300,31,18-24,F,720
301,31,25-44,F,1346
302,31,25-44,M,4889
303,31,<18,F,212
304,31,65+,M,101
305,31,45-64,F,426
306,31,18-24,M,2885
307,31,45-64,M,1698
308,31,65+,F,26
309,31,<18,M,973
310,32,25-44,F,378
311,32,<18,F,43
312,32,45-64,M,928
313,32,65+,F,10
314,32,18-24,F,241
315,32,65+,M,42
316,32,25-44,M,2213
317,32,45-64,F,115
318,32,18-24,M,1273
319,32,<18,M,292
