,Precinct,AgeGroup,PerpSex,CrimeCount
0,1,45-64,F,176
1,1,<18,F,79
2,1,65+,M,26
3,1,<18,M,216
4,1,18-24,F,266
5,1,25-44,M,1992
6,1,45-64,M,993
7,1,25-44,F,496
8,1,18-24,M,757
9,1,65+,F,7
10,5,<18,M,222
11,5,<18,F,94
12,5,1948,F,1
13,5,65+,M,59
14,5,45-64,F,293
15,5,25-44,M,2139
16,5,25-44,F,551
17,5,18-24,M,753
18,5,65+,F,12
19,5,18-24,F,231
20,5,45-64,M,978
21,6,18-24,F,245
22,6,18-24,M,967
23,6,<18,F,84
24,6,25-44,M,1729
25,6,65+,F,3
26,6,25-44,F,260
27,6,45-64,M,752
28,6,45-64,F,91
29,6,65+,M,15
30,6,<18,M,209
31,7,25-44,F,234
32,7,25-44,M,1299
33,7,18-24,F,155
34,7,65+,F,3
35,7,18-24,M,625
36,7,<18,F,63
37,7,<18,M,214
38,7,45-64,M,416
39,7,45-64,F,82
40,7,65+,M,25
41,9,45-64,F,106
42,9,<18,M,273
43,9,45-64,M,647
44,9,65+,M,21
45,9,25-44,M,1620
46,9,25-44,F,250
47,9,<18,F,130
48,9,18-24,F,263
49,9,65+,F,1
50,9,18-24,M,1037
51,10,<18,F,28
52,10,<18,M,74
53,10,25-44,M,1794
54,10,45-64,M,552
55,10,18-24,F,162
56,10,18-24,M,779
57,10,25-44,F,227
58,10,65+,F,1
59,10,45-64,F,68
60,10,65+,M,26
61,13,65+,M,24
62,13,65+,F,3
63,13,<18,M,175
64,13,45-64,M,803
65,13,18-24,M,846
66,13,18-24,F,213
67,13,25-44,M,1682
68,13,45-64,F,132
69,13,25-44,F,291
70,13,<18,F,56
71,14,65+,M,80
72,14,45-64,M,2614
73,14,<18,F,521
74,14,25-44,F,1191
75,14,<18,M,593
76,14,1918,M,1
77,14,18-24,F,1056
78,14,45-64,F,470
79,14,65+,F,9
80,14,25-44,M,4924
81,14,18-24,M,2621
82,17,65+,F,3
83,17,18-24,F,81
84,17,<18,F,11
85,17,65+,M,18
86,17,45-64,F,49
87,17,25-44,F,167
88,17,45-64,M,393
89,17,<18,M,45
90,17,25-44,M,756
91,17,18-24,M,291
92,18,25-44,F,383
93,18,45-64,F,149
94,18,25-44,M,1882
95,18,65+,M,49
96,18,<18,F,73
97,18,45-64,M,822
98,18,65+,F,4
99,18,928,M,1
100,18,<18,M,219
101,18,18-24,F,331
102,18,18-24,M,911
103,19,45-64,F,142
104,19,<18,F,66
105,19,25-44,F,355
106,19,65+,M,28
107,19,18-24,M,536
108,19,18-24,F,264
109,19,65+,F,14
110,19,45-64,M,561
111,19,25-44,M,1253
112,19,<18,M,143
113,20,25-44,M,832
114,20,<18,M,187
115,20,<18,F,64
116,20,65+,M,24
117,20,45-64,M,464
118,20,45-64,F,87
119,20,25-44,F,170
120,20,65+,F,8
121,20,18-24,F,124
122,20,18-24,M,388
123,20,940,M,1
124,22,<18,M,41
125,22,25-44,F,29
126,22,18-24,F,6
127,22,<18,F,1
128,22,45-64,M,144
129,22,45-64,F,5
130,22,65+,M,3
131,22,25-44,M,276
132,22,65+,F,1
133,22,18-24,M,148
134,23,45-64,F,207
135,23,<18,F,118
136,23,18-24,M,1291
137,23,25-44,M,2109
138,23,<18,M,610
139,23,65+,F,3
140,23,45-64,M,965
141,23,65+,M,45
142,23,18-24,F,260
143,23,25-44,F,352
144,24,65+,M,40
145,24,65+,F,5
146,24,18-24,M,548
147,24,25-44,F,241
148,24,18-24,F,139
149,24,45-64,F,133
150,24,25-44,M,1183
151,24,<18,F,43
152,24,45-64,M,783
153,24,<18,M,253
154,25,25-44,M,3824
155,25,25-44,F,594
156,25,18-24,M,1513
157,25,45-64,F,244
158,25,918,M,1
159,25,65+,M,47
160,25,<18,F,87
161,25,<18,M,466
162,25,18-24,F,190
163,25,65+,F,8
164,25,45-64,M,1877
165,26,18-24,F,99
166,26,25-44,F,209
167,26,18-24,M,636
168,26,45-64,M,616
169,26,65+,F,3
170,26,65+,M,25
171,26,<18,M,263
172,26,45-64,F,91
173,26,<18,F,47
174,26,25-44,M,1233
175,28,<18,M,318
176,28,25-44,F,497
177,28,<18,F,88
178,28,25-44,M,2120
179,28,65+,F,4
180,28,45-64,F,256
181,28,65+,M,59
182,28,45-64,M,1404
183,28,18-24,F,206
184,28,18-24,M,951
185,30,<18,F,46
186,30,45-64,M,757
187,30,25-44,F,342
188,30,<18,M,352
189,30,18-24,M,1052
190,30,25-44,M,1760
191,30,45-64,F,173
192,30,65+,M,37
193,30,65+,F,3
194,30,18-24,F,152
195,32,25-44,F,591
196,32,<18,M,543
197,32,18-24,F,296
198,32,45-64,F,268
199,32,65+,F,9
200,32,45-64,M,1349
201,32,18-24,M,1546
202,32,<18,F,122
203,32,937,M,1
204,32,1998,M,1
205,32,65+,M,89
206,32,25-44,M,2594
207,33,<18,M,500
208,33,45-64,F,118
209,33,2000,F,1
210,33,65+,F,5
211,33,18-24,M,1972
212,33,25-44,F,323
213,33,45-64,M,782
214,33,65+,M,33
215,33,1042,M,1
216,33,18-24,F,289
217,33,<18,F,67
218,33,25-44,M,2749
219,34,18-24,M,1957
220,34,45-64,M,493
221,34,45-64,F,73
222,34,25-44,M,2234
223,34,<18,F,84
224,34,65+,M,27
225,34,<18,M,472
226,34,25-44,F,260
227,34,18-24,F,160
228,34,65+,F,6
229,40,65+,M,49
230,40,65+,F,12
231,40,<18,F,199
232,40,<18,M,889
233,40,18-24,F,405
234,40,25-44,M,4324
235,40,18-24,M,2238
236,40,45-64,M,1827
237,40,1942,M,1
238,40,25-44,F,773
239,40,45-64,F,339
240,41,18-24,M,1621
241,41,45-64,M,1030
242,41,65+,F,3
243,41,65+,M,38
