,SchoolDist,OfnsDesc,CrimeCount
0,1,ALCOHOLIC BEVERAGE CONTROL LAW,1
1,1,PETIT LARCENY,137
2,1,BURGLAR'S TOOLS,19
3,1,OTHER STATE LAWS (NON PENAL LAW),367
4,1,OTHER OFFENSES RELATED TO THEFT,347
5,1,PROSTITUTION & RELATED OFFENSES,20
6,1,SEX CRIMES,23
7,1,DISORDERLY CONDUCT,23
8,1,OFFENSES INVOLVING FRAUD,23
9,1,CRIMINAL MISCHIEF & RELATED OFFENSES,268
10,1,POSSESSION OF STOLEN PROPERTY,28
11,1,DANGEROUS DRUGS,1528
12,1,OTHER STATE LAWS (NON PENAL LA,12
13,1,OFFENSES AGAINST THE PERSON,37
14,1,MISCELLANEOUS PENAL LAW,211
15,1,DANGEROUS WEAPONS,205
16,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,59
17,1,HARASSMENT,61
18,1,FORGERY,63
19,1,BURGLARY,67
20,1,OTHER TRAFFIC INFRACTION,82
21,1,POSSESSION OF STOLEN PROPERTY 5,191
22,1,INTOXICATED & IMPAIRED DRIVING,119
23,1,FELONY ASSAULT,180
24,1,ROBBERY,149
25,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,218
26,1,INTOXICATED/IMPAIRED DRIVING,12
27,1,FRAUDS,17
28,1,GRAND LARCENY,144
29,1,HARRASSMENT 2,3
30,1,OFFENSES AGAINST PUBLIC SAFETY,3
31,1,RAPE,3
32,1,F.C.A. P.I.N.O.S.,2
33,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),3
34,1,GAMBLING,11
35,1,ARSON,3
36,1,KIDNAPPING & RELATED OFFENSES,4
37,1,MOVING INFRACTIONS,4
38,1,JOSTLING,2
39,1,ASSAULT 3 & RELATED OFFENSES,585
40,1,LOITERING FOR DRUG PURPOSES,1
41,1,THEFT-FRAUD,5
42,1,ANTICIPATORY OFFENSES,1
43,1,CRIMINAL MISCHIEF & RELATED OF,6
44,1,MURDER & NON-NEGL. MANSLAUGHTER,6
45,1,GRAND LARCENY OF MOTOR VEHICLE,6
46,1,OTHER STATE LAWS,491
47,1,VEHICLE AND TRAFFIC LAWS,483
48,1,FORCIBLE TOUCHING,11
49,1,CRIMINAL TRESPASS,516
50,1,FRAUDULENT ACCOSTING,3
51,2,OFFENSES AGAINST THE PERSON,193
52,2,FRAUDS,196
53,2,OFFENSES INVOLVING FRAUD,793
54,2,ROBBERY,794
55,2,PROSTITUTION & RELATED OFFENSES,396
56,2,OTHER TRAFFIC INFRACTION,680
57,2,POSSESSION OF STOLEN PROPERTY,231
58,2,FORCIBLE TOUCHING,257
59,2,THEFT-FRAUD,279
60,2,F.C.A. P.I.N.O.S.,322
61,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,376
62,2,DISORDERLY CONDUCT,465
63,2,BURGLARY,742
64,2,HARASSMENT,243
65,2,HARRASSMENT 2,28
66,2,BURGLAR'S TOOLS,132
67,2,CHILD ABANDONMENT/NON SUPPORT 1,1
68,2,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",1
69,2,OFF. AGNST PUB ORD SENSBLTY &,3
70,2,DISRUPTION OF A RELIGIOUS SERVICE,3
71,2,"LOITERING/GAMBLING (CARDS, DICE, ETC)",4
72,2,ESCAPE 3,5
73,2,ANTICIPATORY OFFENSES,9
74,2,ALCOHOLIC BEVERAGE CONTROL LAW,10
75,2,KIDNAPPING & RELATED OFFENSES,11
76,2,OFFENSES AGAINST PUBLIC SAFETY,11
77,2,OFFENSES RELATED TO CHILDREN,15
78,2,JOSTLING,19
79,2,CRIMINAL MISCHIEF & RELATED OF,20
80,2,LOITERING,21
81,2,RAPE,24
82,2,GRAND LARCENY OF MOTOR VEHICLE,25
83,2,ARSON,26
84,2,DANGEROUS WEAPONS,836
85,2,MURDER & NON-NEGL. MANSLAUGHTER,38
86,2,GAMBLING,40
87,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),41
88,2,INTOXICATED/IMPAIRED DRIVING,48
89,2,MOVING INFRACTIONS,80
90,2,OTHER STATE LAWS (NON PENAL LA,89
91,2,FRAUDULENT ACCOSTING,94
92,2,SEX CRIMES,136
93,2,FELONY ASSAULT,865
94,2,OTHER OFFENSES RELATED TO THEFT,6389
95,2,ASSAULT 3 & RELATED OFFENSES,2445
96,2,CRIMINAL TRESPASS,1242
97,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,1211
98,2,GRAND LARCENY,2211
99,2,FORGERY,1022
100,2,VEHICLE AND TRAFFIC LAWS,2619
101,2,PETIT LARCENY,2624
102,2,OTHER STATE LAWS,6235
103,2,OTHER STATE LAWS (NON PENAL LAW),2844
104,2,CRIMINAL MISCHIEF & RELATED OFFENSES,1230
105,2,INTOXICATED & IMPAIRED DRIVING,1078
106,2,MISCELLANEOUS PENAL LAW,1110
107,2,DANGEROUS DRUGS,4644
108,2,POSSESSION OF STOLEN PROPERTY 5,5249
109,3,GRAND LARCENY,288
110,3,ARSON,2
111,3,ASSAULT 3 & RELATED OFFENSES,651
112,3,POSSESSION OF STOLEN PROPERTY 5,635
113,3,SEX CRIMES,19
114,3,INTOXICATED & IMPAIRED DRIVING,111
115,3,DANGEROUS DRUGS,2351
116,3,RAPE,5
117,3,PROSTITUTION & RELATED OFFENSES,29
118,3,GAMBLING,83
119,3,CRIMINAL MISCHIEF & RELATED OFFENSES,203
120,3,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,108
121,3,CRIMINAL MISCHIEF & RELATED OF,5
