,Precinct,AgeGroup,PerpSex,CrimeCount
0,1,18-24,M,738
1,1,65+,F,12
2,1,45-64,F,113
3,1,<18,F,85
4,1,25-44,F,337
5,1,65+,M,31
6,1,25-44,M,1670
7,1,<18,M,127
8,1,45-64,M,786
9,1,18-24,F,219
10,5,25-44,M,2306
11,5,65+,F,6
12,5,25-44,F,403
13,5,18-24,M,1020
14,5,18-24,F,193
15,5,45-64,M,1001
16,5,<18,F,57
17,5,<18,M,139
18,5,65+,M,63
19,5,45-64,F,235
20,6,45-64,M,738
21,6,25-44,M,1593
22,6,65+,M,25
23,6,65+,F,7
24,6,<18,F,42
25,6,45-64,F,75
26,6,18-24,F,144
27,6,18-24,M,808
28,6,25-44,F,255
29,6,<18,M,112
30,7,65+,M,21
31,7,65+,F,8
32,7,45-64,M,517
33,7,<18,F,67
34,7,25-44,F,263
35,7,18-24,F,148
36,7,45-64,F,72
37,7,18-24,M,775
38,7,25-44,M,1252
39,7,<18,M,182
40,9,65+,F,3
41,9,25-44,M,1515
42,9,18-24,F,204
43,9,18-24,M,927
44,9,<18,F,52
45,9,45-64,M,642
46,9,25-44,F,280
47,9,65+,M,24
48,9,<18,M,139
49,9,45-64,F,76
50,10,25-44,M,1401
51,10,18-24,M,565
52,10,18-24,F,142
53,10,<18,M,71
54,10,25-44,F,216
55,10,65+,M,16
56,10,65+,F,2
57,10,45-64,F,64
58,10,45-64,M,593
59,10,<18,F,21
60,13,<18,F,78
61,13,25-44,F,354
62,13,65+,M,79
63,13,18-24,M,1138
64,13,<18,M,188
65,13,45-64,F,148
66,13,18-24,F,227
67,13,25-44,M,2336
68,13,45-64,M,1379
69,13,65+,F,10
70,14,18-24,F,812
71,14,25-44,F,973
72,14,25-44,M,4836
73,14,<18,F,315
74,14,45-64,F,439
75,14,<18,M,329
76,14,45-64,M,2591
77,14,65+,F,23
78,14,18-24,M,2492
79,14,65+,M,89
80,17,25-44,M,608
81,17,45-64,M,315
82,17,25-44,F,136
83,17,65+,M,23
84,17,<18,F,5
85,17,18-24,F,93
86,17,45-64,F,49
87,17,18-24,M,245
88,17,<18,M,26
89,17,65+,F,8
90,18,25-44,M,2033
91,18,65+,F,27
