,SchoolDist,OfnsDesc,CrimeCount
0,1,OTHER TRAFFIC INFRACTION,290
1,1,HARRASSMENT 2,3
2,1,OFFENSES INVOLVING FRAUD,24
3,1,LOITERING FOR DRUG PURPOSES,9
4,1,BURGLAR'S TOOLS,3
5,1,GRAND LARCENY OF MOTOR VEHICLE,9
6,1,ROBBERY,164
7,1,DANGEROUS DRUGS,1566
8,1,POSSESSION OF STOLEN PROPERTY 5,161
9,1,DISORDERLY CONDUCT,44
10,1,GRAND LARCENY,159
11,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,159
12,1,POSSESSION OF STOLEN PROPERTY,31
13,1,ASSAULT 3 & RELATED OFFENSES,593
14,1,OFFENSES AGAINST THE PERSON,35
15,1,SEX CRIMES,35
16,1,CRIMINAL TRESPASS,649
17,1,OTHER OFFENSES RELATED TO THEFT,111
18,1,INTOXICATED & IMPAIRED DRIVING,110
19,1,F.C.A. P.I.N.O.S.,2
20,1,VEHICLE AND TRAFFIC LAWS,84
21,1,FORGERY,98
22,1,KIDNAPPING & RELATED OFFENSES,5
23,1,BURGLARY,93
24,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),11
25,1,FRAUDS,11
26,1,RAPE,8
27,1,PROSTITUTION & RELATED OFFENSES,51
28,1,THEFT-FRAUD,12
29,1,ARSON,4
30,1,PETIT LARCENY,59
31,1,HARASSMENT,1
32,1,MOVING INFRACTIONS,17
33,1,ESCAPE 3,1
34,1,FORCIBLE TOUCHING,16
35,1,INTOXICATED/IMPAIRED DRIVING,12
36,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,243
37,1,MURDER & NON-NEGL. MANSLAUGHTER,13
38,1,CRIMINAL MISCHIEF & RELATED OFFENSES,230
39,1,OFFENSES AGAINST PUBLIC SAFETY,1
40,1,MISCELLANEOUS PENAL LAW,227
41,1,OTHER STATE LAWS (NON PENAL LAW),264
42,1,ANTICIPATORY OFFENSES,3
43,1,OTHER STATE LAWS,294
44,1,GAMBLING,22
45,1,DANGEROUS WEAPONS,327
46,1,FELONY ASSAULT,233
47,2,LOITERING FOR DRUG PURPOSES,6
48,2,GAMBLING,107
49,2,FORTUNE TELLING,6
50,2,OFFENSES AGAINST PUBLIC SAFETY,11
51,2,OFFENSES RELATED TO CHILDREN,6
52,2,HARRASSMENT 2,38
53,2,DISORDERLY CONDUCT,779
54,2,INTOXICATED/IMPAIRED DRIVING,98
55,2,FORCIBLE TOUCHING,267
56,2,MOVING INFRACTIONS,97
57,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,923
58,2,LOITERING,40
59,2,BURGLARY,763
60,2,FRAUDULENT ACCOSTING,117
61,2,GRAND LARCENY OF MOTOR VEHICLE,33
62,2,VEHICLE AND TRAFFIC LAWS,648
63,2,THEFT-FRAUD,202
64,2,ALCOHOLIC BEVERAGE CONTROL LAW,20
65,2,KIDNAPPING & RELATED OFFENSES,10
66,2,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",1
67,2,RAPE,26
68,2,ANTICIPATORY OFFENSES,12
69,2,DANGEROUS WEAPONS,960
70,2,HARASSMENT,8
71,2,OFFENSES AGAINST THE PERSON,161
72,2,JOSTLING,8
73,2,FRAUDS,159
74,2,SEX CRIMES,156
75,2,DISRUPTION OF A RELIGIOUS SERVICE,1
76,2,CHILD ABANDONMENT/NON SUPPORT 1,1
77,2,ARSON,18
78,2,ADMINISTRATIVE CODE,34
79,2,POSSESSION OF STOLEN PROPERTY,246
80,2,F.C.A. P.I.N.O.S.,247
81,2,BURGLAR'S TOOLS,41
82,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),54
83,2,FORGERY,1584
84,2,OTHER STATE LAWS,3804
85,2,OTHER OFFENSES RELATED TO THEFT,4046
