,Precinct,AgeGroup,PerpSex,CrimeCount
0,1,65+,F,6
1,1,18-24,F,236
2,1,18-24,M,655
3,1,45-64,F,142
4,1,45-64,M,669
5,1,65+,M,33
6,1,<18,F,70
7,1,25-44,F,391
8,1,25-44,M,1481
9,1,<18,M,104
10,5,25-44,F,466
11,5,<18,M,182
12,5,25-44,M,2298
13,5,65+,M,59
14,5,<18,F,45
15,5,45-64,M,925
16,5,45-64,F,214
17,5,18-24,M,984
18,5,18-24,F,238
19,5,65+,F,12
20,6,45-64,F,51
21,6,<18,M,69
22,6,65+,M,23
23,6,18-24,M,573
24,6,<18,F,60
25,6,45-64,M,583
26,6,25-44,M,1154
27,6,25-44,F,205
28,6,65+,F,4
29,6,18-24,F,129
30,7,<18,F,20
31,7,45-64,M,356
32,7,65+,M,17
33,7,45-64,F,61
34,7,25-44,F,247
35,7,18-24,F,181
36,7,18-24,M,668
37,7,65+,F,4
38,7,<18,M,118
39,7,25-44,M,1199
40,9,45-64,F,83
41,9,65+,F,6
42,9,65+,M,24
43,9,18-24,M,684
44,9,<18,F,30
45,9,18-24,F,176
46,9,25-44,F,287
47,9,45-64,M,564
48,9,25-44,M,1478
49,9,<18,M,119
50,10,25-44,F,203
51,10,65+,F,2
52,10,45-64,F,61
53,10,45-64,M,516
54,10,18-24,M,565
55,10,18-24,F,159
56,10,<18,M,82
57,10,<18,F,26
58,10,65+,M,28
59,10,25-44,M,1267
60,13,45-64,M,1023
61,13,18-24,F,205
62,13,25-44,M,1893
63,13,<18,F,54
64,13,45-64,F,115
65,13,65+,M,48
66,13,25-44,F,305
67,13,18-24,M,785
68,13,<18,M,116
69,13,65+,F,12
70,14,45-64,F,354
71,14,65+,M,105
72,14,<18,F,223
73,14,25-44,F,828
74,14,18-24,F,684
75,14,<18,M,260
76,14,25-44,M,4388
77,14,65+,F,26
78,14,18-24,M,2079
79,14,45-64,M,2225
80,17,<18,F,8
81,17,45-64,F,47
82,17,18-24,F,67
83,17,18-24,M,225
84,17,45-64,M,332
85,17,<18,M,35
86,17,25-44,M,640
87,17,65+,M,27
88,17,65+,F,8
89,17,25-44,F,153
90,18,18-24,F,277
91,18,25-44,M,1887
92,18,18-24,M,950
93,18,45-64,F,115
94,18,45-64,M,795
95,18,65+,M,50
96,18,65+,F,11
97,18,<18,M,181
98,18,25-44,F,482
99,18,<18,F,34
100,19,65+,M,50
101,19,18-24,F,169
102,19,18-24,M,451
103,19,45-64,F,147
104,19,<18,F,43
105,19,65+,F,14
106,19,25-44,F,309
107,19,45-64,M,525
108,19,25-44,M,1066
109,19,<18,M,131
110,20,18-24,M,339
111,20,25-44,F,130
112,20,25-44,M,656
113,20,18-24,F,90
114,20,45-64,M,379
115,20,65+,F,3
116,20,<18,F,30
117,20,65+,M,25
118,20,<18,M,82
119,20,45-64,F,69
120,22,<18,M,14
121,22,45-64,M,34
122,22,65+,M,7
123,22,<18,F,1
124,22,18-24,F,7
125,22,25-44,M,99
126,22,45-64,F,6
127,22,18-24,M,40
128,22,25-44,F,14
129,23,<18,F,64
130,23,45-64,F,143
131,23,25-44,M,1862
132,23,65+,F,3
133,23,18-24,M,987
134,23,<18,M,229
135,23,18-24,F,246
136,23,25-44,F,362
137,23,65+,M,36
138,23,45-64,M,844
139,24,18-24,F,103
140,24,65+,M,22
141,24,<18,F,29
142,24,45-64,M,521
143,24,<18,M,122
144,24,45-64,F,82
145,24,18-24,M,403
146,24,25-44,F,188
147,24,25-44,M,890
148,24,65+,F,11
149,25,18-24,M,1252
150,25,65+,M,53
151,25,25-44,F,481
152,25,<18,F,71
153,25,45-64,F,200
154,25,65+,F,10
155,25,45-64,M,1348
156,25,18-24,F,252
157,25,25-44,M,2777
158,25,<18,M,212
159,26,18-24,F,106
160,26,<18,F,31
161,26,45-64,M,370
162,26,25-44,F,187
163,26,18-24,M,499
164,26,<18,M,95
165,26,25-44,M,835
166,26,65+,F,1
167,26,45-64,F,36
168,26,65+,M,14
169,28,25-44,M,1513
170,28,25-44,F,355
171,28,65+,M,37
172,28,18-24,F,162
173,28,45-64,M,1162
174,28,65+,F,6
175,28,45-64,F,229
176,28,18-24,M,556
177,28,<18,M,110
178,28,<18,F,36
179,30,45-64,M,499
180,30,18-24,F,131
181,30,<18,M,129
182,30,<18,F,34
183,30,45-64,F,52
184,30,65+,F,4
185,30,18-24,M,856
186,30,65+,M,31
187,30,25-44,M,1257
188,30,25-44,F,261
189,32,18-24,F,262
190,32,<18,F,83
191,32,45-64,F,154
192,32,18-24,M,925
193,32,25-44,F,467
194,32,25-44,M,1997
195,32,<18,M,220
196,32,65+,F,5
197,32,45-64,M,1017
198,32,65+,M,57
199,33,65+,F,3
200,33,<18,M,160
201,33,18-24,F,136
202,33,25-44,M,1752
203,33,25-44,F,243
204,33,45-64,M,661
205,33,65+,M,33
206,33,18-24,M,866
207,33,<18,F,19
208,33,45-64,F,104
209,34,25-44,F,302
210,34,18-24,F,155
211,34,<18,M,213
212,34,65+,F,1
213,34,45-64,F,95
214,34,65+,M,28
215,34,18-24,M,1134
216,34,45-64,M,532
217,34,25-44,M,1961
218,34,<18,F,30
219,40,18-24,M,2257
220,40,65+,F,2
221,40,<18,M,655
222,40,<18,F,121
223,40,45-64,F,242
224,40,18-24,F,442
225,40,25-44,F,831
226,40,25-44,M,4100
227,40,65+,M,63
228,40,45-64,M,1645
229,41,18-24,F,284
230,41,45-64,M,774
231,41,<18,F,75
232,41,65+,M,27
233,41,45-64,F,129
234,41,25-44,F,480
235,41,18-24,M,1655
236,41,<18,M,453
237,41,65+,F,7
238,41,25-44,M,2249
239,42,65+,F,3
240,42,65+,M,39
241,42,<18,F,88
242,42,<18,M,371
243,42,45-64,M,924
244,42,25-44,F,490
245,42,45-64,F,180
246,42,18-24,M,1279
247,42,25-44,M,2285
248,42,18-24,F,258
249,43,65+,M,33
250,43,45-64,M,756
251,43,<18,M,385
252,43,45-64,F,189
253,43,25-44,M,2366
254,43,25-44,F,533
255,43,<18,F,113
256,43,18-24,M,1356
257,43,18-24,F,375
258,43,65+,F,2
259,44,<18,M,510
260,44,25-44,F,551
261,44,<18,F,95
262,44,18-24,F,358
263,44,65+,F,7
264,44,45-64,F,214
265,44,45-64,M,1347
266,44,65+,M,42
267,44,25-44,M,3482
268,44,18-24,M,2159
269,45,25-44,F,289
270,45,45-64,M,360
271,45,18-24,F,173
272,45,<18,M,171
273,45,18-24,M,532
274,45,45-64,F,114
275,45,<18,F,88
276,45,25-44,M,1008
277,45,65+,M,18
278,45,65+,F,2
279,46,45-64,F,148
280,46,65+,M,31
281,46,18-24,F,220
282,46,<18,F,66
283,46,65+,F,1
284,46,<18,M,344
285,46,25-44,F,449
286,46,18-24,M,1231
287,46,45-64,M,885
288,46,25-44,M,2288
289,47,<18,M,317
290,47,18-24,M,1242
291,47,25-44,M,2233
292,47,65+,F,4
293,47,65+,M,24
294,47,45-64,M,807
295,47,18-24,F,237
296,47,<18,F,71
297,47,45-64,F,155
298,47,25-44,F,461
299,48,<18,M,325
300,48,25-44,F,441
301,48,65+,M,45
302,48,<18,F,60
303,48,18-24,M,1220
304,48,18-24,F,243
305,48,65+,F,6
306,48,45-64,F,179
307,48,45-64,M,962
308,48,25-44,M,2237
309,49,18-24,F,217
310,49,25-44,M,1481
311,49,45-64,M,499
312,49,65+,F,2
313,49,<18,M,256
314,49,25-44,F,317
315,49,65+,M,35
316,49,45-64,F,81
317,49,18-24,M,853
318,49,<18,F,53
319,50,25-44,M,809
320,50,<18,F,19
321,50,45-64,M,247
322,50,65+,M,11
323,50,18-24,F,107
324,50,18-24,M,537
325,50,<18,M,140
326,50,25-44,F,157
327,50,45-64,F,23
328,52,25-44,F,540
329,52,65+,F,7
330,52,<18,M,392
331,52,45-64,F,179
332,52,18-24,M,1479
333,52,<18,F,72
334,52,18-24,F,305
335,52,25-44,M,2571
336,52,45-64,M,789
337,52,65+,M,43
338,60,65+,F,6
339,60,45-64,F,126
340,60,25-44,M,1814
341,60,18-24,M,898
342,60,65+,M,42
343,60,18-24,F,211
344,60,<18,F,80
345,60,25-44,F,331
346,60,45-64,M,712
347,60,<18,M,318
348,61,65+,M,32
349,61,18-24,M,564
350,61,25-44,F,231
351,61,18-24,F,96
352,61,25-44,M,1126
353,61,45-64,F,95
354,61,65+,F,11
355,61,45-64,M,348
356,61,<18,M,144
357,61,<18,F,29
358,62,<18,F,29
359,62,45-64,F,88
360,62,18-24,F,66
361,62,18-24,M,491
362,62,25-44,F,227
363,62,65+,F,3
364,62,65+,M,25
365,62,25-44,M,1164
366,62,<18,M,132
367,62,45-64,M,324
368,63,25-44,M,922
369,63,18-24,F,118
370,63,45-64,F,73
371,63,25-44,F,200
372,63,<18,F,42
373,63,18-24,M,533
374,63,<18,M,113
375,63,65+,M,18
376,63,65+,F,8
377,63,45-64,M,266
378,66,45-64,M,297
379,66,65+,M,22
380,66,18-24,M,450
381,66,45-64,F,43
382,66,<18,M,90
383,66,25-44,F,114
384,66,18-24,F,35
385,66,25-44,M,968
386,66,<18,F,8
387,66,65+,F,4
388,67,65+,F,6
389,67,45-64,M,856
390,67,65+,M,70
391,67,<18,F,48
392,67,25-44,F,499
393,67,18-24,M,1136
394,67,<18,M,279
395,67,45-64,F,221
396,67,18-24,F,245
397,67,25-44,M,2472
398,68,18-24,F,77
399,68,<18,M,150
400,68,65+,M,15
401,68,45-64,F,58
402,68,<18,F,30
403,68,25-44,F,159
404,68,45-64,M,309
405,68,65+,F,4
406,68,18-24,M,713
407,68,25-44,M,1110
408,69,25-44,F,243
409,69,65+,M,20
410,69,45-64,M,358
411,69,<18,M,162
412,69,<18,F,46
413,69,65+,F,5
414,69,18-24,F,137
415,69,45-64,F,64
416,69,25-44,M,1040
417,69,18-24,M,726
418,70,25-44,F,300
419,70,65+,M,18
420,70,45-64,M,535
421,70,65+,F,5
422,70,18-24,M,841
423,70,25-44,M,1509
424,70,<18,F,52
425,70,18-24,F,203
426,70,<18,M,258
427,70,45-64,F,119
428,71,25-44,F,331
429,71,<18,F,46
430,71,25-44,M,1773
431,71,45-64,F,145
432,71,18-24,F,150
433,71,<18,M,206
434,71,65+,M,54
435,71,65+,F,9
436,71,45-64,M,836
437,71,18-24,M,766
438,72,45-64,F,80
439,72,65+,M,15
440,72,18-24,M,661
441,72,65+,F,4
442,72,45-64,M,490
443,72,18-24,F,102
444,72,<18,F,29
445,72,25-44,F,221
446,72,25-44,M,1519
447,72,<18,M,139
448,73,45-64,F,272
449,73,25-44,F,610
450,73,25-44,M,3157
451,73,<18,F,97
452,73,45-64,M,1343
453,73,65+,F,5
454,73,18-24,F,347
455,73,65+,M,55
456,73,18-24,M,1599
457,73,<18,M,373
458,75,65+,F,15
459,75,45-64,F,323
460,75,45-64,M,1446
461,75,<18,M,454
462,75,25-44,M,3986
463,75,65+,M,52
464,75,18-24,F,529
465,75,18-24,M,2242
466,75,<18,F,177
467,75,25-44,F,970
468,76,25-44,M,1013
469,76,18-24,F,75
470,76,<18,F,24
471,76,18-24,M,407
472,76,65+,M,34
473,76,65+,F,4
474,76,25-44,F,188
475,76,45-64,M,417
476,76,45-64,F,57
477,76,<18,M,79
478,77,45-64,M,878
479,77,18-24,M,806
480,77,25-44,F,343
481,77,65+,F,4
482,77,18-24,F,166
483,77,65+,M,48
484,77,25-44,M,1734
485,77,<18,F,34
486,77,<18,M,184
487,77,45-64,F,154
488,78,65+,F,5
489,78,18-24,M,413
490,78,18-24,F,129
491,78,45-64,M,364
492,78,45-64,F,95
493,78,25-44,M,987
494,78,25-44,F,211
495,78,<18,F,35
496,78,65+,M,17
497,78,<18,M,122
498,79,18-24,F,184
499,79,45-64,M,962
500,79,65+,F,2
501,79,65+,M,32
502,79,25-44,F,323
503,79,45-64,F,154
504,79,<18,F,47
505,79,25-44,M,1755
506,79,<18,M,188
507,79,18-24,M,880
508,81,18-24,M,702
509,81,25-44,F,323
510,81,<18,F,42
511,81,<18,M,175
512,81,45-64,M,728
513,81,18-24,F,155
514,81,45-64,F,121
515,81,25-44,M,1456
516,81,65+,M,38
517,81,65+,F,7
518,83,18-24,M,702
519,83,45-64,F,103
520,83,25-44,M,1589
521,83,<18,M,141
522,83,18-24,F,146
523,83,65+,F,3
524,83,65+,M,26
525,83,25-44,F,294
526,83,<18,F,37
527,83,45-64,M,695
528,84,25-44,F,448
529,84,<18,M,257
530,84,25-44,M,1493
531,84,45-64,M,612
532,84,18-24,F,299
533,84,18-24,M,864
534,84,45-64,F,185
535,84,65+,F,8
536,84,65+,M,48
537,84,<18,F,117
538,88,<18,M,112
539,88,45-64,F,104
540,88,45-64,M,456
541,88,18-24,M,572
542,88,18-24,F,125
543,88,25-44,F,246
544,88,65+,F,7
545,88,25-44,M,847
546,88,<18,F,36
547,88,65+,M,23
548,90,65+,F,2
549,90,25-44,F,261
550,90,18-24,F,142
551,90,18-24,M,751
552,90,<18,F,30
553,90,45-64,F,76
554,90,25-44,M,1475
555,90,<18,M,171
556,90,45-64,M,516
557,90,65+,M,20
558,94,18-24,F,47
559,94,<18,F,14
560,94,45-64,M,260
561,94,25-44,M,634
562,94,18-24,M,301
563,94,45-64,F,20
564,94,25-44,F,118
565,94,65+,M,16
566,94,<18,M,43
567,100,<18,F,35
568,100,65+,F,2
569,100,45-64,M,302
570,100,65+,M,16
571,100,45-64,F,61
572,100,25-44,M,804
573,100,<18,M,165
574,100,18-24,M,386
575,100,25-44,F,190
576,100,18-24,F,112
577,101,<18,M,192
578,101,25-44,F,262
579,101,65+,M,18
580,101,25-44,M,1114
581,101,45-64,M,410
582,101,65+,F,4
583,101,18-24,F,133
584,101,<18,F,51
585,101,45-64,F,90
586,101,18-24,M,606
587,102,45-64,M,524
588,102,65+,F,4
589,102,18-24,F,142
590,102,45-64,F,109
591,102,65+,M,36
592,102,18-24,M,1226
593,102,<18,F,31
594,102,25-44,M,1767
595,102,25-44,F,314
596,102,<18,M,201
597,103,<18,F,76
598,103,25-44,F,493
599,103,65+,F,6
600,103,18-24,F,316
601,103,45-64,M,968
602,103,45-64,F,212
603,103,18-24,M,1506
604,103,<18,M,294
605,103,25-44,M,2572
606,103,65+,M,45
607,104,<18,M,182
608,104,25-44,M,1281
609,104,65+,M,24
610,104,65+,F,2
611,104,25-44,F,246
612,104,<18,F,29
613,104,45-64,F,86
614,104,18-24,F,101
615,104,18-24,M,625
616,104,45-64,M,422
617,105,65+,M,30
618,105,<18,M,144
619,105,45-64,F,132
620,105,18-24,M,815
621,105,65+,F,8
622,105,<18,F,46
623,105,18-24,F,225
624,105,25-44,F,380
625,105,45-64,M,502
626,105,25-44,M,1513
627,106,18-24,F,130
628,106,18-24,M,845
629,106,25-44,M,1325
630,106,45-64,F,78
631,106,<18,M,170
632,106,<18,F,33
633,106,65+,F,7
634,106,65+,M,32
635,106,25-44,F,197
636,106,45-64,M,537
637,107,65+,F,4
638,107,65+,M,21
639,107,45-64,M,298
640,107,45-64,F,63
641,107,18-24,M,717
642,107,25-44,F,180
643,107,25-44,M,1044
644,107,<18,M,163
645,107,18-24,F,146
646,107,<18,F,49
647,108,<18,F,16
648,108,<18,M,80
649,108,18-24,F,81
650,108,65+,M,11
651,108,45-64,M,270
652,108,25-44,F,104
653,108,25-44,M,904
654,108,18-24,M,542
655,108,45-64,F,30
656,108,65+,F,4
657,109,25-44,M,1491
658,109,25-44,F,599
659,109,18-24,F,185
660,109,<18,F,78
661,109,18-24,M,754
662,109,45-64,M,586
663,109,<18,M,177
664,109,45-64,F,292
665,109,65+,F,25
666,109,65+,M,59
667,110,65+,M,21
668,110,45-64,F,128
669,110,45-64,M,458
670,110,25-44,M,1670
671,110,18-24,F,288
672,110,65+,F,6
673,110,<18,M,233
674,110,18-24,M,1124
675,110,25-44,F,351
676,110,<18,F,176
