,BoroCode,OfnsDesc,CrimeCount
0,1.0,ROBBERY,2596
1,1.0,INTOXICATED/IMPAIRED DRIVING,155
2,1.0,GRAND LARCENY,3219
3,1.0,ALCOHOLIC BEVERAGE CONTROL LAW,40
4,1.0,MISCELLANEOUS PENAL LAW,2871
5,1.0,KIDNAPPING & RELATED OFFENSES,40
6,1.0,MOVING INFRACTIONS,250
7,1.0,"LOITERING/GAMBLING (CARDS, DICE, ETC)",45
8,1.0,ADMINISTRATIVE CODE,47
9,1.0,OFFENSES AGAINST PUBLIC SAFETY,52
10,1.0,PETIT LARCENY,2626
11,1.0,OFFENSES INVOLVING FRAUD,1309
12,1.0,FELONY ASSAULT,2603
13,1.0,OFFENSES AGAINST THE PERSON,477
14,1.0,HARRASSMENT 2,62
15,1.0,BURGLAR'S TOOLS,82
16,1.0,FORGERY,2448
17,1.0,CRIMINAL MISCHIEF & RELATED OFFENSES,2448
18,1.0,LOITERING,93
19,1.0,MURDER & NON-NEGL. MANSLAUGHTER,193
20,1.0,INTOXICATED & IMPAIRED DRIVING,1987
21,1.0,GRAND LARCENY OF MOTOR VEHICLE,119
22,1.0,DISORDERLY CONDUCT,1435
23,1.0,RAPE,173
24,1.0,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),130
25,1.0,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1668
26,1.0,HARASSMENT,143
27,1.0,VEHICLE AND TRAFFIC LAWS,1651
28,1.0,F.C.A. P.I.N.O.S.,350
29,1.0,ARSON,29
30,1.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,3316
31,1.0,LOITERING FOR DRUG PURPOSES,26
32,1.0,CHILD ABANDONMENT/NON SUPPORT 1,1
33,1.0,DANGEROUS DRUGS,23278
34,1.0,PARKING OFFENSES,1
35,1.0,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,1
36,1.0,FRAUDS,420
37,1.0,POSSESSION OF STOLEN PROPERTY 5,8318
38,1.0,HOMICIDE-NEGLIGENT-VEHICLE,2
39,1.0,OTHER OFFENSES RELATED TO THEFT,7396
40,1.0,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",2
41,1.0,SEX CRIMES,417
42,1.0,OTHER STATE LAWS,7050
43,1.0,ASSAULT 3 & RELATED OFFENSES,6434
44,1.0,DANGEROUS WEAPONS,3407
45,1.0,POSSESSION OF STOLEN PROPERTY,417
46,1.0,OTHER TRAFFIC INFRACTION,5191
47,1.0,CRIMINAL TRESPASS,5893
48,1.0,FRAUDULENT ACCOSTING,151
49,1.0,GAMBLING,405
50,1.0,THEFT-FRAUD,379
51,1.0,ANTICIPATORY OFFENSES,19
52,1.0,PROSTITUTION & RELATED OFFENSES,1095
53,1.0,FORCIBLE TOUCHING,372
54,1.0,JOSTLING,16
55,1.0,ESCAPE 3,5
56,1.0,OTHER STATE LAWS (NON PENAL LAW),4742
57,1.0,OFFENSES RELATED TO CHILDREN,12
58,1.0,BURGLARY,1076
59,2.0,POSSESSION OF STOLEN PROPERTY,252
60,2.0,SEX CRIMES,407
61,2.0,GAMBLING,359
62,2.0,FRAUDS,195
63,2.0,GRAND LARCENY OF MOTOR VEHICLE,196
64,2.0,DISRUPTION OF A RELIGIOUS SERVICE,1
65,2.0,F.C.A. P.I.N.O.S.,244
66,2.0,OFFENSES INVOLVING FRAUD,180
67,2.0,MURDER & NON-NEGL. MANSLAUGHTER,368
68,2.0,DANGEROUS DRUGS,33528
69,2.0,ALCOHOLIC BEVERAGE CONTROL LAW,145
70,2.0,ADMINISTRATIVE CODE,1
71,2.0,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,2
72,2.0,"LOITERING/GAMBLING (CARDS, DICE, ETC)",3
73,2.0,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",3
74,2.0,ESCAPE 3,4
75,2.0,JOSTLING,4
76,2.0,HOMICIDE-NEGLIGENT-VEHICLE,4
77,2.0,FRAUDULENT ACCOSTING,11
78,2.0,BURGLAR'S TOOLS,13
79,2.0,CHILD ABANDONMENT/NON SUPPORT 1,16
80,2.0,ANTICIPATORY OFFENSES,17
81,2.0,OFFENSES AGAINST PUBLIC SAFETY,31
82,2.0,ARSON,33
83,2.0,LOITERING FOR DRUG PURPOSES,42
84,2.0,HARRASSMENT 2,50
85,2.0,KIDNAPPING & RELATED OFFENSES,62
86,2.0,OFFENSES RELATED TO CHILDREN,82
87,2.0,THEFT-FRAUD,101
88,2.0,FORCIBLE TOUCHING,102
89,2.0,HARASSMENT,116
90,2.0,MOVING INFRACTIONS,121
91,2.0,DISORDERLY CONDUCT,122
92,2.0,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),128
93,2.0,INTOXICATED/IMPAIRED DRIVING,148
94,2.0,OFFENSES AGAINST THE PERSON,502
95,2.0,RAPE,227
96,2.0,MISCELLANEOUS PENAL LAW,1862
97,2.0,PETIT LARCENY,1661
98,2.0,POSSESSION OF STOLEN PROPERTY 5,1703
99,2.0,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1880
100,2.0,INTOXICATED & IMPAIRED DRIVING,1197
101,2.0,OTHER STATE LAWS (NON PENAL LAW),1131
102,2.0,OTHER STATE LAWS,2038
103,2.0,CRIMINAL MISCHIEF & RELATED OFFENSES,2458
104,2.0,ROBBERY,2778
105,2.0,ASSAULT 3 & RELATED OFFENSES,8118
106,2.0,OTHER OFFENSES RELATED TO THEFT,4592
107,2.0,OTHER TRAFFIC INFRACTION,3158
108,2.0,GRAND LARCENY,1035
109,2.0,FELONY ASSAULT,3392
110,2.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,3399
111,2.0,FORGERY,881
112,2.0,VEHICLE AND TRAFFIC LAWS,1123
113,2.0,PROSTITUTION & RELATED OFFENSES,766
114,2.0,BURGLARY,791
115,2.0,CRIMINAL TRESPASS,9795
116,2.0,DANGEROUS WEAPONS,4264
117,3.0,ROBBERY,4615
118,3.0,CHILD ABANDONMENT/NON SUPPORT 1,14
