,Precinct,AgeGroup,PerpSex,CrimeCount
0,1,25-44,M,1712
1,1,45-64,M,772
2,1,<18,F,78
3,1,<18,M,126
4,1,45-64,F,128
5,1,18-24,M,484
6,1,65+,M,28
7,1,18-24,F,253
8,1,65+,F,1
9,1,25-44,F,442
10,5,18-24,M,762
11,5,45-64,M,917
12,5,25-44,M,2154
13,5,65+,F,7
14,5,945,M,1
15,5,25-44,F,565
16,5,<18,M,183
17,5,18-24,F,187
18,5,943,F,1
19,5,45-64,F,222
20,5,<18,F,82
21,5,65+,M,29
22,6,45-64,F,80
23,6,45-64,M,500
24,6,<18,F,46
25,6,65+,M,20
26,6,18-24,M,919
27,6,<18,M,166
28,6,65+,F,1
29,6,18-24,F,182
30,6,25-44,F,232
31,6,25-44,M,1716
32,7,18-24,M,653
33,7,25-44,M,1332
34,7,65+,F,4
35,7,65+,M,26
36,7,25-44,F,210
37,7,945,M,1
38,7,921,M,1
39,7,<18,M,212
40,7,<18,F,45
41,7,18-24,F,101
42,7,45-64,F,87
43,7,45-64,M,416
44,9,45-64,F,92
45,9,18-24,M,853
46,9,65+,F,2
47,9,25-44,F,256
48,9,45-64,M,652
49,9,<18,M,252
50,9,18-24,F,156
51,9,<18,F,75
52,9,65+,M,32
53,9,25-44,M,1782
54,10,45-64,F,66
55,10,45-64,M,473
56,10,<18,M,89
57,10,25-44,M,1869
58,10,65+,M,14
59,10,18-24,F,157
60,10,<18,F,34
61,10,18-24,M,834
62,10,25-44,F,234
63,13,25-44,F,286
64,13,18-24,F,181
65,13,65+,F,2
66,13,<18,M,181
67,13,65+,M,42
68,13,25-44,M,1574
69,13,45-64,F,102
70,13,<18,F,47
71,13,18-24,M,749
72,13,45-64,M,643
73,13,928,M,1
74,14,65+,M,113
75,14,25-44,F,1044
76,14,65+,F,14
77,14,<18,F,384
78,14,45-64,F,392
79,14,<18,M,474
80,14,18-24,F,900
81,14,25-44,M,5789
82,14,18-24,M,2372
83,14,927,M,1
84,14,45-64,M,2345
85,17,18-24,M,319
86,17,18-24,F,63
87,17,45-64,F,65
88,17,45-64,M,377
89,17,<18,F,11
90,17,25-44,M,896
91,17,25-44,F,154
92,17,<18,M,32
93,17,65+,F,8
94,17,65+,M,19
95,18,18-24,M,715
96,18,<18,F,57
97,18,45-64,M,789
98,18,<18,M,169
99,18,894,M,1
100,18,25-44,F,404
101,18,45-64,F,120
102,18,65+,F,6
103,18,18-24,F,394
104,18,25-44,M,1882
105,18,723,M,1
