,Precinct,OfnsDesc,CrimeCount
0,1,DISORDERLY CONDUCT,2
1,1,CRIMINAL TRESPASS,51
2,1,THEFT-FRAUD,1
3,1,OFFENSES AGAINST PUBLIC SAFETY,3
4,1,CRIMINAL MISCHIEF & RELATED OF,123
5,1,FOR OTHER AUTHORITIES,25
6,1,GRAND LARCENY,123
7,1,OTHER STATE LAWS,7
8,1,OFFENSES AGAINST THE PERSON,8
9,1,ARSON,1
10,1,OTHER OFFENSES RELATED TO THEF,12
11,1,OFF. AGNST PUB ORD SENSBLTY &,25
12,1,MISCELLANEOUS PENAL LAW,26
13,1,ROBBERY,86
14,1,OFFENSES AGAINST PUBLIC ADMINI,78
15,1,THEFT OF SERVICES,11
16,1,POSSESSION OF STOLEN PROPERTY,54
17,1,DANGEROUS WEAPONS,16
18,1,FORGERY,16
19,1,BURGLARY,175
20,1,OTHER STATE LAWS (NON PENAL LA,4
21,1,SEX CRIMES,19
22,1,INTOXICATED & IMPAIRED DRIVING,16
23,1,ANTICIPATORY OFFENSES,2
24,1,FELONY ASSAULT,57
25,1,VEHICLE AND TRAFFIC LAWS,36
26,1,DANGEROUS DRUGS,17
27,1,OTHER TRAFFIC INFRACTION,17
28,1,ASSAULT 3 & RELATED OFFENSES,119
29,1,GRAND LARCENY OF MOTOR VEHICLE,1
30,1,PETIT LARCENY,228
31,1,MURDER & NON-NEGL. MANSLAUGHTE,2
32,1,NYS LAWS-UNCLASSIFIED FELONY,2
33,1,FRAUDULENT ACCOSTING,3
34,1,RAPE,2
35,1,FRAUDS,3
36,1,BURGLAR'S TOOLS,13
37,1,MOVING INFRACTIONS,2
38,1,JOSTLING,2
39,1,OFFENSES INVOLVING FRAUD,14
40,1,UNAUTHORIZED USE OF A VEHICLE,3
41,1,INTOXICATED/IMPAIRED DRIVING,3
42,5,OTHER TRAFFIC INFRACTION,14
43,5,OFFENSES INVOLVING FRAUD,19
44,5,BURGLARY,149
45,5,MISCELLANEOUS PENAL LAW,100
46,5,ASSAULT 3 & RELATED OFFENSES,163
47,5,UNAUTHORIZED USE OF A VEHICLE,6
48,5,FORGERY,20
49,5,HARRASSMENT 2,2
50,5,NYS LAWS-UNCLASSIFIED FELONY,96
51,5,BURGLAR'S TOOLS,3
52,5,RAPE,29
53,5,THEFT-FRAUD,9
54,5,DANGEROUS DRUGS,67
55,5,OFF. AGNST PUB ORD SENSBLTY &,34
56,5,VEHICLE AND TRAFFIC LAWS,35
57,5,MURDER & NON-NEGL. MANSLAUGHTE,18
58,5,OTHER STATE LAWS (NON PENAL LA,3
59,5,CRIMINAL TRESPASS,17
60,5,GRAND LARCENY OF MOTOR VEHICLE,4
61,5,POSSESSION OF STOLEN PROPERTY,37
62,5,OTHER OFFENSES RELATED TO THEF,4
63,5,INTOXICATED & IMPAIRED DRIVING,8
64,5,FELONY ASSAULT,128
65,5,JOSTLING,1
66,5,KIDNAPPING & RELATED OFFENSES,1
67,5,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,2
68,5,KIDNAPPING,1
69,5,CRIMINAL MISCHIEF & RELATED OF,141
70,5,OFFENSES RELATED TO CHILDREN,1
71,5,ARSON,2
72,5,ROBBERY,91
73,5,THEFT OF SERVICES,1
74,5,OFFENSES AGAINST THE PERSON,3
75,5,PETIT LARCENY,99
76,5,FOR OTHER AUTHORITIES,319
77,5,PROSTITUTION & RELATED OFFENSES,15
78,5,GAMBLING,2
79,5,SEX CRIMES,115
80,5,GRAND LARCENY,300
81,5,DANGEROUS WEAPONS,43
82,5,FRAUDS,7
83,5,DISORDERLY CONDUCT,2
84,5,OFFENSES AGAINST PUBLIC ADMINI,88
85,6,OFFENSES INVOLVING FRAUD,2
86,6,INTOXICATED & IMPAIRED DRIVING,9
87,6,DISORDERLY CONDUCT,3
88,6,OTHER STATE LAWS,1
89,6,OTHER STATE LAWS (NON PENAL LA,1
90,6,ROBBERY,211
91,6,ESCAPE 3,1
92,6,OTHER TRAFFIC INFRACTION,2
93,6,CRIMINAL TRESPASS,60
94,6,BURGLAR'S TOOLS,27
95,6,MURDER & NON-NEGL. MANSLAUGHTE,2
96,6,OTHER OFFENSES RELATED TO THEF,19
97,6,FELONY ASSAULT,106
98,6,RAPE,1
99,6,ASSAULT 3 & RELATED OFFENSES,171
100,6,THEFT-FRAUD,1
101,6,GRAND LARCENY OF MOTOR VEHICLE,2
102,6,DANGEROUS WEAPONS,38
103,6,ADMINISTRATIVE CODE,2
104,6,GRAND LARCENY,163
105,6,OFFENSES AGAINST PUBLIC ADMINI,76
106,6,OFF. AGNST PUB ORD SENSBLTY &,30
107,6,DANGEROUS DRUGS,146
108,6,CRIMINAL MISCHIEF & RELATED OF,92
109,6,FORGERY,20
110,6,INTOXICATED/IMPAIRED DRIVING,2
111,6,FRAUDS,14
112,6,POSSESSION OF STOLEN PROPERTY,40
113,6,OFFENSES AGAINST THE PERSON,15
114,6,VEHICLE AND TRAFFIC LAWS,12
115,6,SEX CRIMES,11
116,6,UNAUTHORIZED USE OF A VEHICLE,3
117,6,BURGLARY,239
118,6,PETIT LARCENY,238
119,6,MISCELLANEOUS PENAL LAW,40
120,6,FOR OTHER AUTHORITIES,4
121,6,NYS LAWS-UNCLASSIFIED FELONY,3
122,7,CRIMINAL MISCHIEF & RELATED OF,93
123,7,OFFENSES AGAINST THE PERSON,4
124,7,OFFENSES INVOLVING FRAUD,11
125,7,BURGLAR'S TOOLS,16
126,7,OTHER TRAFFIC INFRACTION,20
127,7,INTOXICATED & IMPAIRED DRIVING,12
128,7,FORGERY,12
129,7,OTHER STATE LAWS,1
130,7,ROBBERY,70
131,7,GRAND LARCENY,70
132,7,OTHER OFFENSES RELATED TO THEF,5
133,7,DISORDERLY CONDUCT,1
134,7,NYS LAWS-UNCLASSIFIED FELONY,1
135,7,GAMBLING,2
136,7,KIDNAPPING & RELATED OFFENSES,1
137,7,MURDER & NON-NEGL. MANSLAUGHTE,13
138,7,THEFT OF SERVICES,9
139,7,FRAUDS,4
140,7,INTOXICATED/IMPAIRED DRIVING,1
141,7,FOR OTHER AUTHORITIES,1
142,7,OFFENSES AGAINST PUBLIC ADMINI,49
143,7,VEHICLE AND TRAFFIC LAWS,75
144,7,ENDAN WELFARE INCOMP,1
145,7,DANGEROUS WEAPONS,22
146,7,ADMINISTRATIVE CODE,1
147,7,BURGLARY,98
148,7,SEX CRIMES,18
149,7,CHILD ABANDONMENT/NON SUPPORT,1
150,7,PETIT LARCENY,150
151,7,OFF. AGNST PUB ORD SENSBLTY &,27
152,7,DANGEROUS DRUGS,59
153,7,RAPE,2
154,7,FELONY ASSAULT,83
155,7,ASSAULT 3 & RELATED OFFENSES,225
156,7,CRIMINAL TRESPASS,18
157,7,POSSESSION OF STOLEN PROPERTY,17
158,7,GRAND LARCENY OF MOTOR VEHICLE,8
159,7,PROSTITUTION & RELATED OFFENSES,6
160,7,MISCELLANEOUS PENAL LAW,60
161,9,VEHICLE AND TRAFFIC LAWS,15
162,9,OTHER STATE LAWS (NON PENAL LA,1
163,9,ASSAULT 3 & RELATED OFFENSES,179
164,9,SEX CRIMES,17
165,9,UNAUTHORIZED USE OF A VEHICLE,3
166,9,OTHER OFFENSES RELATED TO THEF,6
167,9,PETIT LARCENY,95
168,9,OFFENSES AGAINST PUBLIC ADMINI,88
169,9,MISCELLANEOUS PENAL LAW,38
170,9,INTOXICATED & IMPAIRED DRIVING,6
171,9,DANGEROUS WEAPONS,43
172,9,BURGLAR'S TOOLS,22
173,9,MURDER & NON-NEGL. MANSLAUGHTE,4
174,9,OFFENSES AGAINST THE PERSON,11
175,9,THEFT-FRAUD,1
176,9,GRAND LARCENY OF MOTOR VEHICLE,7
177,9,ROBBERY,62
178,9,POSSESSION OF STOLEN PROPERTY,25
179,9,CRIMINAL TRESPASS,18
180,9,GRAND LARCENY,101
181,9,ADMINISTRATIVE CODE,1
182,9,FORGERY,13
183,9,OTHER TRAFFIC INFRACTION,8
184,9,OFF. AGNST PUB ORD SENSBLTY &,43
185,9,HARRASSMENT 2,1
186,9,OFFENSES INVOLVING FRAUD,3
187,9,CRIMINAL MISCHIEF & RELATED OF,67
188,9,NYS LAWS-UNCLASSIFIED FELONY,2
189,9,FRAUDS,4
190,9,BURGLARY,132
191,9,OTHER STATE LAWS,1
192,9,RAPE,1
193,9,FRAUDULENT ACCOSTING,3
194,9,FELONY ASSAULT,130
195,9,THEFT OF SERVICES,1
196,9,DANGEROUS DRUGS,123
197,9,GAMBLING,2
198,10,MISCELLANEOUS PENAL LAW,31
199,10,RAPE,1
200,10,FRAUDS,1
201,10,FELONY ASSAULT,74
202,10,THEFT-FRAUD,1
203,10,OTHER STATE LAWS (NON PENAL LA,1
204,10,PETIT LARCENY,82
205,10,CHILD ABANDONMENT/NON SUPPORT,1
206,10,OFFENSES AGAINST THE PERSON,6
207,10,GRAND LARCENY OF MOTOR VEHICLE,1
208,10,DANGEROUS WEAPONS,20
209,10,UNAUTHORIZED USE OF A VEHICLE,3
210,10,KIDNAPPING AND RELATED OFFENSES,1
211,10,NYS LAWS-UNCLASSIFIED FELONY,1
212,10,INTOXICATED/IMPAIRED DRIVING,1
213,10,INTOXICATED & IMPAIRED DRIVING,30
214,10,BURGLAR'S TOOLS,10
215,10,OTHER STATE LAWS,2
216,10,FORGERY,9
217,10,MURDER & NON-NEGL. MANSLAUGHTE,5
218,10,VEHICLE AND TRAFFIC LAWS,69
219,10,ROBBERY,69
220,10,DANGEROUS DRUGS,63
221,10,GRAND LARCENY,70
222,10,POSSESSION OF STOLEN PROPERTY,13
223,10,FOR OTHER AUTHORITIES,182
224,10,OTHER OFFENSES RELATED TO THEF,14
225,10,OTHER TRAFFIC INFRACTION,19
226,10,CRIMINAL MISCHIEF & RELATED OF,61
227,10,CRIMINAL TRESPASS,34
228,10,SEX CRIMES,11
229,10,OFF. AGNST PUB ORD SENSBLTY &,22
230,10,ASSAULT 3 & RELATED OFFENSES,116
231,10,OFFENSES AGAINST PUBLIC ADMINI,44
232,10,OFFENSES INVOLVING FRAUD,10
233,10,BURGLARY,97
234,13,OFFENSES AGAINST PUBLIC ADMINI,61
235,13,RAPE,2
236,13,BURGLARY,208
237,13,SEX CRIMES,24
238,13,VEHICLE AND TRAFFIC LAWS,13
239,13,GRAND LARCENY OF MOTOR VEHICLE,13
240,13,OTHER OFFENSES RELATED TO THEF,10
241,13,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,1
242,13,MURDER & NON-NEGL. MANSLAUGHTE,6
243,13,ADMINISTRATIVE CODES,1
244,13,BURGLAR'S TOOLS,18
245,13,ROBBERY,134
246,13,POSSESSION OF STOLEN PROPERTY,28
247,13,DANGEROUS WEAPONS,23
248,13,NYS LAWS-UNCLASSIFIED FELONY,2
249,13,OTHER TRAFFIC INFRACTION,15
250,13,JOSTLING,2
251,13,INTOXICATED & IMPAIRED DRIVING,7
252,13,PROSTITUTION & RELATED OFFENSES,2
253,13,CRIMINAL MISCHIEF & RELATED OF,117
254,13,THEFT-FRAUD,2
255,13,FOR OTHER AUTHORITIES,5
256,13,DANGEROUS DRUGS,54
257,13,FORGERY,12
258,13,PETIT LARCENY,257
259,13,UNAUTHORIZED USE OF A VEHICLE,1
260,13,GRAND LARCENY,175
