Precinct,AgeGroup,PerpSex,CrimeCount
52,65+,M,30
52,<18,F,16
52,18-24,M,604
52,45-64,M,479
52,25-44,F,297
52,65+,F,3
60,45-64,F,35
60,<18,M,75
60,<18,F,13
60,18-24,F,70
60,65+,M,23
60,25-44,M,1080
60,18-24,M,379
60,25-44,F,181
60,45-64,M,355
60,65+,F,7
61,18-24,F,40
61,25-44,M,697
61,18-24,M,219
61,45-64,M,213
61,<18,M,48
61,45-64,F,43
61,65+,F,3
61,25-44,F,116
61,65+,M,12
61,<18,F,4
62,18-24,F,17
62,45-64,F,24
62,<18,M,57
62,65+,M,18
62,<18,F,11
62,45-64,M,163
62,25-44,F,111
62,65+,F,1
62,18-24,M,180
62,25-44,M,581
63,<18,M,89
63,65+,M,19
63,<18,F,20
63,45-64,F,45
63,45-64,M,210
63,18-24,F,57
63,65+,F,4
63,18-24,M,215
63,25-44,F,144
63,25-44,M,554
66,<18,F,4
66,18-24,F,18
66,65+,M,14
66,45-64,F,37
66,25-44,M,477
66,18-24,M,162
66,25-44,F,86
66,<18,M,22
66,45-64,M,152
67,65+,M,42
67,45-64,F,90
67,<18,M,78
67,25-44,M,1147
67,<18,F,14
67,45-64,M,397
67,65+,F,6
67,25-44,F,229
67,18-24,M,506
67,18-24,F,103
68,<18,F,1
68,65+,M,13
68,18-24,F,39
68,25-44,F,77
68,45-64,F,36
68,<18,M,25
68,18-24,M,244
68,25-44,M,693
68,65+,F,2
68,45-64,M,223
69,<18,F,7
69,18-24,F,46
69,25-44,M,410
69,18-24,M,255
69,45-64,F,29
69,65+,M,5
69,65+,F,2
69,25-44,F,100
69,<18,M,67
69,45-64,M,113
70,65+,M,29
70,65+,F,4
70,<18,F,19
70,45-64,F,70
70,45-64,M,333
70,<18,M,74
70,25-44,F,167
70,25-44,M,878
70,18-24,F,61
70,18-24,M,300
71,45-64,M,234
71,25-44,M,628
71,65+,F,2
71,45-64,F,28
71,<18,M,64
71,25-44,F,125
71,18-24,F,66
71,65+,M,10
71,18-24,M,300
71,<18,F,11
72,45-64,F,65
72,<18,M,38
72,45-64,M,326
72,18-24,F,47
72,18-24,M,302
72,65+,F,9
72,65+,M,28
72,25-44,F,162
72,<18,F,14
72,25-44,M,1036
73,18-24,M,592
73,<18,M,143
73,25-44,M,1205
73,25-44,F,240
73,<18,F,20
73,45-64,F,69
73,45-64,M,354
73,65+,M,13
73,18-24,F,140
75,25-44,F,362
75,25-44,M,1769
75,18-24,F,129
75,45-64,F,80
75,45-64,M,485
75,65+,F,5
75,65+,M,27
75,18-24,M,752
75,<18,M,165
75,<18,F,19
76,45-64,M,183
76,<18,M,18
76,65+,M,6
76,65+,F,2
76,25-44,M,348
76,18-24,F,21
76,<18,F,4
76,25-44,F,66
76,18-24,M,91
76,45-64,F,23
77,<18,M,102
77,25-44,F,152
77,65+,M,21
77,18-24,M,416
77,<18,F,17
77,45-64,F,52
77,65+,F,1
77,25-44,M,967
77,45-64,M,312
77,18-24,F,73
78,45-64,M,155
78,<18,F,11
78,<18,M,28
78,18-24,M,113
78,18-24,F,42
78,45-64,F,31
78,25-44,M,321
78,65+,M,6
78,65+,F,1
78,25-44,F,83
79,18-24,M,408
79,45-64,F,63
79,45-64,M,486
79,25-44,F,199
79,18-24,F,84
79,<18,M,78
79,65+,F,5
79,<18,F,18
79,25-44,M,1160
79,65+,M,22
81,25-44,M,532
81,<18,M,49
81,<18,F,9
81,25-44,F,112
81,18-24,F,37
81,65+,M,5
81,45-64,F,52
81,65+,F,2
81,45-64,M,250
81,18-24,M,233
83,25-44,M,965
83,45-64,F,33
83,18-24,M,284
83,25-44,F,171
83,65+,F,2
83,45-64,M,259
83,65+,M,18
83,18-24,F,81
83,<18,F,9
83,<18,M,53
84,<18,F,17
84,65+,F,1
84,45-64,F,51
84,25-44,F,201
84,45-64,M,307
84,18-24,F,65
84,18-24,M,225
84,<18,M,66
84,65+,M,16
84,25-44,M,799
88,18-24,M,147
88,45-64,M,174
88,25-44,M,395
88,65+,M,8
88,25-44,F,136
88,45-64,F,41
88,18-24,F,41
88,<18,M,39
88,<18,F,3
90,18-24,M,144
90,65+,M,11
90,65+,F,1
90,<18,F,9
90,25-44,M,440
90,45-64,M,176
90,18-24,F,32
90,<18,M,28
90,25-44,F,75
90,45-64,F,25
94,25-44,M,317
94,18-24,M,74
94,25-44,F,54
94,45-64,F,13
94,<18,M,7
94,<18,F,2
