,SchoolDist,OfnsDesc,CrimeCount
0,1,ADMINISTRATIVE CODE,1
1,1,ROBBERY,192
2,1,PROSTITUTION & RELATED OFFENSES,28
3,1,OFFENSES RELATED TO CHILDREN,3
4,1,ARSON,1
5,1,DANGEROUS DRUGS,1468
6,1,VEHICLE AND TRAFFIC LAWS,79
7,1,INTOXICATED & IMPAIRED DRIVING,77
8,1,OFFENSES AGAINST THE PERSON,35
9,1,MISCELLANEOUS PENAL LAW,218
10,1,PETIT LARCENY,68
11,1,OTHER STATE LAWS (NON PENAL LAW),259
12,1,CHILD ABANDONMENT/NON SUPPORT 1,2
13,1,ANTICIPATORY OFFENSES,2
14,1,FORCIBLE TOUCHING,8
15,1,SEX CRIMES,41
16,1,ALCOHOLIC BEVERAGE CONTROL LAW,2
17,1,FELONY ASSAULT,227
18,1,CRIMINAL MISCHIEF & RELATED OFFENSES,243
19,1,OTHER OFFENSES RELATED TO THEFT,60
20,1,DANGEROUS WEAPONS,230
21,1,DISORDERLY CONDUCT,59
22,1,JOSTLING,1
23,1,KIDNAPPING & RELATED OFFENSES,1
24,1,LOITERING,1
25,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,233
26,1,OFFENSES AGAINST PUBLIC SAFETY,1
27,1,FRAUDULENT ACCOSTING,1
28,1,GRAND LARCENY,105
29,1,OTHER TRAFFIC INFRACTION,311
30,1,POSSESSION OF STOLEN PROPERTY,30
31,1,FORGERY,125
32,1,HARRASSMENT 2,10
33,1,GRAND LARCENY OF MOTOR VEHICLE,6
34,1,BURGLARY,115
35,1,GAMBLING,15
36,1,OTHER STATE LAWS,312
37,1,ASSAULT 3 & RELATED OFFENSES,515
38,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,159
39,1,MURDER & NON-NEGL. MANSLAUGHTER,6
40,1,INTOXICATED/IMPAIRED DRIVING,6
41,1,THEFT-FRAUD,20
42,1,POSSESSION OF STOLEN PROPERTY 5,161
43,1,BURGLAR'S TOOLS,5
44,1,FRAUDS,23
45,1,OFFENSES INVOLVING FRAUD,23
46,1,RAPE,9
47,1,F.C.A. P.I.N.O.S.,9
48,1,CRIMINAL TRESPASS,597
49,1,MOVING INFRACTIONS,10
50,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),11
51,2,CRIMINAL MISCHIEF & RELATED OFFENSES,943
52,2,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
53,2,FELONY ASSAULT,941
54,2,ADMINISTRATIVE CODE,48
55,2,CRIMINAL TRESPASS,953
56,2,ESCAPE 3,6
57,2,ANTICIPATORY OFFENSES,13
58,2,GRAND LARCENY OF MOTOR VEHICLE,45
59,2,VEHICLE AND TRAFFIC LAWS,605
60,2,JOSTLING,15
61,2,F.C.A. P.I.N.O.S.,309
62,2,INTOXICATED & IMPAIRED DRIVING,619
63,2,ALCOHOLIC BEVERAGE CONTROL LAW,20
64,2,OFFENSES RELATED TO CHILDREN,3
65,2,HARRASSMENT 2,31
66,2,RAPE,32
67,2,OFFENSES AGAINST PUBLIC SAFETY,18
68,2,ARSON,13
69,2,HOMICIDE-NEGLIGENT-VEHICLE,2
70,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,700
71,2,LOITERING FOR DRUG PURPOSES,2
72,2,DANGEROUS WEAPONS,748
73,2,BURGLARY,771
74,2,HARASSMENT,16
75,2,DISORDERLY CONDUCT,785
76,2,KIDNAPPING & RELATED OFFENSES,16
77,2,CHILD ABANDONMENT/NON SUPPORT 1,4
78,2,MURDER & NON-NEGL. MANSLAUGHTER,55
79,2,BURGLAR'S TOOLS,40
80,2,OFFENSES AGAINST THE PERSON,127
81,2,FRAUDULENT ACCOSTING,129
82,2,FORCIBLE TOUCHING,217
83,2,INTOXICATED/IMPAIRED DRIVING,72
84,2,OTHER STATE LAWS,3151
85,2,OFFENSES INVOLVING FRAUD,1357
86,2,GRAND LARCENY,1819
87,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,1212
88,2,OTHER OFFENSES RELATED TO THEFT,2739
89,2,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,1
90,2,MOVING INFRACTIONS,95
91,2,SEX CRIMES,195
92,2,ASSAULT 3 & RELATED OFFENSES,2171
93,2,FRAUDS,188
94,2,FORGERY,2043
95,2,OTHER TRAFFIC INFRACTION,2696
96,2,POSSESSION OF STOLEN PROPERTY,221
97,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),56
98,2,LOITERING,64
99,2,POSSESSION OF STOLEN PROPERTY 5,5648
100,2,GAMBLING,165
101,2,DANGEROUS DRUGS,5086
102,2,PROSTITUTION & RELATED OFFENSES,1073
103,2,MISCELLANEOUS PENAL LAW,1114
104,2,PETIT LARCENY,1064
105,2,ROBBERY,1122
106,2,PARKING OFFENSES,1
107,2,THEFT-FRAUD,223
108,2,OTHER STATE LAWS (NON PENAL LAW),3691
109,3,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
110,3,BURGLAR'S TOOLS,9
111,3,POSSESSION OF STOLEN PROPERTY 5,597
112,3,KIDNAPPING & RELATED OFFENSES,1
113,3,MOVING INFRACTIONS,23
114,3,OFFENSES AGAINST PUBLIC ADMINISTRATION,331
115,3,LOITERING FOR DRUG PURPOSES,21
116,3,HOMICIDE-NEGLIGENT-VEHICLE,1
117,3,FORCIBLE TOUCHING,24
118,3,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),20
119,3,GRAND LARCENY OF MOTOR VEHICLE,17
120,3,HARRASSMENT 2,6
121,3,ROBBERY,359
122,3,INTOXICATED/IMPAIRED DRIVING,17
123,3,PETIT LARCENY,161
124,3,OTHER STATE LAWS (NON PENAL LAW),368
125,3,OFFENSES RELATED TO CHILDREN,5
126,3,VEHICLE AND TRAFFIC LAWS,123
127,3,INTOXICATED & IMPAIRED DRIVING,146
128,3,OTHER STATE LAWS,481
129,3,DANGEROUS DRUGS,3044
130,3,LOITERING,6
131,3,MURDER & NON-NEGL. MANSLAUGHTER,13
132,3,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,173
133,3,ESCAPE 3,1
134,3,POSSESSION OF STOLEN PROPERTY,59
135,3,MISCELLANEOUS PENAL LAW,308
136,3,FRAUDULENT ACCOSTING,3
137,3,OFFENSES AGAINST THE PERSON,60
138,3,GRAND LARCENY,240
139,3,GAMBLING,61
140,3,CRIMINAL MISCHIEF & RELATED OFFENSES,217
141,3,OTHER OFFENSES RELATED TO THEFT,764
142,3,ALCOHOLIC BEVERAGE CONTROL LAW,2
143,3,FELONY ASSAULT,265
144,3,ASSAULT 3 & RELATED OFFENSES,728
145,3,ARSON,2
146,3,PROSTITUTION & RELATED OFFENSES,25
147,3,ANTICIPATORY OFFENSES,2
148,3,FRAUDS,32
149,3,OTHER TRAFFIC INFRACTION,684
150,3,F.C.A. P.I.N.O.S.,3
151,3,CRIMINAL TRESPASS,673
152,3,DANGEROUS WEAPONS,270
153,3,THEFT-FRAUD,7
154,3,FORGERY,192
155,3,RAPE,3
156,3,SEX CRIMES,28
157,3,DISORDERLY CONDUCT,88
158,3,OFFENSES INVOLVING FRAUD,30
159,3,BURGLARY,105
160,4,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),9
161,4,MURDER & NON-NEGL. MANSLAUGHTER,25
162,4,OTHER OFFENSES RELATED TO THEFT,160
163,4,ROBBERY,247
164,4,DANGEROUS WEAPONS,294
165,4,HARRASSMENT 2,10
166,4,OTHER STATE LAWS (NON PENAL LAW),224
167,4,CRIMINAL MISCHIEF & RELATED OFFENSES,165
168,4,OFFENSES INVOLVING FRAUD,44
169,4,DISORDERLY CONDUCT,108
170,4,INTOXICATED/IMPAIRED DRIVING,40
171,4,GAMBLING,66
172,4,BURGLARY,55
173,4,FRAUDS,35
174,4,POSSESSION OF STOLEN PROPERTY 5,111
175,4,SEX CRIMES,128
