,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,25-44,M,41931
1,1,65+,F,221
2,1,65+,M,1172
3,1,<18,F,1384
4,1,<18,M,4235
5,1,18-24,F,5131
6,1,25-44,F,7823
7,1,45-64,F,3658
8,1,18-24,M,21827
9,1,45-64,M,22359
10,2,45-64,F,2770
11,2,18-24,M,19978
12,2,65+,M,501
13,2,18-24,F,4080
14,2,<18,F,1528
15,2,<18,M,5898
16,2,25-44,M,31439
17,2,65+,F,68
18,2,45-64,M,12682
19,2,25-44,F,6895
20,3,65+,F,106
21,3,<18,M,7237
22,3,25-44,F,8103
23,3,18-24,F,4864
24,3,18-24,M,24301
25,3,45-64,F,3394
26,3,65+,M,844
27,3,45-64,M,17496
28,3,<18,F,1647
29,3,25-44,M,41574
30,4,65+,F,141
31,4,65+,M,563
32,4,<18,F,992
33,4,18-24,M,18533
34,4,45-64,F,2012
35,4,18-24,F,3183
36,4,<18,M,5027
37,4,25-44,F,5175
38,4,45-64,M,10225
39,4,25-44,M,30055
40,5,45-64,M,1452
41,5,25-44,F,1121
42,5,<18,M,926
43,5,18-24,M,2923
44,5,18-24,F,685
45,5,65+,M,63
46,5,45-64,F,362
47,5,<18,F,276
48,5,25-44,M,4895
49,5,65+,F,18
