,SchoolDist,OfnsDesc,CrimeCount
0,1,ANTICIPATORY OFFENSES,1
1,1,HARRASSMENT 2,7
2,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),6
3,1,BURGLARY,84
4,1,INTOXICATED & IMPAIRED DRIVING,86
5,1,OTHER TRAFFIC INFRACTION,245
6,1,ARSON,5
7,1,OFFENSES RELATED TO CHILDREN,4
8,1,RAPE,4
9,1,OTHER OFFENSES RELATED TO THEFT,89
10,1,KIDNAPPING & RELATED OFFENSES,3
11,1,PETIT LARCENY,94
12,1,FORGERY,97
13,1,DANGEROUS WEAPONS,230
14,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,112
15,1,POSSESSION OF STOLEN PROPERTY 5,213
16,1,F.C.A. P.I.N.O.S.,1
17,1,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
18,1,CRIMINAL MISCHIEF & RELATED OFFENSES,261
19,1,HARASSMENT,7
20,1,FORCIBLE TOUCHING,7
21,1,FRAUDS,7
22,1,POSSESSION OF STOLEN PROPERTY,24
23,1,MOVING INFRACTIONS,23
24,1,THEFT-FRAUD,29
25,1,GRAND LARCENY OF MOTOR VEHICLE,29
26,1,SEX CRIMES,31
27,1,OTHER STATE LAWS (NON PENAL LAW),314
28,1,OFFENSES AGAINST THE PERSON,42
29,1,MURDER & NON-NEGL. MANSLAUGHTER,12
30,1,JOSTLING,1
31,1,GAMBLING,12
32,1,DISORDERLY CONDUCT,50
33,1,VEHICLE AND TRAFFIC LAWS,54
34,1,INTOXICATED/IMPAIRED DRIVING,10
35,1,OFFENSES INVOLVING FRAUD,10
36,1,LOITERING FOR DRUG PURPOSES,9
37,1,ASSAULT 3 & RELATED OFFENSES,541
38,1,CRIMINAL TRESPASS,580
39,1,BURGLAR'S TOOLS,8
40,1,PROSTITUTION & RELATED OFFENSES,50
41,1,DANGEROUS DRUGS,1483
42,1,OTHER STATE LAWS,354
43,1,GRAND LARCENY,167
44,1,ROBBERY,191
45,1,MISCELLANEOUS PENAL LAW,205
46,1,FELONY ASSAULT,201
47,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,194
48,2,KIDNAPPING & RELATED OFFENSES,11
49,2,GRAND LARCENY OF MOTOR VEHICLE,19
50,2,ESCAPE 3,4
51,2,OTHER TRAFFIC INFRACTION,2052
52,2,PARKING OFFENSES,1
53,2,LOITERING,91
54,2,INTOXICATED/IMPAIRED DRIVING,77
55,2,LOITERING FOR DRUG PURPOSES,4
56,2,FRAUDULENT ACCOSTING,147
57,2,HARRASSMENT 2,30
58,2,MOVING INFRACTIONS,103
59,2,RAPE,30
60,2,ANTICIPATORY OFFENSES,11
61,2,DISORDERLY CONDUCT,858
62,2,PROSTITUTION & RELATED OFFENSES,915
63,2,BURGLAR'S TOOLS,50
64,2,OTHER OFFENSES RELATED TO THEFT,4094
65,2,GRAND LARCENY,2229
66,2,FELONY ASSAULT,928
