,Precinct,AgeGroup,PerpSex,CrimeCount
0,1,<18,F,33
1,1,25-44,F,301
2,1,65+,F,3
3,1,45-64,F,98
4,1,65+,M,27
5,1,25-44,M,1153
6,1,18-24,F,146
7,1,45-64,M,556
8,1,18-24,M,412
9,1,<18,M,63
10,5,45-64,F,217
11,5,65+,F,22
12,5,18-24,M,685
13,5,65+,M,70
14,5,<18,F,34
15,5,45-64,M,898
16,5,<18,M,80
17,5,25-44,F,427
18,5,18-24,F,137
19,5,25-44,M,2000
20,6,18-24,M,376
21,6,25-44,M,1097
22,6,45-64,M,704
23,6,<18,M,91
24,6,65+,F,4
25,6,18-24,F,100
26,6,25-44,F,232
27,6,65+,M,29
28,6,<18,F,13
29,6,45-64,F,76
30,7,25-44,M,1019
31,7,25-44,F,237
32,7,45-64,F,77
33,7,<18,M,57
34,7,18-24,F,116
35,7,<18,F,31
36,7,18-24,M,388
37,7,65+,M,25
38,7,65+,F,4
39,7,45-64,M,357
40,9,25-44,M,997
41,9,<18,F,13
42,9,45-64,M,438
43,9,65+,M,26
44,9,25-44,F,222
45,9,18-24,M,365
46,9,<18,M,36
47,9,45-64,F,99
48,9,18-24,F,111
49,9,65+,F,3
50,10,25-44,M,964
51,10,<18,F,6
52,10,65+,F,3
53,10,18-24,F,86
54,10,65+,M,18
55,10,25-44,F,166
56,10,45-64,F,35
57,10,<18,M,42
58,10,18-24,M,278
59,10,45-64,M,356
60,13,<18,M,108
61,13,45-64,F,104
62,13,25-44,F,232
63,13,65+,M,42
64,13,45-64,M,741
65,13,18-24,M,420
66,13,18-24,F,121
67,13,<18,F,61
68,13,65+,F,13
69,13,25-44,M,1360
70,14,<18,M,147
71,14,45-64,F,274
72,14,18-24,F,386
73,14,<18,F,125
74,14,25-44,F,681
75,14,25-44,M,3466
76,14,45-64,M,1884
77,14,65+,F,21
78,14,18-24,M,1027
79,14,65+,M,86
80,17,18-24,F,53
81,17,18-24,M,243
82,17,<18,M,33
83,17,45-64,F,54
84,17,<18,F,7
85,17,65+,F,10
86,17,45-64,M,314
87,17,25-44,M,632
88,17,25-44,F,130
89,17,65+,M,15
90,18,45-64,M,715
91,18,25-44,M,1556
92,18,25-44,F,379
93,18,65+,M,37
94,18,<18,M,116
95,18,18-24,F,227
96,18,18-24,M,650
97,18,45-64,F,139
98,18,<18,F,47
99,18,65+,F,17
100,19,<18,F,35
101,19,65+,F,9
102,19,25-44,F,272
103,19,65+,M,28
104,19,<18,M,145
105,19,18-24,M,308
106,19,45-64,M,475
107,19,45-64,F,130
108,19,25-44,M,872
109,19,18-24,F,78
110,20,65+,F,6
111,20,<18,F,14
112,20,25-44,M,622
113,20,65+,M,24
114,20,18-24,M,208
115,20,25-44,F,181
116,20,45-64,F,61
117,20,<18,M,62
118,20,18-24,F,72
119,20,45-64,M,372
120,22,45-64,M,25
121,22,18-24,M,28
122,22,25-44,M,45
123,22,25-44,F,7
124,22,18-24,F,1
125,22,<18,M,30
126,22,65+,M,1
127,23,18-24,F,169
128,23,<18,F,52
129,23,65+,F,4
130,23,<18,M,175
131,23,18-24,M,544
132,23,45-64,F,116
133,23,45-64,M,560
134,23,25-44,M,1337
135,23,25-44,F,363
136,23,65+,M,28
137,24,18-24,M,230
138,24,<18,M,64
139,24,65+,M,33
140,24,18-24,F,64
141,24,25-44,F,197
142,24,45-64,F,87
143,24,<18,F,12
144,24,45-64,M,376
145,24,65+,F,2
146,24,25-44,M,738
147,25,18-24,M,763
148,25,25-44,M,2480
149,25,<18,M,124
150,25,18-24,F,207
151,25,45-64,F,147
152,25,45-64,M,1033
153,25,25-44,F,495
154,25,65+,F,9
155,25,65+,M,56
156,25,<18,F,42
157,26,18-24,M,289
158,26,<18,F,17
159,26,18-24,F,63
160,26,25-44,M,744
161,26,65+,M,20
162,26,25-44,F,175
163,26,45-64,M,335
164,26,45-64,F,62
165,26,<18,M,70
166,26,65+,F,3
167,28,<18,F,20
168,28,25-44,M,880
169,28,<18,M,56
170,28,65+,F,2
171,28,65+,M,37
172,28,45-64,M,568
173,28,25-44,F,262
174,28,45-64,F,147
175,28,18-24,F,85
176,28,18-24,M,263
177,30,<18,M,64
178,30,45-64,F,45
179,30,45-64,M,267
180,30,<18,F,7
181,30,25-44,M,719
182,30,65+,F,2
183,30,18-24,M,286
184,30,65+,M,12
185,30,25-44,F,150
186,30,18-24,F,79
187,32,25-44,F,348
188,32,25-44,M,1230
189,32,65+,M,32
190,32,45-64,F,121
191,32,45-64,M,570
192,32,<18,M,140
193,32,<18,F,37
194,32,18-24,M,503
195,32,65+,F,5
196,32,18-24,F,144
197,33,18-24,M,435
198,33,25-44,M,1231
199,33,<18,M,62
200,33,65+,F,3
201,33,<18,F,14
202,33,45-64,M,449
203,33,18-24,F,77
204,33,25-44,F,259
205,33,65+,M,35
206,33,45-64,F,86
207,34,25-44,F,229
208,34,18-24,M,747
209,34,25-44,M,1481
210,34,65+,M,25
211,34,45-64,F,38
212,34,<18,F,25
213,34,45-64,M,342
214,34,18-24,F,119
215,34,<18,M,87
216,40,18-24,M,1153
217,40,18-24,F,316
218,40,45-64,M,1129
219,40,65+,M,39
220,40,<18,M,262
221,40,45-64,F,184
222,40,25-44,M,2937
223,40,65+,F,6
224,40,25-44,F,626
225,40,<18,F,78
226,41,65+,F,3
227,41,<18,M,142
228,41,18-24,M,825
229,41,45-64,M,493
230,41,45-64,F,81
231,41,25-44,F,411
232,41,18-24,F,172
233,41,25-44,M,1562
234,41,65+,M,24
235,41,<18,F,35
236,42,65+,F,1
237,42,25-44,M,1690
238,42,65+,M,36
239,42,<18,M,189
240,42,<18,F,66
241,42,45-64,M,760
242,42,25-44,F,444
243,42,45-64,F,181
244,42,18-24,F,198
245,42,18-24,M,713
246,43,65+,M,36
247,43,25-44,F,539
248,43,<18,F,74
249,43,45-64,M,722
250,43,<18,M,214
251,43,45-64,F,163
252,43,65+,F,9
253,43,25-44,M,1924
254,43,18-24,F,250
255,43,18-24,M,911
256,44,65+,M,60
257,44,45-64,M,1214
258,44,45-64,F,274
