,Precinct,AgeGroup,PerpSex,CrimeCount
238,40,954,M,1
239,40,45-64,F,313
240,40,640,M,1
241,40,65+,M,75
242,40,928,M,1
243,40,45-64,M,1784
244,40,945,M,1
245,40,<18,F,187
246,40,25-44,M,4422
247,40,18-24,M,2220
248,40,924,F,1
249,41,<18,F,101
250,41,18-24,M,1471
251,41,25-44,M,2451
252,41,65+,M,53
253,41,927,M,1
254,41,709,M,1
255,41,18-24,F,390
256,41,930,M,1
257,41,<18,M,509
258,41,65+,F,10
259,41,45-64,F,187
260,41,896,F,1
261,41,45-64,M,935
262,41,25-44,F,787
263,42,18-24,F,201
264,42,18-24,M,1198
265,42,45-64,F,189
266,42,25-44,F,520
267,42,65+,F,2
268,42,<18,F,142
269,42,45-64,M,857
270,42,25-44,M,2087
271,42,<18,M,566
272,42,65+,M,46
273,43,18-24,F,482
274,43,45-64,F,311
275,43,25-44,F,910
276,43,65+,M,79
277,43,18-24,M,2977
278,43,<18,M,1121
279,43,895,M,1
280,43,25-44,M,4557
281,43,<18,F,221
282,43,65+,F,2
283,43,45-64,M,1403
284,44,<18,M,1140
285,44,931,M,1
286,44,25-44,F,1166
287,44,65+,F,3
288,44,18-24,M,2897
289,44,45-64,M,2149
290,44,45-64,F,455
291,44,25-44,M,5168
292,44,<18,F,183
293,44,18-24,F,413
294,44,65+,M,88
295,44,923,M,1
296,45,<18,M,351
297,45,925,M,1
298,45,25-44,F,273
299,45,25-44,M,993
300,45,18-24,F,119
301,45,<18,F,89
302,45,65+,F,4
303,45,18-24,M,585
304,45,45-64,F,90
305,45,65+,M,18
306,45,45-64,M,404
307,46,25-44,M,5167
308,46,65+,M,40
309,46,18-24,M,3163
310,46,<18,M,1056
311,46,25-44,F,910
312,46,45-64,F,343
313,46,18-24,F,437
314,46,895,F,1
315,46,65+,F,6
316,46,<18,F,189
317,46,45-64,M,1804
318,46,895,M,1
319,47,924,M,1
320,47,18-24,F,289
321,47,45-64,F,140
322,47,25-44,M,2504
323,47,18-24,M,2157
324,47,65+,M,27
325,47,<18,M,681
326,47,45-64,M,724
327,47,65+,F,3
328,47,25-44,F,472
329,47,<18,F,112
330,48,65+,F,3
331,48,45-64,M,1211
332,48,45-64,F,203
333,48,25-44,M,3103
334,48,25-44,F,724
335,48,18-24,F,270
336,48,65+,M,30
337,48,<18,F,96
338,48,18-24,M,1575
339,48,937,F,1
340,48,<18,M,628
341,49,<18,F,56
342,49,25-44,M,1051
343,49,45-64,F,62
344,49,932,M,1
345,49,45-64,M,303
346,49,65+,M,11
347,49,25-44,F,219
348,49,18-24,F,94
349,49,18-24,M,784
350,49,<18,M,372
351,49,65+,F,5
352,50,18-24,M,661
353,50,18-24,F,74
354,50,65+,F,3
355,50,45-64,F,58
356,50,949,M,1
357,50,25-44,F,157
358,50,65+,M,14
359,50,25-44,M,921
360,50,45-64,M,300
361,50,<18,F,44
362,50,<18,M,309
363,52,18-24,M,2257
364,52,<18,M,817
365,52,65+,M,38
366,52,895,M,1
367,52,65+,F,5
368,52,<18,F,137
369,52,45-64,F,237
370,52,45-64,M,1129
371,52,18-24,F,315
372,52,25-44,M,3807
373,52,25-44,F,782
374,60,45-64,F,150
375,60,<18,M,529
376,60,25-44,F,432
377,60,65+,F,7
378,60,25-44,M,1828
379,60,<18,F,113
380,60,18-24,F,178
381,60,45-64,M,608
382,60,65+,M,48
383,60,18-24,M,1095
384,61,896,M,1
385,61,45-64,F,89
386,61,65+,M,13
387,61,<18,F,109
388,61,65+,F,2
389,61,18-24,F,133
390,61,25-44,F,191
391,61,45-64,M,389
392,61,<18,M,448
393,61,25-44,M,1220
394,61,18-24,M,919
395,62,18-24,F,91
396,62,<18,F,80
397,62,45-64,F,101
398,62,25-44,F,214
399,62,<18,M,339
400,62,25-44,M,1064
401,62,65+,F,5
402,62,18-24,M,656
403,62,65+,M,14
404,62,45-64,M,276
405,63,65+,M,6
406,63,25-44,M,936
407,63,18-24,M,666
408,63,18-24,F,152
409,63,45-64,F,57
410,63,<18,F,66
411,63,45-64,M,265
412,63,<18,M,247
413,63,65+,F,7
414,63,25-44,F,203
415,66,65+,M,15
416,66,18-24,F,40
417,66,45-64,M,227
418,66,<18,F,52
419,66,45-64,F,37
420,66,18-24,M,472
421,66,924,M,1
422,66,<18,M,257
423,66,25-44,F,107
424,66,25-44,M,798
425,66,65+,F,2
426,67,45-64,M,795
427,67,25-44,F,439
428,67,18-24,F,267
429,67,45-64,F,159
430,67,65+,M,25
431,67,<18,F,128
432,67,65+,F,4
433,67,25-44,M,2857
434,67,18-24,M,1999
435,67,<18,M,585
436,68,65+,M,12
437,68,25-44,M,862
438,68,45-64,M,275
439,68,<18,M,218
440,68,<18,F,40
441,68,65+,F,1
442,68,18-24,M,503
443,68,25-44,F,169
444,68,18-24,F,94
445,68,45-64,F,60
446,69,<18,M,303
447,69,25-44,M,1011
448,69,45-64,M,269
449,69,18-24,F,138
450,69,65+,M,8
451,69,45-64,F,60
452,69,18-24,M,849
453,69,25-44,F,211
454,69,<18,F,73
455,70,45-64,M,671
456,70,65+,M,26
457,70,45-64,F,140
458,70,<18,M,619
459,70,18-24,M,1550
460,70,914,M,1
461,70,65+,F,2
462,70,25-44,F,382
463,70,18-24,F,215
464,70,924,M,1
465,70,<18,F,111
466,70,25-44,M,2082
467,71,25-44,F,352
468,71,<18,M,627
469,71,65+,M,35
470,71,18-24,F,202
471,71,948,F,1
472,71,45-64,F,137
473,71,45-64,M,745
474,71,25-44,M,2100
475,71,<18,F,176
476,71,18-24,M,1321
477,71,65+,F,4
478,72,18-24,M,1083
479,72,18-24,F,160
480,72,45-64,M,536
481,72,<18,F,44
482,72,927,M,1
483,72,<18,M,337
484,72,895,M,1
485,72,25-44,F,354
486,72,65+,M,18
487,72,25-44,M,1820
488,72,45-64,F,64
489,72,948,M,1
490,73,25-44,M,4118
