,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1.0,25-44,M,43711
1,1.0,65+,M,1009
2,1.0,65+,F,120
3,1.0,<18,F,2219
4,1.0,45-64,F,3532
5,1.0,<18,M,6208
6,1.0,25-44,F,8027
7,1.0,18-24,F,5494
8,1.0,45-64,M,21200
9,1.0,18-24,M,22940
10,2.0,18-24,F,4242
11,2.0,65+,M,531
12,2.0,45-64,F,2887
13,2.0,<18,F,2236
14,2.0,18-24,M,23649
15,2.0,25-44,F,7316
16,2.0,<18,M,9435
17,2.0,25-44,M,35290
18,2.0,45-64,M,13747
19,2.0,65+,F,46
20,3.0,65+,F,79
21,3.0,25-44,M,43106
22,3.0,45-64,F,3287
23,3.0,18-24,M,27280
24,3.0,<18,F,2211
25,3.0,65+,M,590
26,3.0,25-44,F,8646
27,3.0,<18,M,9967
28,3.0,45-64,M,16853
29,3.0,18-24,F,4642
30,4.0,25-44,F,4712
31,4.0,18-24,F,3091
32,4.0,65+,M,377
33,4.0,<18,M,6022
34,4.0,25-44,M,29727
35,4.0,45-64,F,1722
36,4.0,65+,F,69
37,4.0,45-64,M,9187
38,4.0,<18,F,1216
39,4.0,18-24,M,19645
40,5.0,65+,M,50
41,5.0,45-64,F,384
42,5.0,18-24,M,3549
43,5.0,18-24,F,812
44,5.0,25-44,F,1177
45,5.0,<18,M,1246
46,5.0,45-64,M,1458
47,5.0,25-44,M,4853
48,5.0,<18,F,431
49,5.0,65+,F,13
