,SchoolDist,AgeGroup,PerpSex,CrimeCount
0,1,18-24,M,540
1,1,65+,M,51
2,1,25-44,F,387
3,1,45-64,M,582
4,1,25-44,M,1580
5,1,18-24,F,172
6,1,65+,F,8
7,1,<18,F,35
8,1,<18,M,129
9,1,45-64,F,101
10,2,25-44,M,11313
11,2,45-64,F,953
12,2,<18,M,935
13,2,<18,F,281
14,2,65+,M,406
15,2,18-24,F,1182
16,2,25-44,F,2461
17,2,65+,F,95
18,2,18-24,M,3427
19,2,45-64,M,5856
20,3,65+,M,85
21,3,25-44,F,436
22,3,65+,F,24
23,3,45-64,M,1103
24,3,<18,F,34
25,3,45-64,F,201
26,3,25-44,M,1723
27,3,18-24,M,528
28,3,<18,M,163
29,3,18-24,F,146
30,4,65+,F,18
31,4,45-64,F,184
32,4,18-24,F,229
33,4,18-24,M,712
34,4,<18,M,234
35,4,45-64,M,789
36,4,25-44,F,559
37,4,25-44,M,2213
38,4,<18,F,48
39,4,65+,M,61
40,5,18-24,F,281
41,5,25-44,F,764
42,5,<18,F,111
43,5,18-24,M,1106
44,5,25-44,M,3426
45,5,45-64,F,304
46,5,65+,F,11
47,5,45-64,M,1432
48,5,65+,M,65
49,5,<18,M,358
50,6,18-24,M,1100
51,6,25-44,F,548
52,6,65+,M,66
53,6,65+,F,8
54,6,45-64,F,153
55,6,25-44,M,2865
56,6,<18,F,30
57,6,18-24,F,222
58,6,<18,M,219
59,6,45-64,M,850
60,7,45-64,M,1468
61,7,25-44,M,3741
62,7,25-44,F,822
63,7,65+,F,8
64,7,18-24,M,1289
65,7,18-24,F,319
66,7,65+,M,84
67,7,<18,F,74
68,7,<18,M,288
69,7,45-64,F,300
70,8,25-44,M,2889
71,8,18-24,F,305
72,8,18-24,M,1348
73,8,<18,F,56
74,8,45-64,F,190
75,8,45-64,M,1019
76,8,<18,M,237
77,8,65+,M,68
78,8,65+,F,7
79,8,25-44,F,761
80,9,18-24,F,419
81,9,25-44,M,4519
82,9,45-64,F,324
83,9,<18,M,292
84,9,25-44,F,1008
85,9,65+,F,12
86,9,18-24,M,1772
87,9,45-64,M,1634
88,9,<18,F,85
89,9,65+,M,87
90,10,45-64,F,347
91,10,18-24,M,1928
92,10,25-44,M,4765
93,10,45-64,M,1679
94,10,<18,F,68
95,10,25-44,F,1195
96,10,18-24,F,481
97,10,65+,M,93
98,10,65+,F,14
99,10,<18,M,444
100,11,65+,M,88
101,11,25-44,M,3630
102,11,45-64,F,285
103,11,45-64,M,1177
104,11,18-24,F,396
105,11,25-44,F,884
106,11,18-24,M,1351
107,11,<18,M,349
108,11,<18,F,81
109,11,65+,F,8
110,12,<18,M,201
111,12,<18,F,52
112,12,45-64,F,156
113,12,65+,M,39
114,12,18-24,F,169
115,12,25-44,F,398
116,12,65+,F,4
117,12,25-44,M,1672
118,12,18-24,M,701
119,12,45-64,M,755
120,13,<18,F,50
121,13,<18,M,305
122,13,45-64,M,1256
123,13,65+,F,14
124,13,18-24,F,288
125,13,65+,M,59
126,13,25-44,F,671
127,13,25-44,M,2652
128,13,45-64,F,218
129,13,18-24,M,991
130,14,45-64,F,86
131,14,18-24,F,160
132,14,25-44,F,366
133,14,25-44,M,2084
134,14,65+,F,7
135,14,18-24,M,749
136,14,65+,M,45
137,14,<18,M,147
138,14,45-64,M,767
139,14,<18,F,36
140,15,18-24,F,208
141,15,18-24,M,845
142,15,45-64,M,1084
143,15,65+,M,66
144,15,25-44,F,526
145,15,45-64,F,181
146,15,<18,F,41
147,15,25-44,M,2892
148,15,65+,F,9
149,15,<18,M,173
150,16,<18,F,23
151,16,65+,M,26
152,16,18-24,F,130
153,16,18-24,M,559
154,16,25-44,M,1439
155,16,45-64,M,561
156,16,<18,M,126
157,16,25-44,F,335
158,16,45-64,F,100
159,16,65+,F,5
160,17,25-44,M,2822
161,17,18-24,M,1158
162,17,18-24,F,244
163,17,65+,M,84
164,17,45-64,M,1101
165,17,65+,F,9
166,17,45-64,F,198
167,17,<18,F,51
168,17,25-44,F,549
169,17,<18,M,274
170,18,45-64,F,88
171,18,<18,M,131
172,18,45-64,M,502
173,18,18-24,F,149
174,18,25-44,M,1326
175,18,<18,F,36
176,18,18-24,M,600
177,18,65+,F,4
178,18,25-44,F,305
179,18,65+,M,62
180,19,25-44,M,2576
181,19,65+,F,7
182,19,25-44,F,648
183,19,45-64,M,850
184,19,<18,M,302
185,19,18-24,F,298
186,19,65+,M,53
187,19,<18,F,74
188,19,45-64,F,204
189,19,18-24,M,1150
190,20,25-44,F,414
191,20,45-64,F,146
192,20,25-44,M,2325
193,20,18-24,F,130
194,20,18-24,M,774
195,20,65+,M,57
196,20,45-64,M,806
197,20,<18,M,211
198,20,65+,F,11
199,20,<18,F,57
200,21,65+,F,12
201,21,25-44,M,2165
202,21,45-64,F,122
203,21,<18,F,80
204,21,65+,M,63
205,21,18-24,F,152
206,21,25-44,F,410
207,21,18-24,M,886
208,21,45-64,M,882
209,21,<18,M,222
210,22,65+,F,20
211,22,18-24,M,982
212,22,25-44,M,2281
213,22,18-24,F,244
214,22,25-44,F,569
215,22,<18,F,39
216,22,<18,M,248
217,22,45-64,F,204
218,22,45-64,M,775
219,22,65+,M,55
220,23,<18,M,234
221,23,18-24,M,754
222,23,45-64,M,585
223,23,65+,F,9
224,23,18-24,F,187
225,23,45-64,F,120
226,23,<18,F,39
227,23,25-44,F,399
228,23,65+,M,24
229,23,25-44,M,1755
230,24,<18,F,49
231,24,18-24,F,287
232,24,65+,M,60
233,24,45-64,F,261
234,24,<18,M,259
235,24,25-44,M,2998
236,24,65+,F,20
237,24,45-64,M,934
238,24,18-24,M,1134
239,24,25-44,F,776
240,25,18-24,M,794
241,25,25-44,M,2013
242,25,45-64,F,202
243,25,<18,F,24
244,25,65+,F,25
245,25,<18,M,219
246,25,18-24,F,187
247,25,65+,M,98
248,25,45-64,M,767
249,25,25-44,F,526
250,26,45-64,F,55
251,26,18-24,F,58
252,26,18-24,M,224
253,26,65+,M,29
254,26,25-44,F,152
255,26,25-44,M,539
256,26,45-64,M,220
257,26,65+,F,8
258,26,<18,M,37
259,26,<18,F,11
260,27,65+,F,10
261,27,65+,M,123
262,27,25-44,F,825
263,27,<18,M,422
264,27,45-64,F,339
265,27,18-24,M,1541
266,27,25-44,M,3520
267,27,<18,F,93
268,27,45-64,M,1254
269,27,18-24,F,328
270,28,25-44,F,768
271,28,25-44,M,3955
272,28,65+,M,176
273,28,18-24,M,1597
274,28,45-64,M,1795
275,28,<18,M,298
276,28,18-24,F,303
277,28,65+,F,22
278,28,45-64,F,260
279,28,<18,F,57
280,29,45-64,F,162
281,29,18-24,F,255
282,29,65+,M,70
283,29,25-44,M,2455
284,29,45-64,M,892
285,29,<18,M,204
286,29,<18,F,40
287,29,25-44,F,592
288,29,65+,F,17
289,29,18-24,M,1061
290,30,65+,F,11
291,30,25-44,M,3908
292,30,45-64,F,273
293,30,18-24,F,257
