,BoroCode,OfnsDesc,CrimeCount
0,1,NYS LAWS-UNCLASSIFIED FELONY,294
1,1,OFFENSES AGAINST PUBLIC ADMINI,1981
2,1,THEFT OF SERVICES,273
3,1,OTHER STATE LAWS,274
4,1,BURGLAR'S TOOLS,281
5,1,MISCELLANEOUS PENAL LAW,1699
6,1,INTOXICATED/IMPAIRED DRIVING,59
7,1,DISORDERLY CONDUCT,605
8,1,HOMICIDE-NEGLIGENT-VEHICLE,2
9,1,OFFENSES RELATED TO CHILDREN,11
10,1,BURGLARY,1394
11,1,UNAUTHORIZED USE OF A VEHICLE,61
12,1,NYS LAWS-UNCLASSIFIED VIOLATION,2
13,1,OFFENSES AGAINST PUBLIC SAFETY,11
14,1,SEX CRIMES,935
15,1,DANGEROUS WEAPONS,1251
16,1,CHILD ABANDONMENT/NON SUPPORT,6
17,1,"LOITERING/GAMBLING (CARDS, DIC",2
18,1,FORGERY,1180
19,1,CRIMINAL TRESPASS,1168
20,1,ANTICIPATORY OFFENSES,18
21,1,GAMBLING,136
22,1,ESCAPE 3,2
23,1,OFFENSES INVOLVING FRAUD,384
24,1,FRAUDULENT ACCOSTING,75
25,1,GRAND LARCENY OF MOTOR VEHICLE,133
26,1,OTHER STATE LAWS (NON PENAL LA,124
27,1,OFF. AGNST PUB ORD SENSBLTY &,980
28,1,KIDNAPPING & RELATED OFFENSES,17
29,1,OTHER OFFENSES RELATED TO THEF,1237
30,1,RAPE,120
31,1,JOSTLING,20
32,1,UNLAWFUL POSS. WEAP. ON SCHOOL,1
33,1,PETIT LARCENY,8470
34,1,ARSON,31
35,1,ADMINISTRATIVE CODES,1
36,1,THEFT-FRAUD,115
37,1,ASSAULT 3 & RELATED OFFENSES,6314
38,1,ADMINISTRATIVE CODE,34
39,1,DANGEROUS DRUGS,5302
40,1,MURDER & NON-NEGL. MANSLAUGHTE,209
41,1,MOVING INFRACTIONS,9
42,1,GRAND LARCENY,4437
43,1,ALCOHOLIC BEVERAGE CONTROL LAW,42
44,1,FRAUDS,214
45,1,DISRUPTION OF A RELIGIOUS SERV,1
46,1,ROBBERY,2275
47,1,INTOXICATED & IMPAIRED DRIVING,931
48,1,FOR OTHER AUTHORITIES,662
49,1,CRIMINAL MISCHIEF & RELATED OF,2390
50,1,OFFENSES AGAINST THE PERSON,264
51,1,LOITERING FOR DRUG PURPOSES,2
52,1,PROSTITUTION & RELATED OFFENSES,172
53,1,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,15
54,1,FELONY ASSAULT,2836
55,1,HARRASSMENT 2,21
56,1,POSSESSION OF STOLEN PROPERTY,530
57,1,VEHICLE AND TRAFFIC LAWS,3250
58,1,OTHER TRAFFIC INFRACTION,554
59,1,ENDAN WELFARE INCOMP,10
60,2,CRIMINAL TRESPASS,530
61,2,POSSESSION OF STOLEN PROPERTY,448
62,2,GAMBLING,122
63,2,ESCAPE 3,3
64,2,OFFENSES RELATED TO CHILDREN,4
65,2,ASSAULT 3 & RELATED OFFENSES,9176
66,2,MURDER & NON-NEGL. MANSLAUGHTE,374
67,2,OTHER TRAFFIC INFRACTION,339
68,2,FOR OTHER AUTHORITIES,276
69,2,OFFENSES AGAINST THE PERSON,272
70,2,RAPE,269
71,2,PROSTITUTION & RELATED OFFENSES,170
72,2,MOVING INFRACTIONS,7
73,2,NYS LAWS-UNCLASSIFIED FELONY,228
74,2,GRAND LARCENY OF MOTOR VEHICLE,224
75,2,FRAUDS,224
76,2,DISORDERLY CONDUCT,10
77,2,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",8
78,2,CHILD ABANDONMENT/NON SUPPORT,9
79,2,OFFENSES INVOLVING FRAUD,413
80,2,JOSTLING,3
81,2,SEX CRIMES,930
82,2,MISCELLANEOUS PENAL LAW,1731
83,2,THEFT-FRAUD,61
84,2,OFFENSES AGAINST PUBLIC SAFETY,12
85,2,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,20
86,2,DANGEROUS WEAPONS,1953
87,2,ALCOHOLIC BEVERAGE CONTROL LAW,54
88,2,ROBBERY,2345
89,2,CRIMINAL MISCHIEF & RELATED OF,2428
90,2,OFFENSES AGAINST PUBLIC ADMINI,2437
91,2,OTHER STATE LAWS,47
92,2,HARRASSMENT 2,21
93,2,VEHICLE AND TRAFFIC LAWS,3198
