,Precinct,OfnsDesc,CrimeCount
0,1,OTHER STATE LAWS (NON PENAL LAW),440
1,1,FORCIBLE TOUCHING,11
2,1,VEHICLE AND TRAFFIC LAWS,258
3,1,GRAND LARCENY,168
4,1,GRAND LARCENY OF MOTOR VEHICLE,1
5,1,CRIMINAL MISCHIEF & RELATED OF,3
6,1,ASSAULT 3 & RELATED OFFENSES,188
7,1,HARASSMENT,39
8,1,MISCELLANEOUS PENAL LAW,64
9,1,CRIMINAL TRESPASS,74
10,1,PROSTITUTION & RELATED OFFENSES,11
11,1,BURGLAR'S TOOLS,21
12,1,OTHER OFFENSES RELATED TO THEFT,528
13,1,FELONY ASSAULT,46
14,1,ARSON,2
15,1,OFFENSES AGAINST PUBLIC SAFETY,7
16,1,JOSTLING,1
17,1,INTOXICATED & IMPAIRED DRIVING,94
18,1,LOITERING,3
19,1,RAPE,1
20,1,DANGEROUS DRUGS,123
21,1,KIDNAPPING & RELATED OFFENSES,1
22,1,INTOXICATED/IMPAIRED DRIVING,8
23,1,DISORDERLY CONDUCT,33
24,1,MOVING INFRACTIONS,2
25,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),4
26,1,BURGLARY,62
27,1,POSSESSION OF STOLEN PROPERTY 5,609
28,1,OTHER STATE LAWS,620
29,1,POSSESSION OF STOLEN PROPERTY,14
30,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,120
31,1,OFFENSES INVOLVING FRAUD,228
32,1,FORGERY,86
33,1,OTHER STATE LAWS (NON PENAL LA,9
34,1,FRAUDS,17
35,1,FRAUDULENT ACCOSTING,4
36,1,PETIT LARCENY,277
37,1,F.C.A. P.I.N.O.S.,2
38,1,OTHER TRAFFIC INFRACTION,125
39,1,CRIMINAL MISCHIEF & RELATED OFFENSES,239
40,1,DANGEROUS WEAPONS,60
41,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,52
42,1,ROBBERY,36
43,1,SEX CRIMES,9
44,1,HARRASSMENT 2,2
45,1,OFFENSES AGAINST THE PERSON,8
46,1,THEFT-FRAUD,17
47,5,OTHER STATE LAWS,779
48,5,DISRUPTION OF A RELIGIOUS SERVICE,1
49,5,MISCELLANEOUS PENAL LAW,321
50,5,FRAUDULENT ACCOSTING,4
51,5,MOVING INFRACTIONS,2
52,5,GRAND LARCENY OF MOTOR VEHICLE,6
53,5,SEX CRIMES,14
54,5,FORCIBLE TOUCHING,15
55,5,OFFENSES INVOLVING FRAUD,267
56,5,POSSESSION OF STOLEN PROPERTY,21
57,5,GRAND LARCENY,282
58,5,INTOXICATED/IMPAIRED DRIVING,1
59,5,PETIT LARCENY,270
60,5,FELONY ASSAULT,137
61,5,MURDER & NON-NEGL. MANSLAUGHTER,27
