,SchoolDist,OfnsDesc,CrimeCount
122,3,CRIMINAL MISCHIEF & RELATED OFFENSES,221
123,3,DANGEROUS WEAPONS,219
124,3,OTHER STATE LAWS (NON PENAL LA,37
125,3,GAMBLING,62
126,3,OFFENSES AGAINST PUBLIC SAFETY,1
127,3,MOVING INFRACTIONS,13
128,3,KIDNAPPING & RELATED OFFENSES,3
129,3,FORCIBLE TOUCHING,18
130,3,JOSTLING,2
131,3,LOITERING FOR DRUG PURPOSES,3
132,3,RAPE,4
133,3,INTOXICATED & IMPAIRED DRIVING,106
134,3,FORGERY,93
135,3,OFFENSES AGAINST PUBLIC ADMINISTRATION,365
136,3,OTHER STATE LAWS (NON PENAL LAW),361
137,3,OTHER STATE LAWS,840
138,3,OTHER TRAFFIC INFRACTION,339
139,3,OTHER OFFENSES RELATED TO THEFT,914
140,3,FELONY ASSAULT,262
141,3,PROSTITUTION & RELATED OFFENSES,6
142,3,SEX CRIMES,24
143,3,LOITERING,4
144,3,PETIT LARCENY,312
145,3,OFFENSES RELATED TO CHILDREN,1
146,3,GRAND LARCENY OF MOTOR VEHICLE,6
147,3,F.C.A. P.I.N.O.S.,13
148,3,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,120
149,3,INTOXICATED/IMPAIRED DRIVING,6
150,3,VEHICLE AND TRAFFIC LAWS,127
151,3,FRAUDS,17
152,3,MURDER & NON-NEGL. MANSLAUGHTER,4
153,3,ASSAULT 3 & RELATED OFFENSES,737
154,3,OFFENSES INVOLVING FRAUD,49
155,3,GRAND LARCENY,282
156,3,POSSESSION OF STOLEN PROPERTY,33
157,3,DISORDERLY CONDUCT,106
158,4,HARRASSMENT 2,3
159,4,RAPE,97
160,4,OFFENSES INVOLVING FRAUD,13
161,4,INTOXICATED/IMPAIRED DRIVING,13
162,4,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,196
163,4,GRAND LARCENY,73
164,4,GAMBLING,27
165,4,THEFT-FRAUD,8
166,4,OFFENSES AGAINST THE PERSON,40
167,4,OTHER STATE LAWS (NON PENAL LA,45
168,4,BURGLAR'S TOOLS,4
169,4,GRAND LARCENY OF MOTOR VEHICLE,5
170,4,F.C.A. P.I.N.O.S.,5
171,4,FRAUDS,49
172,4,FELONY ASSAULT,312
173,4,PROSTITUTION & RELATED OFFENSES,6
174,4,LOITERING FOR DRUG PURPOSES,4
175,4,MISCELLANEOUS PENAL LAW,308
176,4,DANGEROUS WEAPONS,394
177,4,KIDNAPPING & RELATED OFFENSES,4
178,4,ESCAPE 3,1
179,4,POSSESSION OF STOLEN PROPERTY 5,244
180,4,DANGEROUS DRUGS,2536
181,4,FRAUDULENT ACCOSTING,1
182,4,ROBBERY,211
183,4,OTHER TRAFFIC INFRACTION,188
184,4,BURGLARY,70
185,4,CHILD ABANDONMENT/NON SUPPORT 1,2
186,4,ALCOHOLIC BEVERAGE CONTROL LAW,19
187,4,OTHER STATE LAWS,623
188,4,ASSAULT 3 & RELATED OFFENSES,781
189,4,FORCIBLE TOUCHING,29
190,4,INTOXICATED & IMPAIRED DRIVING,150
191,4,OFFENSES AGAINST PUBLIC SAFETY,2
192,4,POSSESSION OF STOLEN PROPERTY,22
193,4,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),21
194,4,CRIMINAL MISCHIEF & RELATED OF,2
195,4,OFFENSES AGAINST PUBLIC ADMINISTRATION,352
196,4,OFFENSES RELATED TO CHILDREN,1
197,4,"LOITERING/GAMBLING (CARDS, DICE, ETC)",2
198,4,LOITERING,2
199,4,SEX CRIMES,135
200,4,VEHICLE AND TRAFFIC LAWS,142
201,4,OTHER STATE LAWS (NON PENAL LAW),91
202,4,MURDER & NON-NEGL. MANSLAUGHTER,28
203,4,MOVING INFRACTIONS,19
204,4,DISORDERLY CONDUCT,112
205,4,FORGERY,97
206,4,CRIMINAL TRESPASS,837
207,4,HARASSMENT,33
208,4,OTHER OFFENSES RELATED TO THEFT,1084
209,4,PETIT LARCENY,170
210,4,CRIMINAL MISCHIEF & RELATED OFFENSES,171
211,5,FRAUDS,131
212,5,CRIMINAL TRESPASS,1089
213,5,VEHICLE AND TRAFFIC LAWS,405
214,5,PROSTITUTION & RELATED OFFENSES,21
215,5,DISORDERLY CONDUCT,322
216,5,BURGLARY,93
217,5,MURDER & NON-NEGL. MANSLAUGHTER,26
218,5,ARSON,2
219,5,FELONY ASSAULT,436
220,5,PETIT LARCENY,440
221,5,MOVING INFRACTIONS,27
222,5,ANTICIPATORY OFFENSES,2
223,5,OFFENSES AGAINST THE PERSON,87
224,5,BURGLAR'S TOOLS,1
225,5,DANGEROUS DRUGS,4582
226,5,OFFENSES INVOLVING FRAUD,49
227,5,THEFT-FRAUD,24
228,5,OTHER TRAFFIC INFRACTION,763
229,5,JOSTLING,1
230,5,ROBBERY,337
231,5,KIDNAPPING & RELATED OFFENSES,5
232,5,POSSESSION OF STOLEN PROPERTY,29
233,5,INTOXICATED & IMPAIRED DRIVING,117
234,5,OFFENSES AGAINST PUBLIC SAFETY,6
235,5,CRIMINAL MISCHIEF & RELATED OF,4
236,5,OFFENSES RELATED TO CHILDREN,6
237,5,FRAUDULENT ACCOSTING,1
238,5,ASSAULT 3 & RELATED OFFENSES,1195
239,5,GAMBLING,74
