,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,25-44,M,37130
1,1,65+,F,163
2,1,65+,M,890
3,1,<18,F,1259
4,1,<18,M,3613
5,1,18-24,F,4315
6,1,25-44,F,6876
7,1,45-64,F,2924
8,1,18-24,M,18569
9,1,45-64,M,18219
10,2,45-64,F,2153
11,2,18-24,F,3610
12,2,18-24,M,17526
13,2,<18,F,1259
14,2,<18,M,4945
15,2,25-44,M,28403
16,2,25-44,F,5911
17,2,65+,M,400
18,2,45-64,M,11190
19,2,65+,F,52
20,3,45-64,F,2904
21,3,25-44,M,36773
22,3,<18,F,1341
23,3,65+,F,120
24,3,65+,M,660
25,3,45-64,M,15229
26,3,18-24,M,19527
27,3,18-24,F,3826
28,3,<18,M,5596
29,3,25-44,F,7214
30,4,18-24,F,2827
31,4,45-64,F,2076
32,4,65+,F,95
33,4,25-44,M,26388
34,4,18-24,M,14911
35,4,45-64,M,9393
36,4,25-44,F,5242
37,4,<18,F,809
38,4,<18,M,3464
39,4,65+,M,521
40,5,65+,M,92
41,5,<18,F,177
42,5,<18,M,728
43,5,18-24,F,551
44,5,25-44,F,1162
45,5,25-44,M,4317
46,5,45-64,M,1523
47,5,18-24,M,2190
48,5,45-64,F,353
49,5,65+,F,25
