,Precinct,AgeGroup,PerpSex,CrimeCount
0,1,18-24,M,727
1,1,<18,F,80
2,1,45-64,F,174
3,1,65+,F,6
4,1,<18,M,159
5,1,65+,M,50
6,1,25-44,M,1925
7,1,45-64,M,1153
8,1,18-24,F,274
9,1,25-44,F,402
10,5,45-64,M,1177
11,5,25-44,F,547
12,5,18-24,F,254
13,5,45-64,F,272
14,5,65+,F,18
15,5,65+,M,66
16,5,25-44,M,2251
17,5,<18,M,384
18,5,<18,F,162
19,5,18-24,M,908
20,6,45-64,F,90
21,6,65+,M,29
22,6,25-44,M,1879
23,6,<18,F,80
24,6,18-24,M,1033
25,6,45-64,M,804
26,6,65+,F,2
27,6,18-24,F,269
28,6,25-44,F,255
29,6,<18,M,194
30,7,65+,M,19
31,7,25-44,M,1479
32,7,25-44,F,237
33,7,<18,M,230
34,7,<18,F,65
35,7,18-24,F,154
36,7,45-64,F,89
37,7,18-24,M,797
38,7,65+,F,4
39,7,45-64,M,546
40,9,25-44,M,1760
41,9,<18,M,190
42,9,45-64,M,785
43,9,45-64,F,83
44,9,65+,M,23
45,9,18-24,M,1055
46,9,<18,F,99
47,9,25-44,F,270
48,9,65+,F,2
49,9,18-24,F,275
50,10,65+,M,25
51,10,25-44,M,1472
52,10,25-44,F,182
53,10,45-64,F,54
54,10,18-24,F,130
55,10,45-64,M,571
56,10,<18,M,76
57,10,<18,F,30
58,10,18-24,M,593
59,10,65+,F,1
60,13,18-24,M,892
61,13,45-64,F,146
62,13,<18,M,176
63,13,45-64,M,1213
64,13,65+,M,67
65,13,18-24,F,202
66,13,25-44,M,1838
67,13,<18,F,96
68,13,25-44,F,302
69,13,65+,F,4
70,14,18-24,M,2999
71,14,<18,M,540
72,14,45-64,M,3060
73,14,45-64,F,540
74,14,18-24,F,1070
75,14,25-44,F,1179
76,14,65+,M,121
77,14,25-44,M,5411
78,14,65+,F,22
79,14,<18,F,417
80,17,<18,M,36
81,17,65+,F,3
82,17,25-44,F,129
83,17,25-44,M,853
84,17,45-64,M,393
85,17,18-24,F,96
86,17,18-24,M,328
87,17,65+,M,17
88,17,<18,F,5
89,17,45-64,F,39
90,18,18-24,M,1080
91,18,65+,M,40
92,18,45-64,M,1048
93,18,25-44,M,2065
94,18,18-24,F,345
95,18,65+,F,5
96,18,45-64,F,181
97,18,<18,M,193
98,18,<18,F,109
99,18,25-44,F,473
100,19,65+,F,13
101,19,25-44,F,365
102,19,45-64,M,511
103,19,45-64,F,128
104,19,18-24,F,214
105,19,18-24,M,473
106,19,65+,M,35
107,19,25-44,M,1154
108,19,<18,F,128
109,19,<18,M,161
110,20,25-44,M,799
111,20,<18,M,144
112,20,65+,M,25
113,20,25-44,F,157
114,20,45-64,F,60
115,20,45-64,M,481
116,20,<18,F,83
117,20,18-24,F,120
118,20,65+,F,11
119,20,18-24,M,394
120,22,<18,F,5
121,22,65+,M,9
122,22,<18,M,38
123,22,45-64,F,12
124,22,18-24,M,164
125,22,18-24,F,20
126,22,25-44,M,281
127,22,25-44,F,30
128,22,45-64,M,198
129,23,25-44,F,297
130,23,18-24,F,280
131,23,65+,F,2
132,23,<18,F,105
133,23,18-24,M,1420
134,23,65+,M,63
135,23,<18,M,534
136,23,45-64,M,1182
137,23,45-64,F,174
138,23,25-44,M,2101
139,24,45-64,F,106
140,24,<18,M,194
141,24,25-44,F,187
142,24,18-24,M,654
143,24,18-24,F,135
144,24,45-64,M,711
145,24,<18,F,52
146,24,25-44,M,1074
147,24,65+,M,28
148,24,65+,F,5
149,25,18-24,F,245
150,25,25-44,M,4020
151,25,65+,F,4
152,25,18-24,M,1794
153,25,65+,M,96
154,25,45-64,F,295
155,25,25-44,F,591
156,25,45-64,M,2314
157,25,<18,F,86
158,25,<18,M,454
159,26,45-64,F,121
160,26,65+,F,1
161,26,18-24,F,132
162,26,<18,M,285
163,26,<18,F,57
164,26,25-44,M,1143
165,26,18-24,M,806
166,26,25-44,F,178
167,26,65+,M,22
168,26,45-64,M,654
169,28,<18,F,167
170,28,45-64,M,1604
171,28,25-44,M,2041
172,28,<18,M,271
173,28,65+,M,71
174,28,18-24,F,311
175,28,65+,F,6
176,28,45-64,F,288
177,28,18-24,M,910
178,28,25-44,F,500
179,30,<18,F,55
180,30,25-44,M,1704
181,30,18-24,M,1198
182,30,65+,M,26
183,30,45-64,M,624
184,30,18-24,F,192
185,30,<18,M,314
186,30,45-64,F,117
187,30,25-44,F,266
188,30,65+,F,2
189,32,18-24,M,1549
190,32,<18,M,616
191,32,45-64,M,1270
192,32,25-44,M,2109
193,32,25-44,F,467
194,32,65+,M,90
195,32,<18,F,125
196,32,18-24,F,322
197,32,65+,F,8
198,32,45-64,F,245
199,33,18-24,F,223
200,33,18-24,M,1662
201,33,25-44,M,2378
202,33,65+,F,3
203,33,25-44,F,307
204,33,45-64,F,114
205,33,65+,M,33
206,33,<18,F,54
207,33,<18,M,415
208,33,45-64,M,786
209,34,25-44,F,237
210,34,18-24,F,177
211,34,65+,M,35
212,34,18-24,M,1839
213,34,65+,F,2
214,34,45-64,F,85
215,34,25-44,M,2465
216,34,<18,F,77
217,34,<18,M,468
218,34,45-64,M,640
219,40,18-24,F,483
220,40,<18,F,227
221,40,65+,F,5
222,40,<18,M,948
223,40,25-44,M,4243
224,40,45-64,M,1834
225,40,45-64,F,409
226,40,25-44,F,742
227,40,65+,M,63
228,40,18-24,M,2453
229,41,18-24,M,1687
230,41,45-64,F,239
231,41,25-44,M,2423
232,41,18-24,F,505
233,41,45-64,M,894
234,41,<18,F,171
235,41,65+,F,4
236,41,65+,M,44
237,41,<18,M,591
238,41,25-44,F,692
239,42,65+,M,37
240,42,45-64,M,1041
241,42,45-64,F,244
242,42,25-44,M,2350
243,42,<18,M,834
244,42,18-24,M,1605
245,42,65+,F,3
246,42,<18,F,330
247,42,18-24,F,366
248,42,25-44,F,630
249,43,45-64,F,305
250,43,25-44,M,3624
251,43,<18,F,360
252,43,18-24,M,2887
253,43,18-24,F,623
254,43,45-64,M,1335
255,43,65+,F,4
256,43,<18,M,1188
257,43,25-44,F,848
258,43,65+,M,55
259,44,25-44,F,976
260,44,25-44,M,5322
261,44,45-64,F,434
262,44,65+,M,99
263,44,18-24,F,575
264,44,<18,M,1845
265,44,18-24,M,3921
266,44,<18,F,327
267,44,45-64,M,2283
268,44,65+,F,9
269,45,25-44,F,317
270,45,45-64,M,392
271,45,<18,M,448
272,45,18-24,F,181
273,45,45-64,F,103
274,45,65+,M,23
275,45,<18,F,93
276,45,65+,F,10
277,45,25-44,M,1096
278,45,18-24,M,670
279,46,18-24,F,407
280,46,<18,M,886
281,46,25-44,F,628
282,46,45-64,M,1517
283,46,45-64,F,295
284,46,<18,F,157
285,46,65+,F,7
286,46,18-24,M,2820
287,46,65+,M,37
288,46,25-44,M,3778
289,47,18-24,M,2042
290,47,18-24,F,335
291,47,65+,M,29
292,47,65+,F,2
293,47,<18,F,180
294,47,25-44,F,441
295,47,<18,M,824
296,47,25-44,M,2665
297,47,45-64,M,787
298,47,45-64,F,131
299,48,65+,M,46
300,48,18-24,F,359
301,48,<18,F,210
302,48,65+,F,6
303,48,45-64,F,247
304,48,45-64,M,1192
305,48,25-44,M,2606
306,48,18-24,M,1664
307,48,<18,M,645
308,48,25-44,F,689
309,49,45-64,M,430
310,49,18-24,F,190
311,49,65+,M,14
312,49,25-44,F,282
313,49,<18,M,449
314,49,<18,F,113
315,49,45-64,F,110
316,49,25-44,M,1197
317,49,18-24,M,907
318,49,65+,F,4
319,50,18-24,M,503
320,50,65+,F,5
321,50,<18,M,291
322,50,18-24,F,90
323,50,<18,F,82
324,50,45-64,M,264
325,50,45-64,F,47
326,50,25-44,F,144
327,50,65+,M,19
328,50,25-44,M,817
329,52,<18,M,887
330,52,18-24,F,483
331,52,<18,F,225
332,52,45-64,M,1434
333,52,65+,M,47
334,52,65+,F,7
335,52,25-44,M,4083
336,52,25-44,F,783
337,52,45-64,F,330
338,52,18-24,M,2867
339,60,<18,M,541
340,60,18-24,M,1291
341,60,65+,M,31
342,60,25-44,M,1654
343,60,45-64,M,585
344,60,65+,F,4
345,60,25-44,F,273
346,60,<18,F,97
347,60,45-64,F,169
348,60,18-24,F,175
349,61,45-64,M,317
350,61,18-24,F,124
351,61,<18,M,343
352,61,<18,F,90
353,61,45-64,F,92
354,61,18-24,M,956
355,61,65+,M,17
356,61,25-44,F,182
357,61,65+,F,3
358,61,25-44,M,1016
359,62,45-64,F,60
360,62,<18,F,65
361,62,<18,M,333
362,62,45-64,M,220
363,62,25-44,M,878
364,62,65+,M,8
365,62,65+,F,4
366,62,25-44,F,163
367,62,18-24,M,691
368,62,18-24,F,93
