,Precinct,OfnsDesc,CrimeCount
0,1,CRIMINAL MISCHIEF & RELATED OF,354
1,1,UNAUTHORIZED USE OF A VEHICLE,1
2,1,NYS LAWS-UNCLASSIFIED FELONY,7
3,1,OTHER STATE LAWS,44
4,1,FELONY ASSAULT,67
5,1,OFFENSES AGAINST PUBLIC ADMINI,94
6,1,DISORDERLY CONDUCT,67
7,1,ESCAPE 3,1
8,1,THEFT OF SERVICES,130
9,1,ROBBERY,39
10,1,INTOXICATED/IMPAIRED DRIVING,1
11,1,OFF. AGNST PUB ORD SENSBLTY &,36
12,1,MURDER & NON-NEGL. MANSLAUGHTE,5
13,1,FRAUDS,9
14,1,SEX CRIMES,35
15,1,FOR OTHER AUTHORITIES,10
16,1,OFFENSES INVOLVING FRAUD,34
17,1,FORGERY,116
18,1,DANGEROUS WEAPONS,29
19,1,MISCELLANEOUS PENAL LAW,26
20,1,VEHICLE AND TRAFFIC LAWS,85
21,1,BURGLAR'S TOOLS,26
22,1,FRAUDULENT ACCOSTING,14
23,1,POSSESSION OF STOLEN PROPERTY,14
24,1,OFFENSES AGAINST THE PERSON,16
25,1,INTOXICATED & IMPAIRED DRIVING,35
26,1,CRIMINAL TRESPASS,47
27,1,GRAND LARCENY OF MOTOR VEHICLE,1
28,1,RAPE,2
29,1,GRAND LARCENY,214
30,1,MOVING INFRACTIONS,3
31,1,JOSTLING,1
32,1,BURGLARY,63
33,1,THEFT-FRAUD,2
34,1,PROSTITUTION & RELATED OFFENSES,3
35,1,DANGEROUS DRUGS,49
36,1,ASSAULT 3 & RELATED OFFENSES,212
37,1,OTHER STATE LAWS (NON PENAL LA,2
38,1,OTHER OFFENSES RELATED TO THEF,58
39,1,OTHER TRAFFIC INFRACTION,48
40,1,PETIT LARCENY,681
41,5,FRAUDS,17
42,5,CRIMINAL MISCHIEF & RELATED OF,242
43,5,OFFENSES INVOLVING FRAUD,116
44,5,DANGEROUS DRUGS,216
45,5,OTHER STATE LAWS,10
46,5,GRAND LARCENY OF MOTOR VEHICLE,12
47,5,GAMBLING,12
48,5,OTHER STATE LAWS (NON PENAL LA,14
49,5,NYS LAWS-UNCLASSIFIED FELONY,118
50,5,MISCELLANEOUS PENAL LAW,227
51,5,FOR OTHER AUTHORITIES,372
52,5,MOVING INFRACTIONS,2
53,5,OFFENSES AGAINST PUBLIC ADMINI,163
54,5,BURGLAR'S TOOLS,3
55,5,PETIT LARCENY,266
56,5,VEHICLE AND TRAFFIC LAWS,145
57,5,HARRASSMENT 2,7
58,5,KIDNAPPING & RELATED OFFENSES,5
59,5,ADMINISTRATIVE CODE,4
60,5,ARSON,2
61,5,ASSAULT 3 & RELATED OFFENSES,322
62,5,ANTICIPATORY OFFENSES,10
63,5,FELONY ASSAULT,192
64,5,BURGLARY,128
65,5,ROBBERY,122
66,5,OFFENSES AGAINST THE PERSON,9
67,5,UNAUTHORIZED USE OF A VEHICLE,3
68,5,SEX CRIMES,120
69,5,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,2
70,5,JOSTLING,8
71,5,INTOXICATED & IMPAIRED DRIVING,22
72,5,DISORDERLY CONDUCT,59
73,5,PROSTITUTION & RELATED OFFENSES,38
74,5,GRAND LARCENY,610
75,5,CRIMINAL TRESPASS,51
76,5,DANGEROUS WEAPONS,52
77,5,THEFT OF SERVICES,23
78,5,THEFT-FRAUD,55
79,5,FORGERY,55
80,5,OFF. AGNST PUB ORD SENSBLTY &,50
81,5,OTHER TRAFFIC INFRACTION,25
82,5,POSSESSION OF STOLEN PROPERTY,28
83,5,MURDER & NON-NEGL. MANSLAUGHTE,52
84,5,OTHER OFFENSES RELATED TO THEF,38
85,5,RAPE,24
86,6,DANGEROUS WEAPONS,41
87,6,OTHER STATE LAWS (NON PENAL LA,6
88,6,PETIT LARCENY,327
89,6,MISCELLANEOUS PENAL LAW,71
90,6,THEFT OF SERVICES,1
91,6,DANGEROUS DRUGS,335
92,6,NYS LAWS-UNCLASSIFIED FELONY,1
93,6,OFF. AGNST PUB ORD SENSBLTY &,38
94,6,VEHICLE AND TRAFFIC LAWS,49
95,6,MURDER & NON-NEGL. MANSLAUGHTE,1
