,Precinct,OfnsDesc,CrimeCount
0,1,FRAUDS,2
1,1,INTOXICATED & IMPAIRED DRIVING,40
2,1,GAMBLING,28
3,1,MISCELLANEOUS PENAL LAW,69
4,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),2
5,1,VEHICLE AND TRAFFIC LAWS,31
6,1,DANGEROUS WEAPONS,30
7,1,PROSTITUTION & RELATED OFFENSES,9
8,1,ROBBERY,56
9,1,ASSAULT 3 & RELATED OFFENSES,141
10,1,THEFT-FRAUD,24
11,1,OTHER STATE LAWS (NON PENAL LAW),949
12,1,FORCIBLE TOUCHING,5
13,1,ESCAPE 3,1
14,1,OTHER TRAFFIC INFRACTION,104
15,1,POSSESSION OF STOLEN PROPERTY,9
16,1,ARSON,3
17,1,BURGLAR'S TOOLS,3
18,1,GRAND LARCENY OF MOTOR VEHICLE,3
19,1,MURDER & NON-NEGL. MANSLAUGHTER,3
20,1,F.C.A. P.I.N.O.S.,4
21,1,OTHER STATE LAWS,521
22,1,OTHER OFFENSES RELATED TO THEFT,95
23,1,PETIT LARCENY,98
24,1,GRAND LARCENY,157
25,1,POSSESSION OF STOLEN PROPERTY 5,703
26,1,RAPE,1
27,1,SEX CRIMES,16
28,1,OFFENSES AGAINST PUBLIC SAFETY,11
29,1,OFFENSES AGAINST THE PERSON,7
30,1,INTOXICATED/IMPAIRED DRIVING,1
31,1,KIDNAPPING & RELATED OFFENSES,1
32,1,FELONY ASSAULT,54
33,1,OFFENSES INVOLVING FRAUD,290
34,1,DISORDERLY CONDUCT,21
35,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,55
36,1,DANGEROUS DRUGS,82
37,1,BURGLARY,59
38,1,MOVING INFRACTIONS,7
39,1,CRIMINAL MISCHIEF & RELATED OFFENSES,82
40,1,CRIMINAL TRESPASS,23
41,1,FORGERY,152
42,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,71
43,5,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,56
44,5,OFFENSES AGAINST THE PERSON,13
45,5,BURGLARY,54
46,5,BURGLAR'S TOOLS,3
47,5,GRAND LARCENY OF MOTOR VEHICLE,3
48,5,GRAND LARCENY,286
49,5,MURDER & NON-NEGL. MANSLAUGHTER,18
50,5,JOSTLING,2
51,5,ADMINISTRATIVE CODE,1
52,5,OTHER STATE LAWS,562
53,5,OTHER OFFENSES RELATED TO THEFT,97
54,5,DANGEROUS DRUGS,371
55,5,FRAUDS,16
56,5,SEX CRIMES,23
57,5,OTHER STATE LAWS (NON PENAL LAW),716
58,5,PETIT LARCENY,81
59,5,OTHER TRAFFIC INFRACTION,56
60,5,POSSESSION OF STOLEN PROPERTY 5,175
61,5,THEFT-FRAUD,81
62,5,VEHICLE AND TRAFFIC LAWS,38
63,5,CRIMINAL TRESPASS,203
64,5,INTOXICATED & IMPAIRED DRIVING,30
65,5,RAPE,15
66,5,F.C.A. P.I.N.O.S.,82
67,5,ASSAULT 3 & RELATED OFFENSES,250
68,5,ALCOHOLIC BEVERAGE CONTROL LAW,12
69,5,POSSESSION OF STOLEN PROPERTY,18
70,5,OFFENSES INVOLVING FRAUD,463
71,5,FORGERY,358
72,5,FRAUDULENT ACCOSTING,1
73,5,DISORDERLY CONDUCT,10
74,5,CHILD ABANDONMENT/NON SUPPORT 1,1
75,5,DANGEROUS WEAPONS,82
76,5,PROSTITUTION & RELATED OFFENSES,43
77,5,LOITERING FOR DRUG PURPOSES,1
78,5,MISCELLANEOUS PENAL LAW,238
79,5,ROBBERY,190
80,5,GAMBLING,60
81,5,HARRASSMENT 2,4
82,5,OFFENSES AGAINST PUBLIC SAFETY,4
83,5,MOVING INFRACTIONS,5
84,5,INTOXICATED/IMPAIRED DRIVING,4
85,5,OFFENSES AGAINST PUBLIC ADMINISTRATION,151
86,5,CRIMINAL MISCHIEF & RELATED OFFENSES,106
87,5,FORCIBLE TOUCHING,5
88,5,HARASSMENT,5
89,5,ANTICIPATORY OFFENSES,9
90,5,FELONY ASSAULT,100
91,5,ARSON,7
92,6,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,70
93,6,GRAND LARCENY,110
94,6,OFFENSES RELATED TO CHILDREN,1
95,6,PARKING OFFENSES,1
96,6,DANGEROUS DRUGS,1269
97,6,GRAND LARCENY OF MOTOR VEHICLE,4
98,6,DANGEROUS WEAPONS,47
99,6,BURGLARY,52
100,6,GAMBLING,2
101,6,FRAUDULENT ACCOSTING,2
102,6,F.C.A. P.I.N.O.S.,2
103,6,OFFENSES INVOLVING FRAUD,5
