,BoroCode,OfnsDesc,CrimeCount
0,1.0,SEX CRIMES,385
1,1.0,CHILD ABANDONMENT/NON SUPPORT 1,7
2,1.0,GRAND LARCENY,3198
3,1.0,MISCELLANEOUS PENAL LAW,3171
4,1.0,ARSON,35
5,1.0,PROSTITUTION & RELATED OFFENSES,685
6,1.0,PETIT LARCENY,2844
7,1.0,ESCAPE 3,9
8,1.0,HARRASSMENT 2,75
9,1.0,LOITERING,72
10,1.0,FELONY ASSAULT,2527
11,1.0,INTOXICATED/IMPAIRED DRIVING,168
12,1.0,LOITERING FOR DRUG PURPOSES,14
13,1.0,ANTICIPATORY OFFENSES,17
14,1.0,ROBBERY,2348
15,1.0,HOMICIDE-NEGLIGENT-VEHICLE,6
16,1.0,CRIMINAL MISCHIEF & RELATED OFFENSES,2343
17,1.0,KIDNAPPING & RELATED OFFENSES,50
18,1.0,JOSTLING,18
19,1.0,THEFT-FRAUD,388
20,1.0,INTOXICATED & IMPAIRED DRIVING,1855
21,1.0,VEHICLE AND TRAFFIC LAWS,1801
22,1.0,ALCOHOLIC BEVERAGE CONTROL LAW,44
23,1.0,"LOITERING/GAMBLING (CARDS, DICE, ETC)",24
24,1.0,DISORDERLY CONDUCT,1707
25,1.0,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1486
26,1.0,OFFENSES RELATED TO CHILDREN,26
27,1.0,OFFENSES AGAINST PUBLIC SAFETY,40
28,1.0,BURGLARY,1251
29,1.0,ADMINISTRATIVE CODE,37
30,1.0,OFFENSES INVOLVING FRAUD,1374
31,1.0,FORGERY,2277
32,1.0,DANGEROUS WEAPONS,3480
33,1.0,FORCIBLE TOUCHING,370
34,1.0,BURGLAR'S TOOLS,89
35,1.0,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),143
36,1.0,DANGEROUS DRUGS,23286
37,1.0,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",1
38,1.0,RAPE,138
39,1.0,OTHER STATE LAWS,9466
40,1.0,POSSESSION OF STOLEN PROPERTY 5,9427
41,1.0,MURDER & NON-NEGL. MANSLAUGHTER,131
42,1.0,OTHER OFFENSES RELATED TO THEFT,7674
43,1.0,OFFENSES AGAINST THE PERSON,415
44,1.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,3538
45,1.0,OTHER TRAFFIC INFRACTION,6375
46,1.0,POSSESSION OF STOLEN PROPERTY,457
47,1.0,CRIMINAL TRESPASS,5947
48,1.0,F.C.A. P.I.N.O.S.,470
49,1.0,ASSAULT 3 & RELATED OFFENSES,6464
50,1.0,HARASSMENT,338
51,1.0,GAMBLING,314
52,1.0,MOVING INFRACTIONS,186
53,1.0,FRAUDULENT ACCOSTING,191
54,1.0,GRAND LARCENY OF MOTOR VEHICLE,95
55,1.0,OTHER STATE LAWS (NON PENAL LAW),4570
56,1.0,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,3
57,1.0,FRAUDS,545
58,2.0,OFFENSES RELATED TO CHILDREN,94
59,2.0,MOVING INFRACTIONS,134
60,2.0,VEHICLE AND TRAFFIC LAWS,1223
61,2.0,INTOXICATED & IMPAIRED DRIVING,1156
62,2.0,ARSON,41
63,2.0,OFFENSES AGAINST THE PERSON,541
64,2.0,HARASSMENT,354
65,2.0,GRAND LARCENY,973
66,2.0,DISORDERLY CONDUCT,164
