,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,45-64,F,3573
1,1,25-44,M,40091
2,1,<18,M,5643
3,1,18-24,M,23176
4,1,18-24,F,5663
5,1,45-64,M,21438
6,1,65+,F,162
7,1,25-44,F,7907
8,1,<18,F,2118
9,1,65+,M,1011
10,2,45-64,F,2982
11,2,<18,F,2359
12,2,25-44,F,6844
13,2,18-24,F,4643
14,2,45-64,M,13319
15,2,65+,M,519
16,2,18-24,M,23014
17,2,65+,F,73
18,2,25-44,M,33135
19,2,<18,M,9042
20,3,45-64,F,3507
21,3,<18,F,2208
22,3,65+,F,100
23,3,65+,M,707
24,3,25-44,M,42070
25,3,18-24,M,27725
26,3,18-24,F,5314
27,3,25-44,F,7979
28,3,45-64,M,18160
29,3,<18,M,9713
30,4,25-44,F,4661
31,4,65+,F,91
32,4,25-44,M,26660
33,4,18-24,M,18777
34,4,65+,M,367
35,4,45-64,M,8965
36,4,45-64,F,1838
37,4,<18,M,6208
38,4,18-24,F,3378
39,4,<18,F,1281
40,5,25-44,F,1131
41,5,65+,M,64
42,5,18-24,F,806
43,5,<18,M,1331
44,5,45-64,M,1493
45,5,45-64,F,405
46,5,<18,F,396
47,5,25-44,M,4971
48,5,18-24,M,3409
49,5,65+,F,19
