,SchoolDist,AgeGroup,PerpSex,CrimeCount
232,24,25-44,M,3655
233,24,18-24,F,427
234,24,18-24,M,2147
235,24,45-64,M,1016
236,24,45-64,F,246
237,24,<18,M,501
238,24,<18,F,223
239,24,25-44,F,687
240,25,45-64,F,320
241,25,65+,M,74
242,25,25-44,M,2212
243,25,18-24,F,280
244,25,65+,F,27
245,25,<18,F,106
246,25,25-44,F,708
247,25,45-64,M,814
248,25,18-24,M,1221
249,25,<18,M,276
250,26,<18,F,28
251,26,18-24,M,462
252,26,25-44,M,712
253,26,65+,F,6
254,26,65+,M,24
255,26,45-64,M,281
256,26,18-24,F,115
257,26,25-44,F,230
258,26,<18,M,137
259,26,45-64,F,98
260,27,18-24,M,2841
261,27,65+,M,97
262,27,25-44,F,1008
263,27,18-24,F,532
264,27,45-64,F,337
265,27,<18,M,684
266,27,<18,F,150
267,27,45-64,M,1808
268,27,65+,F,14
269,27,25-44,M,4841
270,28,45-64,M,1984
271,28,<18,M,541
272,28,18-24,F,512
273,28,25-44,M,4693
274,28,65+,M,124
275,28,25-44,F,904
276,28,<18,F,114
277,28,45-64,F,343
278,28,65+,F,19
279,28,18-24,M,2551
280,29,18-24,F,413
281,29,18-24,M,1745
282,29,25-44,F,662
283,29,45-64,F,263
284,29,<18,M,307
285,29,65+,M,78
286,29,65+,F,12
287,29,45-64,M,1118
288,29,25-44,M,3209
289,29,<18,F,93
290,30,25-44,F,817
291,30,25-44,M,4875
292,30,65+,F,16
293,30,45-64,M,1532
294,30,18-24,F,459
295,30,65+,M,83
296,30,18-24,M,2728
297,30,<18,F,69
298,30,45-64,F,269
299,30,<18,M,446
300,31,25-44,F,1275
301,31,45-64,M,1718
302,31,18-24,M,2459
303,31,45-64,F,403
304,31,65+,M,105
305,31,65+,F,22
306,31,25-44,M,4844
307,31,<18,F,205
308,31,<18,M,708
309,31,18-24,F,605
310,32,<18,F,37
311,32,18-24,M,787
312,32,65+,M,24
313,32,<18,M,157
314,32,25-44,F,293
315,32,45-64,M,710
316,32,25-44,M,1659
317,32,18-24,F,160
318,32,65+,F,5
319,32,45-64,F,100
