,SchoolDist,OfnsDesc,CrimeCount
0,1,POSSESSION OF STOLEN PROPERTY 5,262
1,1,OTHER STATE LAWS,468
2,1,OFFENSES AGAINST THE PERSON,29
3,1,OTHER OFFENSES RELATED TO THEFT,354
4,1,OTHER STATE LAWS (NON PENAL LAW),341
5,1,BURGLAR'S TOOLS,6
6,1,CHILD ABANDONMENT/NON SUPPORT 1,1
7,1,PROSTITUTION & RELATED OFFENSES,5
8,1,ALCOHOLIC BEVERAGE CONTROL LAW,13
9,1,GAMBLING,1
10,1,LOITERING FOR DRUG PURPOSES,1
11,1,OTHER TRAFFIC INFRACTION,337
12,1,PETIT LARCENY,83
13,1,FORCIBLE TOUCHING,9
14,1,MISCELLANEOUS PENAL LAW,171
15,1,FRAUDULENT ACCOSTING,1
16,1,MOVING INFRACTIONS,14
17,1,CRIMINAL TRESPASS,457
18,1,POSSESSION OF STOLEN PROPERTY,24
19,1,ANTICIPATORY OFFENSES,3
20,1,FRAUDS,17
21,1,KIDNAPPING & RELATED OFFENSES,3
22,1,F.C.A. P.I.N.O.S.,3
23,1,ROBBERY,138
24,1,SEX CRIMES,16
25,1,ARSON,3
26,1,OTHER STATE LAWS (NON PENAL LA,20
27,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,205
28,1,OFFENSES INVOLVING FRAUD,16
29,1,FORGERY,66
30,1,HARRASSMENT 2,5
31,1,FELONY ASSAULT,188
32,1,VEHICLE AND TRAFFIC LAWS,67
33,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),12
34,1,DANGEROUS DRUGS,1902
35,1,DISORDERLY CONDUCT,32
36,1,GRAND LARCENY OF MOTOR VEHICLE,17
37,1,DANGEROUS WEAPONS,270
38,1,INTOXICATED/IMPAIRED DRIVING,13
39,1,RAPE,6
40,1,HARASSMENT,42
41,1,BURGLARY,98
42,1,MURDER & NON-NEGL. MANSLAUGHTER,13
43,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,92
44,1,INTOXICATED & IMPAIRED DRIVING,200
45,1,ASSAULT 3 & RELATED OFFENSES,605
46,1,CRIMINAL MISCHIEF & RELATED OFFENSES,275
47,1,GRAND LARCENY,132
48,1,THEFT-FRAUD,9
49,2,THEFT-FRAUD,406
50,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,1066
51,2,DISORDERLY CONDUCT,642
52,2,MOVING INFRACTIONS,65
53,2,OFFENSES AGAINST PUBLIC SAFETY,17
54,2,ALCOHOLIC BEVERAGE CONTROL LAW,41
55,2,CRIMINAL MISCHIEF & RELATED OFFENSES,1052
56,2,CRIMINAL TRESPASS,1046
57,2,MISCELLANEOUS PENAL LAW,1015
58,2,ESCAPE 3,2
59,2,POSSESSION OF STOLEN PROPERTY 5,7559
60,2,CHILD ABANDONMENT/NON SUPPORT 1,3
61,2,HARASSMENT,117
62,2,BURGLAR'S TOOLS,74
63,2,LOITERING,51
64,2,ARSON,12
65,2,INTOXICATED & IMPAIRED DRIVING,881
66,2,SEX CRIMES,152
67,2,OTHER OFFENSES RELATED TO THEFT,4757
68,2,OFFENSES AGAINST THE PERSON,136
69,2,BURGLARY,626
70,2,DANGEROUS WEAPONS,863
71,2,KIDNAPPING & RELATED OFFENSES,19
72,2,ROBBERY,844
73,2,DANGEROUS DRUGS,5140
74,2,FELONY ASSAULT,831
75,2,GRAND LARCENY OF MOTOR VEHICLE,16
76,2,OTHER STATE LAWS,5598
77,2,JOSTLING,16
78,2,GRAND LARCENY,2052
79,2,OTHER STATE LAWS (NON PENAL LA,59
80,2,F.C.A. P.I.N.O.S.,372
81,2,OFFENSES INVOLVING FRAUD,1394
82,2,FORGERY,1397
83,2,HOMICIDE-NEGLIGENT-VEHICLE,1
84,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,600
85,2,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",1
86,2,MURDER & NON-NEGL. MANSLAUGHTER,38
87,2,OFFENSES RELATED TO CHILDREN,9
88,2,OTHER TRAFFIC INFRACTION,2245
89,2,PROSTITUTION & RELATED OFFENSES,483
90,2,FORTUNE TELLING,1
91,2,PETIT LARCENY,1574
92,2,LOITERING FOR DRUG PURPOSES,6
93,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),31
94,2,ANTICIPATORY OFFENSES,10
95,2,ASSAULT 3 & RELATED OFFENSES,2189
96,2,DISRUPTION OF A RELIGIOUS SERVICE,2
97,2,ADMINISTRATIVE CODE,17
98,2,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
99,2,RAPE,30
100,2,OTHER STATE LAWS (NON PENAL LAW),3218
101,2,FORCIBLE TOUCHING,262
102,2,INTOXICATED/IMPAIRED DRIVING,53
103,2,FRAUDS,166
104,2,HARRASSMENT 2,29
105,2,POSSESSION OF STOLEN PROPERTY,259
106,2,FRAUDULENT ACCOSTING,164
107,2,VEHICLE AND TRAFFIC LAWS,689
108,2,GAMBLING,77
109,3,MURDER & NON-NEGL. MANSLAUGHTER,5
110,3,OTHER OFFENSES RELATED TO THEFT,693
111,3,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,128
112,3,ASSAULT 3 & RELATED OFFENSES,724
113,3,POSSESSION OF STOLEN PROPERTY 5,648
114,3,OTHER STATE LAWS (NON PENAL LAW),492
115,3,ROBBERY,254
116,3,PROSTITUTION & RELATED OFFENSES,8
117,3,INTOXICATED & IMPAIRED DRIVING,126
118,3,CRIMINAL TRESPASS,592
119,3,KIDNAPPING & RELATED OFFENSES,6
120,3,THEFT-FRAUD,15
121,3,FORCIBLE TOUCHING,14
122,3,OTHER TRAFFIC INFRACTION,554
123,3,INTOXICATED/IMPAIRED DRIVING,11
124,3,OFFENSES AGAINST THE PERSON,57
125,3,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),10
126,3,LOITERING,1
127,3,OFFENSES INVOLVING FRAUD,33
128,3,GRAND LARCENY,318
129,3,GAMBLING,55
130,3,OFFENSES AGAINST PUBLIC ADMINISTRATION,308
131,3,POSSESSION OF STOLEN PROPERTY,38
132,3,DANGEROUS DRUGS,2563
133,3,ALCOHOLIC BEVERAGE CONTROL LAW,9
