,Precinct,OfnsDesc,CrimeCount
0,1,ALCOHOLIC BEVERAGE CONTROL LAW,1
1,1,OTHER STATE LAWS,684
2,1,BURGLARY,51
3,1,MURDER & NON-NEGL. MANSLAUGHTER,1
4,1,PETIT LARCENY,211
5,1,ROBBERY,50
6,1,GRAND LARCENY OF MOTOR VEHICLE,8
7,1,ESCAPE 3,2
8,1,OTHER OFFENSES RELATED TO THEFT,569
9,1,FELONY ASSAULT,68
10,1,MOVING INFRACTIONS,8
11,1,OFFENSES RELATED TO CHILDREN,2
12,1,INTOXICATED/IMPAIRED DRIVING,2
13,1,CRIMINAL TRESPASS,113
14,1,GRAND LARCENY,149
15,1,INTOXICATED & IMPAIRED DRIVING,144
16,1,CRIMINAL MISCHIEF & RELATED OFFENSES,114
17,1,OTHER STATE LAWS (NON PENAL LA,7
18,1,BURGLAR'S TOOLS,7
19,1,GAMBLING,7
20,1,ASSAULT 3 & RELATED OFFENSES,136
21,1,FORGERY,117
22,1,VEHICLE AND TRAFFIC LAWS,126
23,1,MISCELLANEOUS PENAL LAW,107
24,1,CRIMINAL MISCHIEF & RELATED OF,1
25,1,HARRASSMENT 2,3
26,1,HARASSMENT,10
27,1,THEFT-FRAUD,13
28,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,356
29,1,DANGEROUS WEAPONS,61
30,1,SEX CRIMES,15
31,1,POSSESSION OF STOLEN PROPERTY,15
32,1,LOITERING,5
33,1,OFFENSES INVOLVING FRAUD,302
34,1,OTHER TRAFFIC INFRACTION,262
35,1,FRAUDULENT ACCOSTING,5
36,1,PROSTITUTION & RELATED OFFENSES,12
37,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,69
38,1,OFFENSES AGAINST THE PERSON,20
39,1,FORCIBLE TOUCHING,16
40,1,CHILD ABANDONMENT/NON SUPPORT 1,1
41,1,RAPE,1
42,1,POSSESSION OF STOLEN PROPERTY 5,830
43,1,OTHER STATE LAWS (NON PENAL LAW),515
44,1,F.C.A. P.I.N.O.S.,11
45,1,DISORDERLY CONDUCT,234
46,1,FRAUDS,19
47,1,DANGEROUS DRUGS,122
48,5,CRIMINAL TRESPASS,105
49,5,KIDNAPPING & RELATED OFFENSES,3
50,5,OTHER STATE LAWS,682
51,5,BURGLARY,82
52,5,GRAND LARCENY,369
53,5,ESCAPE 3,3
54,5,OTHER TRAFFIC INFRACTION,76
55,5,OFFENSES AGAINST PUBLIC ADMINISTRATION,169
56,5,THEFT-FRAUD,135
57,5,OFFENSES INVOLVING FRAUD,354
58,5,MISCELLANEOUS PENAL LAW,326
59,5,ASSAULT 3 & RELATED OFFENSES,257
60,5,OTHER OFFENSES RELATED TO THEFT,239
61,5,OFFENSES AGAINST PUBLIC SAFETY,1
62,5,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),1
63,5,ARSON,1
64,5,JOSTLING,1
65,5,CRIMINAL MISCHIEF & RELATED OF,1
66,5,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
67,5,INTOXICATED/IMPAIRED DRIVING,1
68,5,HARRASSMENT 2,1
69,5,CRIMINAL MISCHIEF & RELATED OFFENSES,197
70,5,ROBBERY,196
71,5,OTHER STATE LAWS (NON PENAL LAW),570
72,5,POSSESSION OF STOLEN PROPERTY 5,573
73,5,PETIT LARCENY,163
74,5,FORGERY,158
75,5,F.C.A. P.I.N.O.S.,138
76,5,FELONY ASSAULT,120
77,5,BURGLAR'S TOOLS,5
78,5,DANGEROUS DRUGS,398
79,5,MOVING INFRACTIONS,9
80,5,OTHER STATE LAWS (NON PENAL LA,15
81,5,FORCIBLE TOUCHING,11
82,5,DANGEROUS WEAPONS,63
83,5,GAMBLING,47
84,5,MURDER & NON-NEGL. MANSLAUGHTER,15
85,5,ANTICIPATORY OFFENSES,6
86,5,PROSTITUTION & RELATED OFFENSES,29
87,5,DISORDERLY CONDUCT,49
88,5,POSSESSION OF STOLEN PROPERTY,16
89,5,GRAND LARCENY OF MOTOR VEHICLE,8
90,5,INTOXICATED & IMPAIRED DRIVING,25
91,5,RAPE,8
92,5,HARASSMENT,15
93,5,SEX CRIMES,23
94,5,FRAUDS,14
95,5,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,21
96,5,VEHICLE AND TRAFFIC LAWS,58
97,5,OFFENSES AGAINST THE PERSON,18
98,5,FRAUDULENT ACCOSTING,5
99,6,VEHICLE AND TRAFFIC LAWS,34
100,6,GRAND LARCENY,137
101,6,ARSON,1
102,6,FRAUDS,30
103,6,FORCIBLE TOUCHING,7
104,6,SEX CRIMES,7
105,6,INTOXICATED & IMPAIRED DRIVING,150
106,6,DANGEROUS DRUGS,1398
107,6,POSSESSION OF STOLEN PROPERTY,21
108,6,ROBBERY,189
109,6,ASSAULT 3 & RELATED OFFENSES,186
110,6,OTHER STATE LAWS (NON PENAL LA,2
111,6,OFFENSES AGAINST THE PERSON,11
112,6,DISORDERLY CONDUCT,125
113,6,ADMINISTRATIVE CODE,1
114,6,RAPE,2
115,6,OTHER STATE LAWS (NON PENAL LAW),156
116,6,THEFT-FRAUD,17
117,6,F.C.A. P.I.N.O.S.,3
118,6,PROSTITUTION & RELATED OFFENSES,121
119,6,FRAUDULENT ACCOSTING,5
120,6,BURGLARY,58
121,6,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,69
122,6,PETIT LARCENY,74
123,6,MISCELLANEOUS PENAL LAW,75
124,6,OTHER TRAFFIC INFRACTION,78
125,6,OTHER STATE LAWS,460
126,6,HARRASSMENT 2,4
127,6,OTHER OFFENSES RELATED TO THEFT,326
128,6,INTOXICATED/IMPAIRED DRIVING,3
129,6,GRAND LARCENY OF MOTOR VEHICLE,3
130,6,MURDER & NON-NEGL. MANSLAUGHTER,1
131,6,POSSESSION OF STOLEN PROPERTY 5,314
132,6,CRIMINAL TRESPASS,99
133,6,FORGERY,54
134,6,FELONY ASSAULT,103
135,6,HARASSMENT,6
136,6,JOSTLING,3
137,6,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),6
138,6,OFFENSES AGAINST PUBLIC ADMINISTRATION,110
139,6,BURGLAR'S TOOLS,6
140,6,CRIMINAL MISCHIEF & RELATED OFFENSES,99
141,6,DANGEROUS WEAPONS,44
142,6,MOVING INFRACTIONS,3
143,6,OFFENSES INVOLVING FRAUD,42
144,7,OTHER TRAFFIC INFRACTION,251
145,7,OFFENSES RELATED TO CHILDREN,1
146,7,OFFENSES AGAINST THE PERSON,20
147,7,GAMBLING,10
148,7,MOVING INFRACTIONS,13
149,7,OFFENSES INVOLVING FRAUD,18
150,7,CRIMINAL TRESPASS,276
151,7,FRAUDS,15
152,7,HARASSMENT,17
153,7,ASSAULT 3 & RELATED OFFENSES,279
154,7,OTHER STATE LAWS (NON PENAL LA,16
155,7,OTHER OFFENSES RELATED TO THEFT,262
156,7,INTOXICATED/IMPAIRED DRIVING,5
157,7,OTHER STATE LAWS,223
158,7,GRAND LARCENY,78
159,7,MISCELLANEOUS PENAL LAW,78
160,7,ALCOHOLIC BEVERAGE CONTROL LAW,5
161,7,RAPE,3
162,7,GRAND LARCENY OF MOTOR VEHICLE,5
163,7,POSSESSION OF STOLEN PROPERTY,5
164,7,POSSESSION OF STOLEN PROPERTY 5,105
165,7,OTHER STATE LAWS (NON PENAL LAW),109
166,7,FELONY ASSAULT,112
167,7,OFFENSES AGAINST PUBLIC ADMINISTRATION,116
168,7,BURGLARY,38
169,7,THEFT-FRAUD,2
170,7,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,38
171,7,ROBBERY,37
172,7,MURDER & NON-NEGL. MANSLAUGHTER,7
173,7,VEHICLE AND TRAFFIC LAWS,137
174,7,FORGERY,28
175,7,CRIMINAL MISCHIEF & RELATED OFFENSES,166
176,7,HARRASSMENT 2,2
177,7,DISORDERLY CONDUCT,27
178,7,FORCIBLE TOUCHING,8
179,7,INTOXICATED & IMPAIRED DRIVING,180
180,7,PROSTITUTION & RELATED OFFENSES,8
181,7,SEX CRIMES,9
182,7,BURGLAR'S TOOLS,9
183,7,F.C.A. P.I.N.O.S.,9
184,7,DANGEROUS WEAPONS,157
185,7,PETIT LARCENY,82
186,7,DANGEROUS DRUGS,930
187,9,THEFT-FRAUD,13
188,9,F.C.A. P.I.N.O.S.,4
189,9,CRIMINAL MISCHIEF & RELATED OFFENSES,193
190,9,VEHICLE AND TRAFFIC LAWS,44
191,9,ALCOHOLIC BEVERAGE CONTROL LAW,4
192,9,PROSTITUTION & RELATED OFFENSES,2
193,9,SEX CRIMES,15
194,9,BURGLARY,45
195,9,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
196,9,INTOXICATED/IMPAIRED DRIVING,7
197,9,OTHER STATE LAWS (NON PENAL LA,8
198,9,INTOXICATED & IMPAIRED DRIVING,28
199,9,OTHER TRAFFIC INFRACTION,75
200,9,GRAND LARCENY OF MOTOR VEHICLE,1
201,9,ANTICIPATORY OFFENSES,1
202,9,ARSON,2
203,9,POSSESSION OF STOLEN PROPERTY 5,464
204,9,CRIMINAL TRESPASS,293
205,9,OTHER OFFENSES RELATED TO THEFT,352
206,9,BURGLAR'S TOOLS,12
207,9,DANGEROUS DRUGS,1095
208,9,DISORDERLY CONDUCT,31
209,9,GAMBLING,12
210,9,ASSAULT 3 & RELATED OFFENSES,303
211,9,RAPE,2
212,9,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),2
213,9,OFFENSES INVOLVING FRAUD,37
214,9,HARASSMENT,19
215,9,MISCELLANEOUS PENAL LAW,104
216,9,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,39
217,9,OFFENSES AGAINST THE PERSON,23
218,9,LOITERING FOR DRUG PURPOSES,3
219,9,POSSESSION OF STOLEN PROPERTY,16
220,9,OTHER STATE LAWS,235
221,9,MURDER & NON-NEGL. MANSLAUGHTER,2
222,9,DANGEROUS WEAPONS,95
223,9,FRAUDS,9
