,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,25-44,M,43095
1,1,320,M,1
2,1,723,M,1
3,1,45-64,F,2700
4,1,955,M,1
5,1,339,M,1
6,1,951,M,1
7,1,943,F,1
8,1,18-24,F,4316
9,1,<18,F,1568
10,1,941,M,1
11,1,65+,M,716
12,1,UNKNOWN,M,2
13,1,935,M,1
14,1,894,M,2
15,1,65+,F,85
16,1,945,M,3
17,1,934,M,1
18,1,931,M,1
19,1,194,M,1
20,1,<18,M,5550
21,1,933,M,1
22,1,910,M,1
23,1,18-24,M,20434
24,1,309,M,1
25,1,45-64,M,16327
26,1,921,M,1
27,1,895,M,1
28,1,740,M,1
29,1,928,M,1
30,1,927,M,1
31,1,25-44,F,7530
32,1,922,F,1
33,2,323,F,1
34,2,948,M,1
35,2,952,M,2
36,2,237,M,1
37,2,935,M,2
38,2,947,M,2
39,2,895,M,1
40,2,929,M,1
41,2,935,F,2
42,2,932,M,2
43,2,894,M,2
44,2,956,F,1
45,2,895,F,1
46,2,912,F,1
47,2,65+,F,48
48,2,951,M,1
49,2,18-24,F,3153
50,2,25-44,M,31740
51,2,18-24,M,19915
52,2,45-64,M,10616
53,2,<18,M,7616
54,2,25-44,F,6798
55,2,949,M,1
56,2,45-64,F,2120
57,2,<18,F,1432
58,2,920,F,1
59,2,65+,M,384
60,2,921,M,1
61,3,25-44,M,39507
62,3,946,M,1
63,3,920,M,1
64,3,65+,F,62
65,3,18-24,M,23134
66,3,959,M,1
67,3,45-64,M,13992
68,3,944,M,1
69,3,<18,M,9372
70,3,25-44,F,8222
71,3,943,M,1
72,3,938,F,1
73,3,330,M,1
74,3,338,M,1
75,3,352,M,1
76,3,18-24,F,3701
77,3,65+,M,540
78,3,45-64,F,2544
79,3,894,F,1
80,3,942,M,1
81,3,UNKNOWN,M,1
82,3,<18,F,1942
83,3,939,F,1
84,3,932,F,1
85,3,938,M,1
86,3,945,M,1
87,4,UNKNOWN,M,1
88,4,931,M,1
89,4,18-24,F,2448
90,4,65+,M,345
91,4,940,M,1
92,4,65+,F,58
93,4,25-44,F,4461
94,4,<18,M,6575
95,4,45-64,M,8066
96,4,<18,F,1318
97,4,18-24,M,17668
98,4,944,M,1
99,4,446,M,1
100,4,965,M,1
101,4,943,M,1
102,4,945,M,1
103,4,708,M,1
104,4,816,F,1
105,4,928,M,1
106,4,929,M,1
107,4,930,F,1
108,4,25-44,M,27851
109,4,45-64,F,1389
110,5,25-44,M,4410
111,5,18-24,M,2922
112,5,<18,M,1427
113,5,45-64,F,340
114,5,25-44,F,1064
115,5,18-24,F,596
116,5,<18,F,373
117,5,65+,M,55
118,5,65+,F,7
119,5,894,M,2
120,5,912,M,1
121,5,316,M,1
122,5,45-64,M,1207
123,5,UNKNOWN,F,1
