,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,25-44,M,44375
1,1,45-64,F,3081
2,1,<18,F,1632
3,1,65+,M,793
4,1,65+,F,105
5,1,929,M,1
6,1,928,M,1
7,1,940,M,1
8,1,925,M,1
9,1,936,M,1
10,1,935,M,1
11,1,922,M,1
12,1,895,F,1
13,1,212,M,1
14,1,941,M,1
15,1,942,F,1
16,1,18-24,F,4751
17,1,<18,M,6204
18,1,931,M,1
19,1,25-44,F,8094
20,1,18-24,M,22533
21,1,45-64,M,18912
22,2,895,F,1
23,2,65+,M,519
24,2,640,M,1
25,2,945,M,1
26,2,709,M,1
27,2,18-24,M,21945
28,2,812,M,1
29,2,65+,F,56
30,2,949,M,1
31,2,896,F,1
32,2,895,M,4
33,2,955,M,1
34,2,924,F,1
35,2,923,M,1
36,2,937,F,1
37,2,932,M,1
38,2,927,M,1
39,2,25-44,F,7831
40,2,25-44,M,36231
41,2,18-24,F,3462
42,2,924,M,1
43,2,925,M,1
44,2,45-64,M,13003
45,2,954,M,1
46,2,<18,M,8406
47,2,<18,F,1557
48,2,928,M,1
49,2,930,M,1
50,2,931,M,1
51,2,45-64,F,2588
52,3,18-24,M,25292
53,3,945,M,1
54,3,45-64,M,15545
55,3,951,M,1
56,3,200,M,1
57,3,924,M,2
58,3,943,M,1
59,3,18-24,F,4152
60,3,45-64,F,2989
61,3,936,F,1
62,3,927,M,1
63,3,<18,F,2013
64,3,922,F,1
65,3,914,M,1
66,3,<18,M,9851
67,3,909,M,1
68,3,895,M,1
69,3,808,M,1
70,3,25-44,M,42238
71,3,65+,M,545
72,3,314,M,1
73,3,25-44,F,8675
74,3,65+,F,73
75,3,948,M,1
76,3,896,M,1
77,3,948,F,1
78,4,25-44,F,4882
79,4,896,M,1
80,4,<18,F,1396
81,4,45-64,F,1664
82,4,65+,M,372
83,4,18-24,F,2615
84,4,65+,F,50
85,4,895,M,3
86,4,45-64,M,8564
87,4,317,F,1
88,4,231,M,1
89,4,<18,M,6608
90,4,926,M,1
91,4,934,M,1
92,4,936,M,1
93,4,942,M,1
94,4,25-44,M,28788
95,4,18-24,M,18197
96,5,25-44,M,4199
97,5,18-24,M,2976
98,5,45-64,M,1349
99,5,922,M,1
100,5,25-44,F,1081
101,5,18-24,F,680
102,5,45-64,F,417
103,5,926,F,1
104,5,65+,M,60
105,5,65+,F,9
106,5,<18,M,1300
107,5,<18,F,338
