,Precinct,OfnsDesc,CrimeCount
0,1,ARSON,1
1,1,DISORDERLY CONDUCT,81
2,1,FRAUDS,12
3,1,CRIMINAL TRESPASS,46
4,1,FRAUDULENT ACCOSTING,2
5,1,GRAND LARCENY,165
6,1,OFFENSES INVOLVING FRAUD,244
7,1,OTHER STATE LAWS,577
8,1,SEX CRIMES,14
9,1,HARRASSMENT 2,2
10,1,BURGLAR'S TOOLS,2
11,1,MISCELLANEOUS PENAL LAW,71
12,1,DANGEROUS DRUGS,70
13,1,INTOXICATED & IMPAIRED DRIVING,237
14,1,GAMBLING,17
15,1,ROBBERY,65
16,1,OTHER STATE LAWS (NON PENAL LAW),993
17,1,FELONY ASSAULT,61
18,1,OTHER TRAFFIC INFRACTION,216
19,1,POSSESSION OF STOLEN PROPERTY,24
20,1,ASSAULT 3 & RELATED OFFENSES,212
21,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),1
22,1,POSSESSION OF STOLEN PROPERTY 5,758
23,1,VEHICLE AND TRAFFIC LAWS,51
24,1,CHILD ABANDONMENT/NON SUPPORT 1,1
25,1,BURGLARY,51
26,1,OTHER OFFENSES RELATED TO THEFT,159
27,1,MOVING INFRACTIONS,11
28,1,RAPE,2
29,1,INTOXICATED/IMPAIRED DRIVING,10
30,1,PETIT LARCENY,129
31,1,FORCIBLE TOUCHING,6
32,1,GRAND LARCENY OF MOTOR VEHICLE,6
33,1,FORGERY,142
34,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,86
35,1,OFFENSES AGAINST THE PERSON,8
36,1,OFFENSES AGAINST PUBLIC SAFETY,9
37,1,PROSTITUTION & RELATED OFFENSES,9
38,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,95
39,1,DANGEROUS WEAPONS,45
40,1,THEFT-FRAUD,9
41,1,F.C.A. P.I.N.O.S.,3
42,1,CRIMINAL MISCHIEF & RELATED OFFENSES,93
43,5,DISORDERLY CONDUCT,13
44,5,INTOXICATED & IMPAIRED DRIVING,37
45,5,ASSAULT 3 & RELATED OFFENSES,272
46,5,GRAND LARCENY OF MOTOR VEHICLE,4
47,5,FRAUDULENT ACCOSTING,4
48,5,ANTICIPATORY OFFENSES,5
49,5,MOVING INFRACTIONS,6
50,5,ROBBERY,204
51,5,SEX CRIMES,28
52,5,HARASSMENT,6
53,5,INTOXICATED/IMPAIRED DRIVING,3
54,5,POSSESSION OF STOLEN PROPERTY,23
55,5,FORGERY,323
56,5,MISCELLANEOUS PENAL LAW,254
57,5,GAMBLING,18
58,5,FORCIBLE TOUCHING,7
59,5,OTHER STATE LAWS,470
60,5,GRAND LARCENY,304
61,5,KIDNAPPING & RELATED OFFENSES,2
62,5,RAPE,8
63,5,ALCOHOLIC BEVERAGE CONTROL LAW,2
64,5,HARRASSMENT 2,2
65,5,OFFENSES INVOLVING FRAUD,487
66,5,BURGLAR'S TOOLS,9
67,5,OTHER STATE LAWS (NON PENAL LAW),563
68,5,FRAUDS,13
69,5,MURDER & NON-NEGL. MANSLAUGHTER,19
70,5,ARSON,8
71,5,OFFENSES AGAINST THE PERSON,24
72,5,VEHICLE AND TRAFFIC LAWS,45
73,5,FELONY ASSAULT,127
74,5,CRIMINAL MISCHIEF & RELATED OFFENSES,124
75,5,OTHER OFFENSES RELATED TO THEFT,136
76,5,F.C.A. P.I.N.O.S.,105
77,5,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),1
78,5,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,88
79,5,DANGEROUS WEAPONS,86
80,5,OFFENSES AGAINST PUBLIC SAFETY,1
81,5,PETIT LARCENY,79
82,5,OFFENSES AGAINST PUBLIC ADMINISTRATION,164
83,5,CRIMINAL TRESPASS,166
84,5,PROSTITUTION & RELATED OFFENSES,64
85,5,OTHER TRAFFIC INFRACTION,58
86,5,DANGEROUS DRUGS,412
87,5,THEFT-FRAUD,50
88,5,POSSESSION OF STOLEN PROPERTY 5,186
89,5,BURGLARY,57
90,6,ASSAULT 3 & RELATED OFFENSES,178
91,6,DANGEROUS DRUGS,1605
92,6,OFFENSES AGAINST THE PERSON,11
93,6,FRAUDULENT ACCOSTING,2
94,6,INTOXICATED/IMPAIRED DRIVING,10
95,6,DISORDERLY CONDUCT,33
96,6,MURDER & NON-NEGL. MANSLAUGHTER,2
97,6,MOVING INFRACTIONS,10
98,6,FORCIBLE TOUCHING,3
99,6,SEX CRIMES,10
100,6,FELONY ASSAULT,90
101,6,GRAND LARCENY OF MOTOR VEHICLE,3
102,6,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),10
103,6,OTHER TRAFFIC INFRACTION,97
104,6,LOITERING,1
105,6,INTOXICATED & IMPAIRED DRIVING,97
106,6,ADMINISTRATIVE CODE,1
107,6,HOMICIDE-NEGLIGENT-VEHICLE,1
108,6,LOITERING FOR DRUG PURPOSES,1
109,6,GAMBLING,8
110,6,F.C.A. P.I.N.O.S.,1
111,6,CRIMINAL MISCHIEF & RELATED OFFENSES,141
112,6,OFFENSES AGAINST PUBLIC ADMINISTRATION,119
113,6,POSSESSION OF STOLEN PROPERTY 5,432
114,6,GRAND LARCENY,127
115,6,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,127
116,6,THEFT-FRAUD,4
117,6,OTHER STATE LAWS,278
118,6,JOSTLING,1
119,6,BURGLARY,34
120,6,OTHER OFFENSES RELATED TO THEFT,252
121,6,KIDNAPPING & RELATED OFFENSES,1
122,6,RAPE,2
123,6,VEHICLE AND TRAFFIC LAWS,21
124,6,OFFENSES INVOLVING FRAUD,21
125,6,PROSTITUTION & RELATED OFFENSES,220
126,6,OTHER STATE LAWS (NON PENAL LAW),58
127,6,HARRASSMENT 2,4
128,6,ROBBERY,171
129,6,POSSESSION OF STOLEN PROPERTY,17
130,6,DANGEROUS WEAPONS,66
131,6,MISCELLANEOUS PENAL LAW,71
132,6,PETIT LARCENY,79
133,6,FORGERY,57
134,6,CRIMINAL TRESPASS,78
135,6,FRAUDS,13
136,7,GRAND LARCENY OF MOTOR VEHICLE,6
137,7,POSSESSION OF STOLEN PROPERTY,19
138,7,SEX CRIMES,19
139,7,OFFENSES AGAINST PUBLIC ADMINISTRATION,123
140,7,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,78
141,7,ASSAULT 3 & RELATED OFFENSES,330
142,7,THEFT-FRAUD,5
143,7,FRAUDS,6
144,7,OFFENSES INVOLVING FRAUD,13
145,7,PETIT LARCENY,39
146,7,GAMBLING,12
147,7,GRAND LARCENY,56
148,7,CRIMINAL TRESPASS,384
149,7,POSSESSION OF STOLEN PROPERTY 5,85
150,7,OTHER STATE LAWS,77
151,7,DISORDERLY CONDUCT,14
152,7,FORCIBLE TOUCHING,8
153,7,OTHER TRAFFIC INFRACTION,243
154,7,DANGEROUS WEAPONS,166
155,7,OTHER OFFENSES RELATED TO THEFT,72
156,7,BURGLARY,35
157,7,OFFENSES AGAINST THE PERSON,14
158,7,INTOXICATED & IMPAIRED DRIVING,103
159,7,VEHICLE AND TRAFFIC LAWS,74
160,7,MOVING INFRACTIONS,16
161,7,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),8
162,7,OTHER STATE LAWS (NON PENAL LAW),79
163,7,PROSTITUTION & RELATED OFFENSES,52
164,7,INTOXICATED/IMPAIRED DRIVING,8
165,7,MURDER & NON-NEGL. MANSLAUGHTER,8
166,7,ROBBERY,105
167,7,CRIMINAL MISCHIEF & RELATED OFFENSES,106
168,7,FORGERY,73
169,7,FELONY ASSAULT,104
170,7,MISCELLANEOUS PENAL LAW,132
171,7,F.C.A. P.I.N.O.S.,1
172,7,ESCAPE 3,1
173,7,RAPE,2
174,7,DANGEROUS DRUGS,907
175,7,ANTICIPATORY OFFENSES,2
176,7,HARRASSMENT 2,1
177,7,LOITERING FOR DRUG PURPOSES,1
178,7,BURGLAR'S TOOLS,2
179,7,ARSON,3
180,7,HARASSMENT,1
181,7,KIDNAPPING & RELATED OFFENSES,3
182,9,MURDER & NON-NEGL. MANSLAUGHTER,6
183,9,OFFENSES AGAINST PUBLIC ADMINISTRATION,141
184,9,PETIT LARCENY,82
185,9,POSSESSION OF STOLEN PROPERTY 5,540
186,9,OFFENSES INVOLVING FRAUD,18
187,9,GRAND LARCENY,124
188,9,F.C.A. P.I.N.O.S.,2
189,9,BURGLARY,64
190,9,RAPE,6
191,9,FELONY ASSAULT,148
192,9,OFFENSES AGAINST THE PERSON,23
193,9,ASSAULT 3 & RELATED OFFENSES,299
194,9,FORCIBLE TOUCHING,8
195,9,DANGEROUS WEAPONS,216
196,9,INTOXICATED/IMPAIRED DRIVING,5
197,9,MISCELLANEOUS PENAL LAW,124
198,9,KIDNAPPING & RELATED OFFENSES,3
199,9,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),3
200,9,OTHER TRAFFIC INFRACTION,98
201,9,GAMBLING,11
202,9,CRIMINAL TRESPASS,337
