,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,25-44,M,42206
1,1,45-64,F,3413
2,1,65+,M,991
3,1,18-24,F,5441
4,1,18-24,M,23275
5,1,45-64,M,21728
6,1,65+,F,124
7,1,<18,M,6072
8,1,<18,F,2138
9,1,25-44,F,7559
10,2,<18,M,9836
11,2,65+,M,513
12,2,45-64,F,2894
13,2,25-44,F,7172
14,2,65+,F,66
15,2,18-24,F,4597
16,2,45-64,M,13403
17,2,18-24,M,24026
18,2,25-44,M,34204
19,2,<18,F,2475
20,3,<18,F,2299
21,3,65+,F,95
22,3,65+,M,638
23,3,45-64,F,3263
24,3,25-44,M,42889
25,3,18-24,F,4979
26,3,25-44,F,8130
27,3,<18,M,9942
28,3,45-64,M,16953
29,3,18-24,M,28206
30,4,18-24,F,3379
31,4,<18,M,6257
32,4,45-64,M,9239
33,4,45-64,F,1779
34,4,<18,F,1456
35,4,65+,F,70
36,4,18-24,M,19376
37,4,65+,M,409
38,4,25-44,M,28586
39,4,25-44,F,4811
40,5,65+,M,70
41,5,45-64,F,449
42,5,18-24,M,3507
43,5,18-24,F,882
44,5,25-44,F,1157
45,5,<18,M,1406
46,5,45-64,M,1423
47,5,25-44,M,4881
48,5,<18,F,476
49,5,65+,F,10
