,BoroCode,OfnsDesc,CrimeCount
0,1,PETIT LARCENY,1751
1,1,INTOXICATED & IMPAIRED DRIVING,1318
2,1,LOITERING FOR DRUG PURPOSES,31
3,1,MOVING INFRACTIONS,226
4,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),190
5,1,ARSON,25
6,1,OFFENSES INVOLVING FRAUD,1535
7,1,VEHICLE AND TRAFFIC LAWS,1572
8,1,THEFT-FRAUD,292
9,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1830
10,1,CHILD ABANDONMENT/NON SUPPORT 1,18
11,1,FORCIBLE TOUCHING,276
12,1,CRIMINAL MISCHIEF & RELATED OFFENSES,2148
13,1,JOSTLING,18
14,1,HARASSMENT,17
15,1,OFFENSES RELATED TO CHILDREN,16
16,1,ESCAPE 3,14
17,1,"LOITERING/GAMBLING (CARDS, DICE, ETC)",10
18,1,ANTICIPATORY OFFENSES,32
19,1,GRAND LARCENY,2623
20,1,KIDNAPPING & RELATED OFFENSES,33
21,1,PROSTITUTION & RELATED OFFENSES,1259
22,1,F.C.A. P.I.N.O.S.,374
23,1,GRAND LARCENY OF MOTOR VEHICLE,141
24,1,FRAUDS,408
25,1,OFFENSES AGAINST THE PERSON,452
26,1,RAPE,159
27,1,LOITERING,77
28,1,POSSESSION OF STOLEN PROPERTY,484
29,1,SEX CRIMES,519
30,1,GAMBLING,580
31,1,HARRASSMENT 2,68
32,1,BURGLAR'S TOOLS,63
33,1,ADMINISTRATIVE CODE,57
34,1,OFFENSES AGAINST PUBLIC SAFETY,56
35,1,ALCOHOLIC BEVERAGE CONTROL LAW,53
36,1,MURDER & NON-NEGL. MANSLAUGHTER,185
37,1,INTOXICATED/IMPAIRED DRIVING,187
38,1,DISORDERLY CONDUCT,1257
39,1,BURGLARY,1266
40,1,FELONY ASSAULT,2687
41,1,FRAUDULENT ACCOSTING,134
42,1,DANGEROUS WEAPONS,2739
43,1,DANGEROUS DRUGS,21896
44,1,DISRUPTION OF A RELIGIOUS SERVICE,1
45,1,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,1
46,1,POSSESSION OF STOLEN PROPERTY 5,7172
47,1,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",1
48,1,OTHER TRAFFIC INFRACTION,6338
49,1,ASSAULT 3 & RELATED OFFENSES,6033
50,1,OTHER OFFENSES RELATED TO THEFT,5765
