,SchoolDist,AgeGroup,PerpSex,CrimeCount
0,1,25-44,F,418
1,1,<18,M,336
2,1,45-64,F,155
3,1,<18,F,95
4,1,18-24,F,324
5,1,65+,M,91
6,1,45-64,M,1296
7,1,25-44,M,2947
8,1,18-24,M,1606
9,1,65+,F,10
10,2,25-44,M,18065
11,2,25-44,F,3923
12,2,<18,M,1546
13,2,18-24,F,2887
14,2,45-64,F,1734
15,2,65+,F,88
16,2,18-24,M,9768
17,2,45-64,M,9882
18,2,65+,M,473
19,2,<18,F,932
20,3,<18,F,158
21,3,45-64,M,2390
22,3,65+,M,125
23,3,25-44,M,3234
24,3,65+,F,26
25,3,18-24,M,2041
26,3,25-44,F,679
27,3,<18,M,520
28,3,18-24,F,441
29,3,45-64,F,425
30,4,45-64,F,299
31,4,<18,F,174
32,4,18-24,F,448
33,4,<18,M,645
34,4,65+,F,4
35,4,25-44,F,577
36,4,65+,M,93
37,4,45-64,M,1905
38,4,25-44,M,3411
39,4,18-24,M,2139
40,5,65+,F,30
41,5,45-64,F,651
42,5,45-64,M,3707
43,5,<18,M,876
44,5,18-24,F,742
45,5,65+,M,181
46,5,25-44,M,5994
47,5,18-24,M,3279
48,5,25-44,F,1144
49,5,<18,F,311
50,6,65+,M,96
51,6,25-44,M,5924
52,6,45-64,M,2173
53,6,<18,F,152
54,6,45-64,F,348
55,6,25-44,F,876
56,6,65+,F,9
57,6,18-24,M,4309
58,6,<18,M,1042
59,6,18-24,F,655
60,7,<18,F,245
61,7,25-44,F,857
62,7,<18,M,967
63,7,45-64,F,382
64,7,18-24,F,596
65,7,25-44,M,4801
66,7,45-64,M,2074
67,7,65+,M,73
68,7,18-24,M,2907
69,7,65+,F,8
70,8,45-64,F,441
71,8,25-44,F,1196
72,8,25-44,M,4743
73,8,18-24,F,769
74,8,65+,M,82
75,8,<18,F,299
76,8,65+,F,6
77,8,45-64,M,1825
78,8,18-24,M,3371
79,8,<18,M,1177
80,9,65+,F,21
81,9,25-44,F,1392
82,9,18-24,F,884
83,9,<18,F,403
84,9,45-64,M,2859
85,9,<18,M,1502
86,9,25-44,M,6220
87,9,65+,M,109
88,9,45-64,F,632
89,9,18-24,M,4419
90,10,65+,F,8
91,10,45-64,F,698
