,SchoolDist,OfnsDesc,CrimeCount
0,1,SEX CRIMES,16
1,1,GAMBLING,14
2,1,BURGLAR'S TOOLS,16
3,1,FRAUDS,17
4,1,VEHICLE AND TRAFFIC LAWS,370
5,1,DANGEROUS DRUGS,1718
6,1,OTHER STATE LAWS (NON PENAL LAW),341
7,1,CRIMINAL MISCHIEF & RELATED OFFENSES,312
8,1,OTHER STATE LAWS (NON PENAL LA,21
9,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,244
10,1,PROSTITUTION & RELATED OFFENSES,24
11,1,POSSESSION OF STOLEN PROPERTY,28
12,1,DANGEROUS WEAPONS,243
13,1,THEFT-FRAUD,12
14,1,MISCELLANEOUS PENAL LAW,242
15,1,OFFENSES INVOLVING FRAUD,36
16,1,OFFENSES AGAINST THE PERSON,38
17,1,FELONY ASSAULT,218
18,1,HARASSMENT,55
19,1,BURGLARY,68
20,1,PETIT LARCENY,69
21,1,DISORDERLY CONDUCT,73
22,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,80
23,1,POSSESSION OF STOLEN PROPERTY 5,201
24,1,GRAND LARCENY,172
25,1,OTHER TRAFFIC INFRACTION,108
26,1,INTOXICATED & IMPAIRED DRIVING,110
27,1,FORGERY,36
28,1,FORCIBLE TOUCHING,12
29,1,ROBBERY,150
30,1,OTHER STATE LAWS,567
31,1,OFFENSES AGAINST PUBLIC SAFETY,2
32,1,ANTICIPATORY OFFENSES,2
33,1,KIDNAPPING & RELATED OFFENSES,2
34,1,INTOXICATED/IMPAIRED DRIVING,3
35,1,OTHER OFFENSES RELATED TO THEFT,432
36,1,CRIMINAL MISCHIEF & RELATED OF,3
37,1,JOSTLING,4
38,1,LOITERING,4
39,1,ALCOHOLIC BEVERAGE CONTROL LAW,5
40,1,ARSON,2
41,1,HARRASSMENT 2,5
42,1,RAPE,5
43,1,CHILD ABANDONMENT/NON SUPPORT,1
44,1,ASSAULT 3 & RELATED OFFENSES,565
45,1,GRAND LARCENY OF MOTOR VEHICLE,6
46,1,MURDER & NON-NEGL. MANSLAUGHTER,6
47,1,MOVING INFRACTIONS,1
48,1,LOITERING FOR DRUG PURPOSES,1
49,1,F.C.A. P.I.N.O.S.,9
50,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),10
51,1,OFFENSES RELATED TO CHILDREN,5
52,1,CRIMINAL TRESPASS,589
53,2,OFFENSES AGAINST THE PERSON,201
54,2,DISORDERLY CONDUCT,795
55,2,HARASSMENT,204
56,2,DANGEROUS WEAPONS,782
57,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,473
58,2,POSSESSION OF STOLEN PROPERTY,232
59,2,FRAUDS,232
60,2,F.C.A. P.I.N.O.S.,313
61,2,THEFT-FRAUD,342
62,2,OTHER TRAFFIC INFRACTION,483
63,2,PROSTITUTION & RELATED OFFENSES,388
64,2,FORCIBLE TOUCHING,170
65,2,BURGLARY,670
66,2,POSSESSION OF STOLEN PROPERTY 5,6942
67,2,CRIMINAL MISCHIEF & RELATED OF,31
68,2,FRAUDULENT ACCOSTING,133
69,2,CHILD ABANDONMENT/NON SUPPORT 1,1
70,2,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",2
71,2,ESCAPE 3,2
72,2,FORTUNE TELLING,2
73,2,DISRUPTION OF A RELIGIOUS SERVICE,3
74,2,LOITERING FOR DRUG PURPOSES,5
75,2,ARSON,7
76,2,OFFENSES RELATED TO CHILDREN,11
77,2,KIDNAPPING & RELATED OFFENSES,11
78,2,OFFENSES AGAINST PUBLIC SAFETY,17
79,2,JOSTLING,17
80,2,ADMINISTRATIVE CODE,17
81,2,GRAND LARCENY OF MOTOR VEHICLE,18
82,2,ALCOHOLIC BEVERAGE CONTROL LAW,19
83,2,ANTICIPATORY OFFENSES,19
84,2,RAPE,22
85,2,HARRASSMENT 2,30
86,2,FELONY ASSAULT,824
87,2,LOITERING,41
88,2,INTOXICATED/IMPAIRED DRIVING,41
89,2,MURDER & NON-NEGL. MANSLAUGHTER,43
90,2,BURGLAR'S TOOLS,82
91,2,GAMBLING,83
92,2,OTHER STATE LAWS (NON PENAL LA,91
93,2,MOVING INFRACTIONS,101
94,2,SEX CRIMES,164
95,2,OFFENSES INVOLVING FRAUD,849
96,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),44
97,2,VEHICLE AND TRAFFIC LAWS,1932
98,2,PETIT LARCENY,1241
99,2,OTHER STATE LAWS (NON PENAL LAW),2972
100,2,CRIMINAL MISCHIEF & RELATED OFFENSES,1112
101,2,OTHER OFFENSES RELATED TO THEFT,5740
102,2,FORGERY,1009
103,2,DANGEROUS DRUGS,4928
104,2,OTHER STATE LAWS,5185
105,2,ASSAULT 3 & RELATED OFFENSES,2419
106,2,MISCELLANEOUS PENAL LAW,1133
107,2,GRAND LARCENY,1948
108,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,1429
109,2,ROBBERY,864
110,2,CRIMINAL TRESPASS,1105
111,2,INTOXICATED & IMPAIRED DRIVING,950
112,3,OFFENSES AGAINST PUBLIC ADMINISTRATION,349
113,3,OFFENSES AGAINST PUBLIC SAFETY,3
114,3,FRAUDS,25
115,3,POSSESSION OF STOLEN PROPERTY,28
116,3,MOVING INFRACTIONS,2
117,3,HARRASSMENT 2,9
118,3,FELONY ASSAULT,243
119,3,PETIT LARCENY,260
120,3,ARSON,2
121,3,BURGLARY,74
122,3,OTHER STATE LAWS,633
123,3,INTOXICATED/IMPAIRED DRIVING,9
124,3,ALCOHOLIC BEVERAGE CONTROL LAW,9
125,3,OTHER OFFENSES RELATED TO THEFT,1103
126,3,RAPE,3
127,3,OFFENSES INVOLVING FRAUD,39
128,3,GRAND LARCENY OF MOTOR VEHICLE,5
129,3,OFFENSES AGAINST THE PERSON,44
130,3,F.C.A. P.I.N.O.S.,5
131,3,CRIMINAL MISCHIEF & RELATED OF,5
132,3,DANGEROUS DRUGS,2403
133,3,GAMBLING,47
